voltage_spot_19_scan_2_21	absJ_spot_19_scan_2_21	J_spot_19_scan_2_21	current_spot_19_scan_2_21	time_spot_19_scan_2_21	
0.000000E+0	7.275200E-8	-7.275200E-8	-2.539524E-12	0.000000E+0
5.000000E-2	8.621734E-6	8.621734E-6	3.009553E-10	1.115234E+0
1.000000E-1	1.908356E-5	1.908356E-5	6.661420E-10	1.483398E+0
1.500000E-1	3.271165E-5	3.271165E-5	1.141852E-9	2.598633E+0
2.000000E-1	5.001589E-5	5.001589E-5	1.745884E-9	2.965820E+0
2.500000E-1	6.973378E-5	6.973378E-5	2.434168E-9	3.333984E+0
3.000000E-1	1.219181E-4	1.219181E-4	4.255746E-9	3.702148E+0
3.500000E-1	1.577571E-4	1.577571E-4	5.506762E-9	4.069336E+0
4.000000E-1	2.037926E-4	2.037926E-4	7.113703E-9	4.437500E+0
4.500000E-1	2.479893E-4	2.479893E-4	8.656460E-9	4.805664E+0
5.000000E-1	3.081825E-4	3.081825E-4	1.075760E-8	5.918945E+0
5.000000E-1	3.066570E-4	3.066570E-4	1.070435E-8	6.287109E+0
4.500000E-1	2.334036E-4	2.334036E-4	8.147323E-9	7.028320E+0
4.000000E-1	1.603401E-4	1.603401E-4	5.596927E-9	7.396484E+0
3.500000E-1	1.158999E-4	1.158999E-4	4.045669E-9	7.763672E+0
3.000000E-1	8.873082E-5	8.873082E-5	3.097290E-9	8.131836E+0
2.500000E-1	6.417368E-5	6.417368E-5	2.240084E-9	8.500000E+0
2.000000E-1	4.478654E-5	4.478654E-5	1.563345E-9	8.867188E+0
1.500000E-1	2.992318E-5	2.992318E-5	1.044516E-9	9.235352E+0
1.000000E-1	1.703294E-5	1.703294E-5	5.945618E-10	9.976563E+0
5.000000E-2	7.570726E-6	7.570726E-6	2.642682E-10	1.034473E+1
0.000000E+0	1.852912E-8	-1.852912E-8	-6.467882E-13	1.151953E+1
-5.000000E-2	7.562507E-6	-7.562507E-6	-2.639813E-10	1.263477E+1
-1.000000E-1	1.751027E-5	-1.751027E-5	-6.112236E-10	1.300391E+1
-1.500000E-1	2.912940E-5	-2.912940E-5	-1.016808E-9	1.411816E+1
-2.000000E-1	4.387716E-5	-4.387716E-5	-1.531602E-9	1.448633E+1
-2.500000E-1	6.157205E-5	-6.157205E-5	-2.149270E-9	1.485352E+1
-3.000000E-1	8.411648E-5	-8.411648E-5	-2.936219E-9	1.522168E+1
-3.500000E-1	1.069036E-4	-1.069036E-4	-3.731640E-9	1.558984E+1
-4.000000E-1	1.252054E-4	-1.252054E-4	-4.370494E-9	1.595703E+1
-4.500000E-1	1.466408E-4	-1.466408E-4	-5.118731E-9	1.632520E+1
-5.000000E-1	1.699828E-4	-1.699828E-4	-5.933521E-9	1.669238E+1
-5.000000E-1	1.719599E-4	-1.719599E-4	-6.002533E-9	1.706055E+1
-4.500000E-1	1.470975E-4	-1.470975E-4	-5.134670E-9	1.742871E+1
-4.000000E-1	1.224500E-4	-1.224500E-4	-4.274310E-9	1.779590E+1
-3.500000E-1	9.565341E-5	-9.565341E-5	-3.338934E-9	1.816406E+1
-3.000000E-1	7.502670E-5	-7.502670E-5	-2.618926E-9	1.853223E+1
-2.500000E-1	5.825608E-5	-5.825608E-5	-2.033521E-9	1.890039E+1
-2.000000E-1	4.105755E-5	-4.105755E-5	-1.433179E-9	1.926758E+1
-1.500000E-1	2.690954E-5	-2.690954E-5	-9.393201E-10	2.000879E+1
-1.000000E-1	1.604070E-5	-1.604070E-5	-5.599262E-10	2.037695E+1
-5.000000E-2	7.185641E-6	-7.185641E-6	-2.508262E-10	2.074609E+1
0.000000E+0	3.569258E-8	-3.569258E-8	-1.245906E-12	2.192090E+1
0.000000E+0	3.144495E-8	-3.144495E-8	-1.097636E-12	2.262402E+1
5.000000E-2	7.209694E-6	7.209694E-6	2.516658E-10	2.373926E+1
1.000000E-1	1.656385E-5	1.656385E-5	5.781875E-10	2.410742E+1
1.500000E-1	2.853728E-5	2.853728E-5	9.961391E-10	2.447656E+1
2.000000E-1	4.234894E-5	4.234894E-5	1.478257E-9	2.559082E+1
2.500000E-1	5.751293E-5	5.751293E-5	2.007580E-9	2.595898E+1
3.000000E-1	8.401498E-5	8.401498E-5	2.932676E-9	2.632617E+1
3.500000E-1	1.069447E-4	1.069447E-4	3.733075E-9	2.669434E+1
4.000000E-1	1.356804E-4	1.356804E-4	4.736141E-9	2.706250E+1
4.500000E-1	1.603076E-4	1.603076E-4	5.595790E-9	2.742969E+1
5.000000E-1	2.068602E-4	2.068602E-4	7.220782E-9	2.779785E+1
5.000000E-1	2.032673E-4	2.032673E-4	7.095367E-9	2.816602E+1
4.500000E-1	1.674117E-4	1.674117E-4	5.843772E-9	2.853320E+1
4.000000E-1	1.309178E-4	1.309178E-4	4.569892E-9	2.890137E+1
3.500000E-1	1.063211E-4	1.063211E-4	3.711305E-9	2.926953E+1
3.000000E-1	8.314824E-5	8.314824E-5	2.902421E-9	2.963672E+1
2.500000E-1	6.364181E-5	6.364181E-5	2.221518E-9	3.000488E+1
2.000000E-1	4.474720E-5	4.474720E-5	1.561972E-9	3.037305E+1
1.500000E-1	2.844087E-5	2.844087E-5	9.927736E-10	3.111426E+1
1.000000E-1	1.672349E-5	1.672349E-5	5.837598E-10	3.148242E+1
5.000000E-2	7.541517E-6	7.541517E-6	2.632486E-10	3.185059E+1
0.000000E+0	1.762266E-8	-1.762266E-8	-6.151468E-13	3.302637E+1
-5.000000E-2	6.462242E-6	-6.462242E-6	-2.255748E-10	3.414160E+1
-1.000000E-1	1.452570E-5	-1.452570E-5	-5.070425E-10	3.450977E+1
-1.500000E-1	2.654446E-5	-2.654446E-5	-9.265763E-10	3.487891E+1
-2.000000E-1	3.920656E-5	-3.920656E-5	-1.368567E-9	3.599316E+1
-2.500000E-1	5.809889E-5	-5.809889E-5	-2.028034E-9	3.636133E+1
-3.000000E-1	7.829743E-5	-7.829743E-5	-2.733096E-9	3.672852E+1
-3.500000E-1	1.001916E-4	-1.001916E-4	-3.497346E-9	3.709668E+1
-4.000000E-1	1.181631E-4	-1.181631E-4	-4.124669E-9	3.746484E+1
-4.500000E-1	1.431391E-4	-1.431391E-4	-4.996498E-9	3.783203E+1
-5.000000E-1	1.693854E-4	-1.693854E-4	-5.912665E-9	3.820020E+1
-5.000000E-1	1.696809E-4	-1.696809E-4	-5.922980E-9	3.856836E+1
-4.500000E-1	1.450489E-4	-1.450489E-4	-5.063160E-9	3.893555E+1
-4.000000E-1	1.242354E-4	-1.242354E-4	-4.336633E-9	3.930371E+1
-3.500000E-1	1.016224E-4	-1.016224E-4	-3.547291E-9	3.967188E+1
-3.000000E-1	7.331307E-5	-7.331307E-5	-2.559109E-9	4.003906E+1
-2.500000E-1	5.606303E-5	-5.606303E-5	-1.956969E-9	4.040723E+1
-2.000000E-1	4.013727E-5	-4.013727E-5	-1.401055E-9	4.077441E+1
-1.500000E-1	2.389884E-5	-2.389884E-5	-8.342270E-10	4.151562E+1
-1.000000E-1	1.403491E-5	-1.403491E-5	-4.899108E-10	4.188477E+1
-5.000000E-2	6.050454E-6	-6.050454E-6	-2.112007E-10	4.225293E+1
0.000000E+0	1.441638E-7	-1.441638E-7	-5.032266E-12	4.342773E+1
0.000000E+0	8.267732E-8	-8.267732E-8	-2.885983E-12	4.413184E+1
5.000000E-2	6.754382E-6	6.754382E-6	2.357724E-10	4.524609E+1
1.000000E-1	1.521291E-5	1.521291E-5	5.310309E-10	4.561523E+1
1.500000E-1	2.749507E-5	2.749507E-5	9.597591E-10	4.598340E+1
2.000000E-1	4.263605E-5	4.263605E-5	1.488279E-9	4.709766E+1
2.500000E-1	6.542127E-5	6.542127E-5	2.283633E-9	4.746582E+1
3.000000E-1	8.162326E-5	8.162326E-5	2.849189E-9	4.783398E+1
3.500000E-1	1.077618E-4	1.077618E-4	3.761598E-9	4.820215E+1
4.000000E-1	1.374029E-4	1.374029E-4	4.796266E-9	4.856934E+1
4.500000E-1	1.716766E-4	1.716766E-4	5.992644E-9	4.893750E+1
5.000000E-1	2.141729E-4	2.141729E-4	7.476046E-9	4.930469E+1
5.000000E-1	2.188461E-4	2.188461E-4	7.639169E-9	4.967285E+1
4.500000E-1	1.809092E-4	1.809092E-4	6.314921E-9	5.004102E+1
4.000000E-1	1.523743E-4	1.523743E-4	5.318865E-9	5.040820E+1
3.500000E-1	1.121737E-4	1.121737E-4	3.915602E-9	5.077637E+1
3.000000E-1	8.160314E-5	8.160314E-5	2.848487E-9	5.114453E+1
2.500000E-1	6.292122E-5	6.292122E-5	2.196365E-9	5.151172E+1
2.000000E-1	4.122669E-5	4.122669E-5	1.439083E-9	5.187988E+1
1.500000E-1	2.763757E-5	2.763757E-5	9.647332E-10	5.262109E+1
1.000000E-1	1.504005E-5	1.504005E-5	5.249967E-10	5.298926E+1
5.000000E-2	6.183985E-6	6.183985E-6	2.158618E-10	5.335742E+1
0.000000E+0	1.078447E-8	-1.078447E-8	-3.764489E-13	5.453223E+1
