voltage_spot_5_scan_1	absJ_spot_5_scan_1	J_spot_5_scan_1	current_spot_5_scan_1	time_spot_5_scan_1	
0.000000E+0	1.051790E-7	-1.051790E-7	-4.079376E-13	0.000000E+0
5.000000E-2	1.629740E-5	1.629740E-5	6.320963E-11	7.031250E-1
1.000000E-1	2.831335E-5	2.831335E-5	1.098136E-10	1.818359E+0
1.500000E-1	4.429251E-5	4.429251E-5	1.717889E-10	2.186523E+0
2.000000E-1	6.246884E-5	6.246884E-5	2.422860E-10	2.554688E+0
2.500000E-1	7.819065E-5	7.819065E-5	3.032632E-10	2.922852E+0
3.000000E-1	1.010101E-4	1.010101E-4	3.917687E-10	3.291992E+0
3.500000E-1	1.296459E-4	1.296459E-4	5.028329E-10	3.660156E+0
4.000000E-1	1.650313E-4	1.650313E-4	6.400754E-10	4.028320E+0
4.500000E-1	1.889880E-4	1.889880E-4	7.329917E-10	4.397461E+0
5.000000E-1	2.304009E-4	2.304009E-4	8.936121E-10	4.765625E+0
5.000000E-1	2.071010E-4	2.071010E-4	8.032431E-10	5.133789E+0
4.500000E-1	2.219426E-4	2.219426E-4	8.608064E-10	5.502930E+0
4.000000E-1	1.466830E-4	1.466830E-4	5.689116E-10	5.871094E+0
3.500000E-1	1.200123E-4	1.200123E-4	4.654689E-10	6.239258E+0
3.000000E-1	9.449498E-5	9.449498E-5	3.664997E-10	6.608398E+0
2.500000E-1	6.157757E-5	6.157757E-5	2.388292E-10	6.976563E+0
2.000000E-1	4.550346E-5	4.550346E-5	1.764856E-10	7.344727E+0
1.500000E-1	3.186069E-5	3.186069E-5	1.235720E-10	7.712891E+0
1.000000E-1	1.901606E-5	1.901606E-5	7.375397E-11	8.887695E+0
5.000000E-2	8.999520E-6	8.999520E-6	3.490472E-11	9.590820E+0
0.000000E+0	1.559418E-7	1.559418E-7	6.048217E-13	1.029395E+1
-5.000000E-2	7.972911E-6	-7.972911E-6	-3.092301E-11	1.099805E+1
-1.000000E-1	1.602737E-5	-1.602737E-5	-6.216230E-11	1.170117E+1
-1.500000E-1	2.517591E-5	-2.517591E-5	-9.764502E-11	1.240430E+1
-2.000000E-1	3.867352E-5	-3.867352E-5	-1.499956E-10	1.385352E+1
-2.500000E-1	4.962386E-5	-4.962386E-5	-1.924666E-10	1.422168E+1
-3.000000E-1	6.345956E-5	-6.345956E-5	-2.461285E-10	1.459082E+1
-3.500000E-1	7.524540E-5	-7.524540E-5	-2.918400E-10	1.495898E+1
-4.000000E-1	8.530280E-5	-8.530280E-5	-3.308477E-10	1.532715E+1
-4.500000E-1	1.048985E-4	-1.048985E-4	-4.068497E-10	1.569531E+1
-5.000000E-1	1.115003E-4	-1.115003E-4	-4.324548E-10	1.606445E+1
-5.000000E-1	1.237418E-4	-1.237418E-4	-4.799338E-10	1.643262E+1
-4.500000E-1	1.078133E-4	-1.078133E-4	-4.181548E-10	1.680078E+1
-4.000000E-1	8.824212E-5	-8.824212E-5	-3.422479E-10	1.716895E+1
-3.500000E-1	7.286820E-5	-7.286820E-5	-2.826200E-10	1.753809E+1
-3.000000E-1	6.006627E-5	-6.006627E-5	-2.329676E-10	1.790625E+1
-2.500000E-1	4.730093E-5	-4.730093E-5	-1.834571E-10	1.827441E+1
-2.000000E-1	3.569253E-5	-3.569253E-5	-1.384338E-10	1.864258E+1
-1.500000E-1	2.647917E-5	-2.647917E-5	-1.026997E-10	1.901172E+1
-1.000000E-1	1.636341E-5	-1.636341E-5	-6.346565E-11	2.018652E+1
-5.000000E-2	8.148386E-6	-8.148386E-6	-3.160359E-11	2.088965E+1
0.000000E+0	1.558166E-7	-1.558166E-7	-6.043360E-13	2.159277E+1
