voltage_spot_5_scan_2_21	absJ_spot_5_scan_2_21	J_spot_5_scan_2_21	current_spot_5_scan_2_21	time_spot_5_scan_2_21	
0.000000E+0	2.089982E-8	2.089982E-8	8.106016E-14	0.000000E+0
5.000000E-2	5.543867E-6	5.543867E-6	2.150194E-11	7.031250E-1
1.000000E-1	1.289356E-5	1.289356E-5	5.000779E-11	1.406250E+0
1.500000E-1	2.362410E-5	2.362410E-5	9.162631E-11	2.109375E+0
2.000000E-1	3.935901E-5	3.935901E-5	1.526543E-10	3.224609E+0
2.500000E-1	6.307614E-5	6.307614E-5	2.446414E-10	3.592773E+0
3.000000E-1	9.123281E-5	9.123281E-5	3.538473E-10	3.960938E+0
3.500000E-1	1.230110E-4	1.230110E-4	4.770994E-10	4.330078E+0
4.000000E-1	1.648878E-4	1.648878E-4	6.395190E-10	4.698242E+0
4.500000E-1	1.923536E-4	1.923536E-4	7.460453E-10	5.066406E+0
5.000000E-1	2.252703E-4	2.252703E-4	8.737128E-10	5.434570E+0
5.500000E-1	2.097023E-4	2.097023E-4	8.133325E-10	6.916992E+0
6.000000E-1	2.898918E-4	2.898918E-4	1.124348E-9	7.285156E+0
6.500000E-1	3.296627E-4	3.296627E-4	1.278600E-9	7.652344E+0
7.000000E-1	4.056285E-4	4.056285E-4	1.573234E-9	8.020508E+0
7.500000E-1	4.514211E-4	4.514211E-4	1.750841E-9	8.388672E+0
8.000000E-1	4.711052E-4	4.711052E-4	1.827186E-9	8.755859E+0
8.500000E-1	5.910054E-4	5.910054E-4	2.292220E-9	9.124023E+0
9.000000E-1	6.421155E-4	6.421155E-4	2.490451E-9	9.491211E+0
9.500000E-1	8.273382E-4	8.273382E-4	3.208839E-9	9.859375E+0
1.000000E+0	8.549398E-4	8.549398E-4	3.315892E-9	1.022754E+1
1.000000E+0	9.841304E-4	9.841304E-4	3.816959E-9	1.059473E+1
9.500000E-1	8.398840E-4	8.398840E-4	3.257498E-9	1.096289E+1
9.000000E-1	7.102349E-4	7.102349E-4	2.754653E-9	1.133008E+1
8.500000E-1	6.335346E-4	6.335346E-4	2.457170E-9	1.169824E+1
8.000000E-1	5.502093E-4	5.502093E-4	2.133992E-9	1.206641E+1
7.500000E-1	4.952514E-4	4.952514E-4	1.920837E-9	1.243359E+1
7.000000E-1	3.235106E-4	3.235106E-4	1.254739E-9	1.280176E+1
6.500000E-1	2.723165E-4	2.723165E-4	1.056182E-9	1.316992E+1
6.000000E-1	2.430042E-4	2.430042E-4	9.424941E-10	1.391113E+1
5.500000E-1	2.013156E-4	2.013156E-4	7.808044E-10	1.427930E+1
5.000000E-1	1.598541E-4	1.598541E-4	6.199955E-10	1.464746E+1
4.500000E-1	1.340077E-4	1.340077E-4	5.197501E-10	1.501562E+1
4.000000E-1	1.018994E-4	1.018994E-4	3.952179E-10	1.538477E+1
3.500000E-1	7.578981E-5	7.578981E-5	2.939515E-10	1.575293E+1
3.000000E-1	5.413062E-5	5.413062E-5	2.099461E-10	1.612109E+1
2.500000E-1	4.012111E-5	4.012111E-5	1.556101E-10	1.649023E+1
2.000000E-1	2.508385E-5	2.508385E-5	9.728794E-11	1.766504E+1
1.500000E-1	1.737407E-5	1.737407E-5	6.738548E-11	1.836816E+1
1.000000E-1	9.570393E-6	9.570393E-6	3.711886E-11	1.907129E+1
5.000000E-2	3.471341E-6	3.471341E-6	1.346363E-11	1.977441E+1
0.000000E+0	1.137772E-7	1.137772E-7	4.412859E-13	2.047754E+1
-5.000000E-2	4.711145E-6	-4.711145E-6	-1.827222E-11	2.118066E+1
-1.000000E-1	1.029925E-5	-1.029925E-5	-3.994573E-11	2.188379E+1
-1.500000E-1	1.813169E-5	-1.813169E-5	-7.032395E-11	2.258691E+1
-2.000000E-1	2.669360E-5	-2.669360E-5	-1.035314E-10	2.329004E+1
-2.500000E-1	4.696941E-5	-4.696941E-5	-1.821713E-10	2.440527E+1
-3.000000E-1	7.149958E-5	-7.149958E-5	-2.773118E-10	2.477344E+1
-3.500000E-1	9.435681E-5	-9.435681E-5	-3.659638E-10	2.514258E+1
-4.000000E-1	1.216081E-4	-1.216081E-4	-4.716583E-10	2.551074E+1
-4.500000E-1	1.463014E-4	-1.463014E-4	-5.674312E-10	2.587891E+1
-5.000000E-1	1.791916E-4	-1.791916E-4	-6.949965E-10	2.624805E+1
-5.500000E-1	2.280488E-4	-2.280488E-4	-8.844894E-10	2.661621E+1
-6.000000E-1	2.469812E-4	-2.469812E-4	-9.579189E-10	2.698437E+1
-6.500000E-1	2.723734E-4	-2.723734E-4	-1.056403E-9	2.809961E+1
-7.000000E-1	2.903662E-4	-2.903662E-4	-1.126188E-9	2.846680E+1
-7.500000E-1	3.698214E-4	-3.698214E-4	-1.434356E-9	2.883496E+1
-8.000000E-1	4.108024E-4	-4.108024E-4	-1.593301E-9	2.920313E+1
-8.500000E-1	4.754344E-4	-4.754344E-4	-1.843977E-9	2.957031E+1
-9.000000E-1	5.293255E-4	-5.293255E-4	-2.052994E-9	2.993848E+1
-9.500000E-1	5.926963E-4	-5.926963E-4	-2.298778E-9	3.030664E+1
-1.000000E+0	6.298520E-4	-6.298520E-4	-2.442887E-9	3.067383E+1
-1.000000E+0	6.125988E-4	-6.125988E-4	-2.375970E-9	3.104199E+1
-9.500000E-1	5.559156E-4	-5.559156E-4	-2.156124E-9	3.141016E+1
-9.000000E-1	5.201591E-4	-5.201591E-4	-2.017442E-9	3.177734E+1
-8.500000E-1	4.445231E-4	-4.445231E-4	-1.724087E-9	3.214551E+1
-8.000000E-1	4.090819E-4	-4.090819E-4	-1.586628E-9	3.251270E+1
-7.500000E-1	3.646347E-4	-3.646347E-4	-1.414239E-9	3.288086E+1
-7.000000E-1	3.783497E-4	-3.783497E-4	-1.467433E-9	3.324902E+1
-6.500000E-1	3.353804E-4	-3.353804E-4	-1.300776E-9	3.361621E+1
-6.000000E-1	2.740718E-4	-2.740718E-4	-1.062990E-9	3.398438E+1
-5.500000E-1	2.192879E-4	-2.192879E-4	-8.505103E-10	3.472559E+1
-5.000000E-1	1.370945E-4	-1.370945E-4	-5.317222E-10	3.509375E+1
-4.500000E-1	9.588596E-5	-9.588596E-5	-3.718946E-10	3.546289E+1
-4.000000E-1	7.554077E-5	-7.554077E-5	-2.929856E-10	3.583105E+1
-3.500000E-1	6.004415E-5	-6.004415E-5	-2.328818E-10	3.619922E+1
-3.000000E-1	5.082532E-5	-5.082532E-5	-1.971265E-10	3.656738E+1
-2.500000E-1	3.989004E-5	-3.989004E-5	-1.547139E-10	3.693652E+1
-2.000000E-1	2.438771E-5	-2.438771E-5	-9.458796E-11	3.811133E+1
-1.500000E-1	1.665919E-5	-1.665919E-5	-6.461282E-11	3.881445E+1
-1.000000E-1	9.370649E-6	-9.370649E-6	-3.634415E-11	3.951758E+1
-5.000000E-2	4.072750E-6	-4.072750E-6	-1.579620E-11	4.022070E+1
0.000000E+0	6.942276E-8	-6.942276E-8	-2.692568E-13	4.092480E+1
