voltage_1_2_500mv_500ms	absJ_1_2_500mv_500ms	J_1_2_500mv_500ms	current_1_2_500mv_500ms	time_1_2_500mv_500ms	
0.000000E+0	3.292722E-8	3.292722E-8	2.158274E-13	0.000000E+0
5.000000E-2	1.625231E-7	1.625231E-7	1.065287E-12	1.002930E+0
1.000000E-1	6.253926E-7	6.253926E-7	4.099249E-12	2.004883E+0
1.500000E-1	2.034857E-6	2.034857E-6	1.333784E-11	3.007813E+0
2.000000E-1	5.401050E-6	5.401050E-6	3.540216E-11	4.010742E+0
2.500000E-1	4.429834E-6	4.429834E-6	2.903615E-11	5.012695E+0
3.000000E-1	5.068498E-6	5.068498E-6	3.322239E-11	6.015625E+0
3.500000E-1	4.653857E-6	4.653857E-6	3.050455E-11	7.018555E+0
4.000000E-1	1.430928E-6	1.430928E-6	9.379275E-12	9.032227E+0
4.500000E-1	7.464430E-6	7.464430E-6	4.892696E-11	1.080566E+1
5.000000E-1	1.457310E-5	1.457310E-5	9.552202E-11	1.180859E+1
5.000000E-1	1.934796E-5	1.934796E-5	1.268197E-10	1.415625E+1
4.500000E-1	1.817660E-5	1.817660E-5	1.191418E-10	1.482422E+1
4.000000E-1	1.565553E-5	1.565553E-5	1.026170E-10	1.549219E+1
3.500000E-1	8.872326E-6	8.872326E-6	5.815527E-11	1.726563E+1
3.000000E-1	7.976008E-6	7.976008E-6	5.228019E-11	1.826855E+1
2.500000E-1	8.234442E-6	8.234442E-6	5.397414E-11	1.927051E+1
2.000000E-1	6.999044E-6	6.999044E-6	4.587650E-11	2.027344E+1
1.500000E-1	2.897757E-6	2.897757E-6	1.899387E-11	2.127539E+1
1.000000E-1	2.280120E-6	2.280120E-6	1.494546E-11	2.227832E+1
5.000000E-2	9.070374E-7	9.070374E-7	5.945341E-12	2.328125E+1
0.000000E+0	1.201318E-8	-1.201318E-8	-7.874257E-14	2.428320E+1
-5.000000E-2	9.826862E-7	-9.826862E-7	-6.441195E-12	2.528613E+1
-1.000000E-1	2.186308E-6	-2.186308E-6	-1.433055E-11	2.628906E+1
-1.500000E-1	3.028897E-6	-3.028897E-6	-1.985345E-11	2.729102E+1
-2.000000E-1	5.056098E-6	-5.056098E-6	-3.314111E-11	2.829395E+1
-2.500000E-1	6.354404E-6	-6.354404E-6	-4.165109E-11	2.929590E+1
-3.000000E-1	9.613617E-6	-9.613617E-6	-6.301419E-11	3.029883E+1
-3.500000E-1	8.425626E-6	-8.425626E-6	-5.522729E-11	3.130176E+1
-4.000000E-1	8.302645E-6	-8.302645E-6	-5.442119E-11	3.230371E+1
-4.500000E-1	1.028966E-5	-1.028966E-5	-6.744545E-11	3.330664E+1
-5.000000E-1	1.225953E-5	-1.225953E-5	-8.035728E-11	3.531934E+1
-5.000000E-1	1.330872E-5	-1.330872E-5	-8.723443E-11	3.709277E+1
-4.500000E-1	1.073758E-5	-1.073758E-5	-7.038138E-11	3.809570E+1
-4.000000E-1	8.358424E-6	-8.358424E-6	-5.478680E-11	3.909863E+1
-3.500000E-1	6.931117E-6	-6.931117E-6	-4.543126E-11	4.010059E+1
-3.000000E-1	3.055278E-6	-3.055278E-6	-2.002637E-11	4.110352E+1
-2.500000E-1	2.635558E-6	-2.635558E-6	-1.727524E-11	4.210547E+1
-2.000000E-1	1.891412E-6	-1.891412E-6	-1.239760E-11	4.310840E+1
-1.500000E-1	1.020036E-6	-1.020036E-6	-6.686013E-12	4.411035E+1
-1.000000E-1	4.721197E-7	-4.721197E-7	-3.094594E-12	4.511328E+1
-5.000000E-2	4.526158E-7	-4.526158E-7	-2.966752E-12	4.611621E+1
0.000000E+0	8.211900E-8	8.211900E-8	5.382639E-13	4.711816E+1
