voltage_4_1_500mv_500ms	absJ_4_1_500mv_500ms	J_4_1_500mv_500ms	current_4_1_500mv_500ms	time_4_1_500mv_500ms	
0.000000E+0	7.237381E-8	7.237381E-8	1.122810E-12	0.000000E+0
5.000000E-2	1.714082E-7	1.714082E-7	2.659234E-12	1.002930E+0
1.000000E-1	2.761740E-7	2.761740E-7	4.284573E-12	2.005859E+0
1.500000E-1	3.993007E-7	3.993007E-7	6.194767E-12	3.007813E+0
2.000000E-1	6.454909E-7	6.454909E-7	1.001417E-11	4.010742E+0
2.500000E-1	1.036364E-6	1.036364E-6	1.607819E-11	5.013672E+0
3.000000E-1	1.685691E-6	1.685691E-6	2.615187E-11	6.015625E+0
3.500000E-1	2.450624E-6	2.450624E-6	3.801908E-11	7.018555E+0
4.000000E-1	5.147126E-6	5.147126E-6	7.985271E-11	8.021484E+0
4.500000E-1	5.277010E-6	5.277010E-6	8.186773E-11	9.023438E+0
5.000000E-1	6.755405E-6	6.755405E-6	1.048036E-10	1.103711E+1
5.000000E-1	5.434992E-6	5.434992E-6	8.431868E-11	1.281055E+1
4.500000E-1	9.573278E-6	9.573278E-6	1.485202E-10	1.482422E+1
4.000000E-1	7.910790E-6	7.910790E-6	1.227283E-10	1.549219E+1
3.500000E-1	5.842425E-6	5.842425E-6	9.063961E-11	1.726563E+1
3.000000E-1	2.263326E-5	2.263326E-5	3.511332E-10	1.927930E+1
2.500000E-1	1.671371E-5	1.671371E-5	2.592971E-10	1.994727E+1
2.000000E-1	1.085828E-5	1.085828E-5	1.684558E-10	2.061523E+1
1.500000E-1	7.146102E-6	7.146102E-6	1.108649E-10	2.128223E+1
1.000000E-1	4.215513E-6	4.215513E-6	6.539962E-11	2.305664E+1
5.000000E-2	2.940993E-6	2.940993E-6	4.562667E-11	2.405859E+1
0.000000E+0	7.127712E-8	7.127712E-8	1.105796E-12	2.506152E+1
-5.000000E-2	3.089348E-6	-3.089348E-6	-4.792826E-11	2.606445E+1
-1.000000E-1	6.744736E-6	-6.744736E-6	-1.046381E-10	2.706641E+1
-1.500000E-1	1.145710E-5	-1.145710E-5	-1.777459E-10	2.908008E+1
-2.000000E-1	1.975601E-5	-1.975601E-5	-3.064955E-10	2.974805E+1
-2.500000E-1	2.576975E-5	-2.576975E-5	-3.997929E-10	3.041602E+1
-3.000000E-1	3.796242E-5	-3.796242E-5	-5.889504E-10	3.108301E+1
-3.500000E-1	5.496039E-5	-5.496039E-5	-8.526575E-10	3.175098E+1
-4.000000E-1	6.367524E-5	-6.367524E-5	-9.878600E-10	3.241895E+1
-4.500000E-1	9.131072E-5	-9.131072E-5	-1.416598E-9	3.443164E+1
-5.000000E-1	1.035894E-4	-1.035894E-4	-1.607090E-9	3.509961E+1
-5.000000E-1	1.035578E-4	-1.035578E-4	-1.606600E-9	3.576660E+1
-4.500000E-1	9.933797E-5	-9.933797E-5	-1.541133E-9	3.643359E+1
-4.000000E-1	7.953810E-5	-7.953810E-5	-1.233957E-9	3.710059E+1
-3.500000E-1	5.469134E-5	-5.469134E-5	-8.484835E-10	3.844043E+1
-3.000000E-1	3.515407E-5	-3.515407E-5	-5.453816E-10	3.910840E+1
-2.500000E-1	2.513547E-5	-2.513547E-5	-3.899527E-10	3.977637E+1
-2.000000E-1	1.828889E-5	-1.828889E-5	-2.837346E-10	4.044434E+1
-1.500000E-1	1.307755E-5	-1.307755E-5	-2.028856E-10	4.111133E+1
-1.000000E-1	7.446243E-6	-7.446243E-6	-1.155213E-10	4.177930E+1
-5.000000E-2	2.958654E-6	-2.958654E-6	-4.590067E-11	4.355273E+1
0.000000E+0	5.961334E-8	5.961334E-8	9.248435E-13	4.455566E+1
