voltage_spot_3_scan_1	absJ_spot_3_scan_1	J_spot_3_scan_1	current_spot_3_scan_1	time_spot_3_scan_1	
0.000000E+0	7.094705E-8	-7.094705E-8	-2.751688E-13	0.000000E+0
5.000000E-2	2.865995E-5	2.865995E-5	1.111579E-10	1.114258E+0
1.000000E-1	5.923894E-5	5.923894E-5	2.297588E-10	1.483398E+0
1.500000E-1	8.594750E-5	8.594750E-5	3.333482E-10	1.851563E+0
2.000000E-1	1.107774E-4	1.107774E-4	4.296513E-10	2.219727E+0
2.500000E-1	1.413837E-4	1.413837E-4	5.483582E-10	2.587891E+0
3.000000E-1	1.826167E-4	1.826167E-4	7.082805E-10	2.956055E+0
3.500000E-1	2.589835E-4	2.589835E-4	1.004470E-9	3.325195E+0
4.000000E-1	2.805433E-4	2.805433E-4	1.088090E-9	4.439453E+0
4.500000E-1	3.689858E-4	3.689858E-4	1.431115E-9	4.807617E+0
5.000000E-1	4.125227E-4	4.125227E-4	1.599973E-9	5.175781E+0
5.000000E-1	3.770933E-4	3.770933E-4	1.462560E-9	5.542969E+0
4.500000E-1	3.252574E-4	3.252574E-4	1.261514E-9	5.911133E+0
4.000000E-1	2.940717E-4	2.940717E-4	1.140560E-9	6.279297E+0
3.500000E-1	1.865245E-4	1.865245E-4	7.234370E-10	7.019531E+0
3.000000E-1	1.609836E-4	1.609836E-4	6.243763E-10	7.388672E+0
2.500000E-1	1.251559E-4	1.251559E-4	4.854185E-10	7.756836E+0
2.000000E-1	8.428483E-5	8.428483E-5	3.268995E-10	8.125000E+0
1.500000E-1	5.614056E-5	5.614056E-5	2.177417E-10	8.493164E+0
1.000000E-1	3.277194E-5	3.277194E-5	1.271063E-10	8.862305E+0
5.000000E-2	1.470891E-5	1.470891E-5	5.704866E-11	1.003711E+1
0.000000E+0	9.269844E-8	9.269844E-8	3.595318E-13	1.074023E+1
-5.000000E-2	1.477396E-5	-1.477396E-5	-5.730094E-11	1.144336E+1
-1.000000E-1	2.994784E-5	-2.994784E-5	-1.161530E-10	1.255859E+1
-1.500000E-1	5.531048E-5	-5.531048E-5	-2.145222E-10	1.292676E+1
-2.000000E-1	8.434194E-5	-8.434194E-5	-3.271210E-10	1.329492E+1
-2.500000E-1	1.307797E-4	-1.307797E-4	-5.072304E-10	1.366406E+1
-3.000000E-1	2.706883E-4	-2.706883E-4	-1.049867E-9	1.403223E+1
-3.500000E-1	4.144731E-4	-4.144731E-4	-1.607538E-9	1.514648E+1
-4.000000E-1	4.274498E-4	-4.274498E-4	-1.657868E-9	1.551465E+1
-4.500000E-1	4.808814E-4	-4.808814E-4	-1.865103E-9	1.588281E+1
-5.000000E-1	5.216955E-4	-5.216955E-4	-2.023401E-9	1.625000E+1
-5.000000E-1	5.348145E-4	-5.348145E-4	-2.074283E-9	1.661816E+1
-4.500000E-1	5.337749E-4	-5.337749E-4	-2.070251E-9	1.698535E+1
-4.000000E-1	4.195217E-4	-4.195217E-4	-1.627119E-9	1.735352E+1
-3.500000E-1	3.306701E-4	-3.306701E-4	-1.282507E-9	1.772168E+1
-3.000000E-1	3.443733E-4	-3.443733E-4	-1.335655E-9	1.808887E+1
-2.500000E-1	2.653006E-4	-2.653006E-4	-1.028971E-9	1.883008E+1
-2.000000E-1	1.782798E-4	-1.782798E-4	-6.914597E-10	1.919824E+1
-1.500000E-1	9.643261E-5	-9.643261E-5	-3.740148E-10	1.956641E+1
-1.000000E-1	5.438597E-5	-5.438597E-5	-2.109365E-10	1.993555E+1
-5.000000E-2	1.807465E-5	-1.807465E-5	-7.010269E-11	2.111035E+1
0.000000E+0	2.610170E-7	-2.610170E-7	-1.012357E-12	2.181348E+1
