voltage_spot_3_scan_2_3	absJ_spot_3_scan_2_3	J_spot_3_scan_2_3	current_spot_3_scan_2_3	time_spot_3_scan_2_3	
0.000000E+0	4.676609E-9	4.676609E-9	1.813827E-14	0.000000E+0
5.000000E-2	3.484983E-6	3.484983E-6	1.351654E-11	7.031250E-1
1.000000E-1	8.027029E-6	8.027029E-6	3.113291E-11	1.406250E+0
1.500000E-1	2.328811E-5	2.328811E-5	9.032316E-11	2.109375E+0
2.000000E-1	8.149084E-5	8.149084E-5	3.160630E-10	3.224609E+0
2.500000E-1	1.243942E-4	1.243942E-4	4.824641E-10	3.592773E+0
3.000000E-1	1.393098E-4	1.393098E-4	5.403144E-10	3.960938E+0
3.500000E-1	2.398711E-4	2.398711E-4	9.303422E-10	4.329102E+0
4.000000E-1	2.751454E-4	2.751454E-4	1.067154E-9	5.444336E+0
4.500000E-1	3.952866E-4	3.952866E-4	1.533123E-9	5.811523E+0
5.000000E-1	3.722229E-4	3.722229E-4	1.443670E-9	6.179688E+0
5.000000E-1	3.637880E-4	3.637880E-4	1.410955E-9	6.547852E+0
4.500000E-1	2.034504E-4	2.034504E-4	7.890844E-10	7.289063E+0
4.000000E-1	1.586574E-4	1.586574E-4	6.153541E-10	7.657227E+0
3.500000E-1	1.206276E-4	1.206276E-4	4.678555E-10	8.025391E+0
3.000000E-1	8.723991E-5	8.723991E-5	3.383608E-10	8.393555E+0
2.500000E-1	6.844939E-5	6.844939E-5	2.654816E-10	8.762695E+0
2.000000E-1	4.905036E-5	4.905036E-5	1.902423E-10	9.130859E+0
1.500000E-1	2.839833E-5	2.839833E-5	1.101432E-10	9.499023E+0
1.000000E-1	1.335842E-5	1.335842E-5	5.181076E-11	1.067383E+1
5.000000E-2	6.374024E-6	6.374024E-6	2.472171E-11	1.137695E+1
0.000000E+0	1.091686E-7	1.091686E-7	4.234113E-13	1.208008E+1
-5.000000E-2	5.823299E-6	-5.823299E-6	-2.258572E-11	1.278418E+1
-1.000000E-1	1.250270E-5	-1.250270E-5	-4.849184E-11	1.348730E+1
-1.500000E-1	2.014184E-5	-2.014184E-5	-7.812033E-11	1.419043E+1
-2.000000E-1	2.950928E-5	-2.950928E-5	-1.144520E-10	1.530566E+1
-2.500000E-1	4.262228E-5	-4.262228E-5	-1.653109E-10	1.567383E+1
-3.000000E-1	5.435083E-5	-5.435083E-5	-2.108002E-10	1.604199E+1
-3.500000E-1	6.343349E-5	-6.343349E-5	-2.460274E-10	1.641016E+1
-4.000000E-1	7.933285E-5	-7.933285E-5	-3.076932E-10	1.677930E+1
