voltage_4_1_500mv_500ms	absJ_4_1_500mv_500ms	J_4_1_500mv_500ms	current_4_1_500mv_500ms	time_4_1_500mv_500ms	
0.000000E+0	4.305615E-8	-4.305615E-8	-3.273076E-13	0.000000E+0
5.000000E-2	1.943743E-7	1.943743E-7	1.477610E-12	1.001953E+0
1.000000E-1	4.778840E-7	4.778840E-7	3.632816E-12	2.004883E+0
1.500000E-1	7.900626E-7	7.900626E-7	6.005960E-12	3.007813E+0
2.000000E-1	1.585954E-6	1.585954E-6	1.205623E-11	4.009766E+0
2.500000E-1	2.328031E-6	2.328031E-6	1.769741E-11	5.012695E+0
3.000000E-1	3.052903E-6	3.052903E-6	2.320780E-11	6.014648E+0
3.500000E-1	4.506215E-6	4.506215E-6	3.425570E-11	7.017578E+0
4.000000E-1	6.504390E-6	6.504390E-6	4.944558E-11	8.020508E+0
4.500000E-1	9.590111E-6	9.590111E-6	7.290286E-11	9.022461E+0
5.000000E-1	9.565925E-6	9.565925E-6	7.271900E-11	1.002539E+1
5.000000E-1	8.257454E-6	8.257454E-6	6.277216E-11	1.102832E+1
4.500000E-1	5.726144E-6	5.726144E-6	4.352945E-11	1.203027E+1
4.000000E-1	4.610622E-6	4.610622E-6	3.504939E-11	1.303320E+1
3.500000E-1	3.998555E-6	3.998555E-6	3.039653E-11	1.403613E+1
3.000000E-1	2.961030E-6	2.961030E-6	2.250939E-11	1.503809E+1
2.500000E-1	1.846507E-6	1.846507E-6	1.403692E-11	1.604102E+1
2.000000E-1	1.212865E-6	1.212865E-6	9.220055E-12	1.704395E+1
1.500000E-1	8.197592E-7	8.197592E-7	6.231710E-12	1.804590E+1
1.000000E-1	4.113820E-7	4.113820E-7	3.127276E-12	1.904883E+1
5.000000E-2	1.631898E-7	1.631898E-7	1.240549E-12	2.005176E+1
0.000000E+0	3.370009E-9	3.370009E-9	2.561840E-14	2.105371E+1
-5.000000E-2	1.660524E-7	-1.660524E-7	-1.262310E-12	2.205762E+1
-1.000000E-1	4.106664E-7	-4.106664E-7	-3.121836E-12	2.305957E+1
-1.500000E-1	8.147042E-7	-8.147042E-7	-6.193282E-12	2.406250E+1
-2.000000E-1	1.299816E-6	-1.299816E-6	-9.881040E-12	2.506445E+1
-2.500000E-1	1.868732E-6	-1.868732E-6	-1.420587E-11	2.606738E+1
-3.000000E-1	2.787890E-6	-2.787890E-6	-2.119320E-11	2.706934E+1
-3.500000E-1	3.715705E-6	-3.715705E-6	-2.824634E-11	2.807227E+1
-4.000000E-1	4.689430E-6	-4.689430E-6	-3.564848E-11	2.907422E+1
-4.500000E-1	5.657323E-6	-5.657323E-6	-4.300628E-11	3.007715E+1
-5.000000E-1	8.176565E-6	-8.176565E-6	-6.215725E-11	3.108008E+1
-5.000000E-1	8.384959E-6	-8.384959E-6	-6.374144E-11	3.208203E+1
-4.500000E-1	6.537532E-6	-6.537532E-6	-4.969752E-11	3.308496E+1
-4.000000E-1	4.861687E-6	-4.861687E-6	-3.695795E-11	3.408691E+1
-3.500000E-1	3.829033E-6	-3.829033E-6	-2.910784E-11	3.508984E+1
-3.000000E-1	2.822802E-6	-2.822802E-6	-2.145860E-11	3.609277E+1
-2.500000E-1	1.925089E-6	-1.925089E-6	-1.463429E-11	3.709473E+1
-2.000000E-1	1.359119E-6	-1.359119E-6	-1.033186E-11	3.809766E+1
-1.500000E-1	7.842992E-7	-7.842992E-7	-5.962147E-12	3.909961E+1
-1.000000E-1	4.413196E-7	-4.413196E-7	-3.354858E-12	4.010254E+1
-5.000000E-2	2.065143E-7	-2.065143E-7	-1.569897E-12	4.110449E+1
0.000000E+0	9.721179E-9	9.721179E-9	7.389922E-14	4.210742E+1
