voltage_spot_2_run_3_10	absJ_spot_2_run_3_10	J_spot_2_run_3_10	current_spot_2_run_3_10	time_spot_2_run_3_10	
0.000000E+0	1.894246E-7	-1.894246E-7	-1.241618E-12	0.000000E+0
5.000000E-2	1.655191E-4	1.655191E-4	1.084925E-9	1.115234E+0
1.000000E-1	3.371955E-4	3.371955E-4	2.210209E-9	1.483398E+0
1.500000E-1	4.383522E-4	4.383522E-4	2.873259E-9	1.850586E+0
2.000000E-1	9.700278E-4	9.700278E-4	6.358223E-9	2.218750E+0
2.500000E-1	8.009917E-4	8.009917E-4	5.250245E-9	2.586914E+0
3.000000E-1	8.196501E-4	8.196501E-4	5.372545E-9	2.954102E+0
3.500000E-1	4.858711E-4	4.858711E-4	3.184730E-9	3.322266E+0
4.000000E-1	5.467412E-4	5.467412E-4	3.583714E-9	3.690430E+0
4.500000E-1	7.324684E-4	7.324684E-4	4.801097E-9	4.057617E+0
5.000000E-1	1.019124E-3	1.019124E-3	6.680032E-9	4.425781E+0
5.000000E-1	1.347911E-3	1.347911E-3	8.835125E-9	4.793945E+0
4.500000E-1	1.032365E-3	1.032365E-3	6.766824E-9	5.161133E+0
4.000000E-1	7.425817E-4	7.425817E-4	4.867386E-9	5.529297E+0
3.500000E-1	6.124651E-4	6.124651E-4	4.014513E-9	5.897461E+0
3.000000E-1	5.446848E-4	5.446848E-4	3.570235E-9	6.264648E+0
2.500000E-1	3.917542E-4	3.917542E-4	2.567824E-9	6.632813E+0
2.000000E-1	2.663892E-4	2.663892E-4	1.746096E-9	7.000000E+0
1.500000E-1	1.807035E-4	1.807035E-4	1.184454E-9	7.368164E+0
1.000000E-1	1.031967E-4	1.031967E-4	6.764212E-10	8.109375E+0
5.000000E-2	4.685847E-5	4.685847E-5	3.071423E-10	8.477539E+0
0.000000E+0	1.620404E-7	-1.620404E-7	-1.062123E-12	9.652344E+0
-5.000000E-2	4.518348E-5	-4.518348E-5	-2.961633E-10	1.076855E+1
-1.000000E-1	8.460043E-5	-8.460043E-5	-5.545288E-10	1.113672E+1
-1.500000E-1	1.396912E-4	-1.396912E-4	-9.156312E-10	1.150488E+1
-2.000000E-1	1.906438E-4	-1.906438E-4	-1.249609E-9	1.262012E+1
-2.500000E-1	2.649691E-4	-2.649691E-4	-1.736788E-9	1.298730E+1
-3.000000E-1	3.693277E-4	-3.693277E-4	-2.420825E-9	1.335547E+1
-3.500000E-1	4.229384E-4	-4.229384E-4	-2.772226E-9	1.372363E+1
-4.000000E-1	5.461625E-4	-5.461625E-4	-3.579921E-9	1.409082E+1
-4.500000E-1	7.315712E-4	-7.315712E-4	-4.795216E-9	1.445898E+1
-5.000000E-1	8.454321E-4	-8.454321E-4	-5.541538E-9	1.482617E+1
-5.000000E-1	8.056132E-4	-8.056132E-4	-5.280538E-9	1.519434E+1
-4.500000E-1	5.835391E-4	-5.835391E-4	-3.824913E-9	1.556250E+1
-4.000000E-1	4.397532E-4	-4.397532E-4	-2.882442E-9	1.592969E+1
-3.500000E-1	3.382902E-4	-3.382902E-4	-2.217384E-9	1.629785E+1
-3.000000E-1	2.549233E-4	-2.549233E-4	-1.670941E-9	1.666602E+1
-2.500000E-1	1.980708E-4	-1.980708E-4	-1.298291E-9	1.703320E+1
-2.000000E-1	1.385338E-4	-1.385338E-4	-9.080451E-10	1.777441E+1
-1.500000E-1	1.093658E-4	-1.093658E-4	-7.168580E-10	1.814258E+1
-1.000000E-1	7.174988E-5	-7.174988E-5	-4.702976E-10	1.851172E+1
-5.000000E-2	3.487335E-5	-3.487335E-5	-2.285837E-10	1.887988E+1
0.000000E+0	9.321753E-8	-9.321753E-8	-6.110112E-13	2.005469E+1
0.000000E+0	9.039738E-8	-9.039738E-8	-5.925260E-13	2.075879E+1
5.000000E-2	3.821675E-5	3.821675E-5	2.504986E-10	2.187402E+1
1.000000E-1	8.298747E-5	8.298747E-5	5.439564E-10	2.224219E+1
1.500000E-1	1.540525E-4	1.540525E-4	1.009765E-9	2.261035E+1
2.000000E-1	2.444897E-4	2.444897E-4	1.602552E-9	2.372559E+1
2.500000E-1	3.878653E-4	3.878653E-4	2.542333E-9	2.409277E+1
3.000000E-1	5.604849E-4	5.604849E-4	3.673800E-9	2.446094E+1
3.500000E-1	1.164190E-3	1.164190E-3	7.630893E-9	2.482813E+1
4.000000E-1	1.135670E-3	1.135670E-3	7.443957E-9	2.519629E+1
4.500000E-1	6.895191E-4	6.895191E-4	4.519578E-9	2.631055E+1
5.000000E-1	4.603379E-4	4.603379E-4	3.017368E-9	2.705176E+1
5.000000E-1	3.258259E-4	3.258259E-4	2.135685E-9	2.741895E+1
4.500000E-1	2.756799E-4	2.756799E-4	1.806994E-9	2.778711E+1
4.000000E-1	2.247923E-4	2.247923E-4	1.473442E-9	2.815527E+1
3.500000E-1	1.846836E-4	1.846836E-4	1.210542E-9	2.852246E+1
3.000000E-1	1.520637E-4	1.520637E-4	9.967293E-10	2.926367E+1
2.500000E-1	1.254540E-4	1.254540E-4	8.223112E-10	2.963184E+1
2.000000E-1	9.490704E-5	9.490704E-5	6.220854E-10	3.000098E+1
1.500000E-1	6.962089E-5	6.962089E-5	4.563427E-10	3.036914E+1
1.000000E-1	4.128052E-5	4.128052E-5	2.705806E-10	3.073730E+1
5.000000E-2	1.860240E-5	1.860240E-5	1.219328E-10	3.110547E+1
0.000000E+0	4.609428E-8	-4.609428E-8	-3.021333E-13	3.228125E+1
-5.000000E-2	2.186770E-5	-2.186770E-5	-1.433358E-10	3.339648E+1
-1.000000E-1	4.820404E-5	-4.820404E-5	-3.159621E-10	3.376465E+1
-1.500000E-1	7.990206E-5	-7.990206E-5	-5.237325E-10	3.413379E+1
-2.000000E-1	1.231907E-4	-1.231907E-4	-8.074755E-10	3.450195E+1
-2.500000E-1	1.769482E-4	-1.769482E-4	-1.159839E-9	3.561621E+1
-3.000000E-1	2.191724E-4	-2.191724E-4	-1.436605E-9	3.598438E+1
-3.500000E-1	2.589917E-4	-2.589917E-4	-1.697608E-9	3.635254E+1
-4.000000E-1	3.096219E-4	-3.096219E-4	-2.029473E-9	3.671973E+1
-4.500000E-1	3.527549E-4	-3.527549E-4	-2.312196E-9	3.708789E+1
-5.000000E-1	4.216169E-4	-4.216169E-4	-2.763564E-9	3.745605E+1
-5.000000E-1	3.935000E-4	-3.935000E-4	-2.579267E-9	3.782324E+1
-4.500000E-1	3.227953E-4	-3.227953E-4	-2.115820E-9	3.819141E+1
-4.000000E-1	2.694293E-4	-2.694293E-4	-1.766023E-9	3.855957E+1
-3.500000E-1	2.070873E-4	-2.070873E-4	-1.357391E-9	3.892676E+1
-3.000000E-1	1.591063E-4	-1.591063E-4	-1.042891E-9	3.929492E+1
-2.500000E-1	1.337449E-4	-1.337449E-4	-8.766551E-10	4.003613E+1
-2.000000E-1	9.185510E-5	-9.185510E-5	-6.020809E-10	4.040430E+1
-1.500000E-1	7.094577E-5	-7.094577E-5	-4.650269E-10	4.077246E+1
-1.000000E-1	4.724430E-5	-4.724430E-5	-3.096713E-10	4.114160E+1
-5.000000E-2	2.550078E-5	-2.550078E-5	-1.671495E-10	4.150977E+1
0.000000E+0	5.425410E-8	-5.425410E-8	-3.556183E-13	4.268457E+1
0.000000E+0	6.396162E-8	-6.396162E-8	-4.192480E-13	4.338867E+1
5.000000E-2	3.183858E-5	3.183858E-5	2.086917E-10	4.450391E+1
1.000000E-1	8.223975E-5	8.223975E-5	5.390553E-10	4.487207E+1
1.500000E-1	1.447088E-4	1.447088E-4	9.485198E-10	4.524023E+1
2.000000E-1	2.556846E-4	2.556846E-4	1.675931E-9	4.635547E+1
2.500000E-1	3.585903E-4	3.585903E-4	2.350445E-9	4.672266E+1
3.000000E-1	5.386105E-4	5.386105E-4	3.530420E-9	4.709082E+1
3.500000E-1	7.840502E-4	7.840502E-4	5.139199E-9	4.745898E+1
4.000000E-1	1.067655E-3	1.067655E-3	6.998135E-9	4.782617E+1
4.500000E-1	1.555995E-3	1.555995E-3	1.019905E-8	4.819434E+1
5.000000E-1	3.122594E-3	3.122594E-3	2.046761E-8	4.930859E+1
5.000000E-1	4.437797E-3	4.437797E-3	2.908834E-8	4.967578E+1
4.500000E-1	4.189597E-3	4.189597E-3	2.746147E-8	5.004395E+1
4.000000E-1	3.476641E-3	3.476641E-3	2.278827E-8	5.041211E+1
3.500000E-1	2.796492E-3	2.796492E-3	1.833011E-8	5.077930E+1
3.000000E-1	2.321956E-3	2.321956E-3	1.521968E-8	5.114746E+1
2.500000E-1	1.948917E-3	1.948917E-3	1.277453E-8	5.151562E+1
2.000000E-1	1.556631E-3	1.556631E-3	1.020322E-8	5.188281E+1
1.500000E-1	1.200502E-3	1.200502E-3	7.868907E-9	5.262402E+1
1.000000E-1	7.810871E-4	7.810871E-4	5.119777E-9	5.299219E+1
5.000000E-2	4.077282E-4	4.077282E-4	2.672528E-9	5.335938E+1
0.000000E+0	1.438980E-6	-1.438980E-6	-9.432052E-12	5.453418E+1
-5.000000E-2	5.305824E-4	-5.305824E-4	-3.477798E-9	5.564941E+1
-1.000000E-1	1.061852E-3	-1.061852E-3	-6.960103E-9	5.601660E+1
-1.500000E-1	2.212308E-3	-2.212308E-3	-1.450097E-8	5.713086E+1
-2.000000E-1	3.603361E-3	-3.603361E-3	-2.361888E-8	5.749902E+1
-2.500000E-1	4.771916E-3	-4.771916E-3	-3.127839E-8	5.786719E+1
-3.000000E-1	6.063355E-3	-6.063355E-3	-3.974336E-8	5.823437E+1
-3.500000E-1	6.163983E-3	-6.163983E-3	-4.040294E-8	5.860254E+1
-4.000000E-1	7.574006E-3	-7.574006E-3	-4.964519E-8	5.897070E+1
-4.500000E-1	8.775315E-3	-8.775315E-3	-5.751939E-8	5.933789E+1
-5.000000E-1	1.029834E-2	-1.029834E-2	-6.750231E-8	5.970605E+1
-5.000000E-1	8.889194E-3	-8.889194E-3	-5.826583E-8	6.007324E+1
-4.500000E-1	7.731729E-3	-7.731729E-3	-5.067902E-8	6.044141E+1
-4.000000E-1	6.922662E-3	-6.922662E-3	-4.537584E-8	6.080957E+1
-3.500000E-1	5.689716E-3	-5.689716E-3	-3.729427E-8	6.117676E+1
-3.000000E-1	4.529825E-3	-4.529825E-3	-2.969156E-8	6.154492E+1
-2.500000E-1	3.572835E-3	-3.572835E-3	-2.341879E-8	6.191309E+1
-2.000000E-1	2.640336E-3	-2.640336E-3	-1.730656E-8	6.228027E+1
-1.500000E-1	1.882153E-3	-1.882153E-3	-1.233691E-8	6.264844E+1
-1.000000E-1	1.237811E-3	-1.237811E-3	-8.113456E-9	6.338965E+1
-5.000000E-2	6.181760E-4	-6.181760E-4	-4.051947E-9	6.375684E+1
0.000000E+0	2.152025E-6	-2.152025E-6	-1.410584E-11	6.493164E+1
0.000000E+0	2.003629E-6	-2.003629E-6	-1.313315E-11	6.563477E+1
5.000000E-2	7.712719E-4	7.712719E-4	5.055441E-9	6.675000E+1
1.000000E-1	4.332841E-5	4.332841E-5	2.840039E-10	6.786426E+1
1.500000E-1	7.806513E-5	7.806513E-5	5.116920E-10	6.860547E+1
