voltage_spot_6_run_2	absJ_spot_6_run_2	J_spot_6_run_2	current_spot_6_run_2	time_spot_6_run_2	
0.000000E+0	3.127379E-8	-3.127379E-8	-1.746658E-13	0.000000E+0
5.000000E-2	1.287632E-5	1.287632E-5	7.191495E-11	7.031250E-1
1.000000E-1	4.258511E-5	4.258511E-5	2.378401E-10	1.817383E+0
1.500000E-1	7.249710E-5	7.249710E-5	4.049002E-10	2.186523E+0
2.000000E-1	1.065563E-4	1.065563E-4	5.951227E-10	2.554688E+0
2.500000E-1	1.602566E-4	1.602566E-4	8.950418E-10	2.922852E+0
3.000000E-1	1.342423E-4	1.342423E-4	7.497505E-10	4.038086E+0
3.500000E-1	1.670700E-4	1.670700E-4	9.330949E-10	4.779297E+0
4.000000E-1	2.821273E-4	2.821273E-4	1.575696E-9	5.893555E+0
4.500000E-1	3.475440E-4	3.475440E-4	1.941052E-9	6.261719E+0
5.000000E-1	2.980408E-4	2.980408E-4	1.664574E-9	6.628906E+0
5.000000E-1	2.926502E-4	2.926502E-4	1.634467E-9	6.997070E+0
4.500000E-1	2.194623E-4	2.194623E-4	1.225709E-9	7.365234E+0
4.000000E-1	2.248953E-4	2.248953E-4	1.256052E-9	7.732422E+0
3.500000E-1	2.242804E-4	2.242804E-4	1.252618E-9	8.100586E+0
3.000000E-1	1.406756E-4	1.406756E-4	7.856807E-10	8.841797E+0
2.500000E-1	1.539049E-4	1.539049E-4	8.595671E-10	9.209961E+0
2.000000E-1	1.020653E-4	1.020653E-4	5.700401E-10	9.578125E+0
1.500000E-1	8.447056E-5	8.447056E-5	4.717726E-10	9.946289E+0
1.000000E-1	5.471147E-5	5.471147E-5	3.055665E-10	1.031543E+1
5.000000E-2	1.631536E-5	1.631536E-5	9.112217E-11	1.149023E+1
0.000000E+0	7.965798E-8	7.965798E-8	4.448941E-13	1.219336E+1
-5.000000E-2	1.386140E-5	-1.386140E-5	-7.741667E-11	1.289648E+1
-1.000000E-1	1.874652E-5	-1.874652E-5	-1.047003E-10	1.359961E+1
-1.500000E-1	4.098220E-5	-4.098220E-5	-2.288878E-10	1.471484E+1
-2.000000E-1	5.725865E-5	-5.725865E-5	-3.197926E-10	1.508301E+1
-2.500000E-1	6.783050E-5	-6.783050E-5	-3.788370E-10	1.545117E+1
-3.000000E-1	8.508532E-5	-8.508532E-5	-4.752061E-10	1.582031E+1
-3.500000E-1	1.021538E-4	-1.021538E-4	-5.705347E-10	1.618848E+1
-4.000000E-1	1.512064E-4	-1.512064E-4	-8.444958E-10	1.655664E+1
-4.500000E-1	9.600325E-4	-9.600325E-4	-5.361833E-9	1.767187E+1
-5.000000E-1	1.051794E-3	-1.051794E-3	-5.874324E-9	1.803906E+1
-5.000000E-1	1.206593E-3	-1.206593E-3	-6.738888E-9	1.840723E+1
-4.500000E-1	1.256925E-3	-1.256925E-3	-7.019991E-9	1.877441E+1
-4.000000E-1	9.995644E-4	-9.995644E-4	-5.582621E-9	1.914258E+1
-3.500000E-1	6.986173E-4	-6.986173E-4	-3.901815E-9	1.951074E+1
-3.000000E-1	5.001821E-4	-5.001821E-4	-2.793544E-9	1.987793E+1
-2.500000E-1	4.684678E-4	-4.684678E-4	-2.616418E-9	2.024609E+1
-2.000000E-1	2.476784E-4	-2.476784E-4	-1.383297E-9	2.061328E+1
-1.500000E-1	1.743574E-4	-1.743574E-4	-9.737953E-10	2.135449E+1
-1.000000E-1	8.578779E-5	-8.578779E-5	-4.791294E-10	2.172266E+1
-5.000000E-2	4.405306E-5	-4.405306E-5	-2.460387E-10	2.209180E+1
0.000000E+0	5.491177E-8	-5.491177E-8	-3.066852E-13	2.326660E+1
