voltage_spot_15_scan_2_21	absJ_spot_15_scan_2_21	J_spot_15_scan_2_21	current_spot_15_scan_2_21	time_spot_15_scan_2_21	
0.000000E+0	1.368418E-7	-1.368418E-7	-5.307421E-13	0.000000E+0
5.000000E-2	2.327212E-7	2.327212E-7	9.026113E-13	7.031250E-1
1.000000E-1	2.488549E-7	2.488549E-7	9.651863E-13	1.406250E+0
1.500000E-1	1.676530E-7	1.676530E-7	6.502437E-13	2.109375E+0
2.000000E-1	2.801777E-7	2.801777E-7	1.086672E-12	2.812500E+0
2.500000E-1	4.397622E-7	4.397622E-7	1.705622E-12	3.515625E+0
3.000000E-1	6.644540E-7	6.644540E-7	2.577091E-12	4.218750E+0
3.500000E-1	8.850346E-7	8.850346E-7	3.432615E-12	4.921875E+0
4.000000E-1	1.150256E-6	1.150256E-6	4.461279E-12	5.625000E+0
4.500000E-1	1.465278E-6	1.465278E-6	5.683093E-12	6.328125E+0
5.000000E-1	1.848187E-6	1.848187E-6	7.168210E-12	7.031250E+0
5.000000E-1	1.982435E-6	1.982435E-6	7.688891E-12	7.734375E+0
4.500000E-1	1.486084E-6	1.486084E-6	5.763792E-12	8.437500E+0
4.000000E-1	9.618929E-7	9.618929E-7	3.730710E-12	9.140625E+0
3.500000E-1	6.379329E-7	6.379329E-7	2.474229E-12	9.843750E+0
3.000000E-1	4.374794E-7	4.374794E-7	1.696768E-12	1.054688E+1
2.500000E-1	3.207644E-7	3.207644E-7	1.244088E-12	1.125000E+1
2.000000E-1	2.205556E-7	2.205556E-7	8.554268E-13	1.195313E+1
1.500000E-1	1.429210E-7	1.429210E-7	5.543205E-13	1.265625E+1
1.000000E-1	7.389542E-8	7.389542E-8	2.866041E-13	1.335938E+1
5.000000E-2	2.739055E-8	2.739055E-8	1.062345E-13	1.406250E+1
0.000000E+0	2.104653E-8	-2.104653E-8	-8.162915E-14	1.476563E+1
-5.000000E-2	6.515763E-8	-6.515763E-8	-2.527145E-13	1.546973E+1
-1.000000E-1	1.087642E-7	-1.087642E-7	-4.218431E-13	1.617285E+1
-1.500000E-1	1.603107E-7	-1.603107E-7	-6.217665E-13	1.687598E+1
-2.000000E-1	2.228921E-7	-2.228921E-7	-8.644890E-13	1.757910E+1
-2.500000E-1	2.629886E-7	-2.629886E-7	-1.020004E-12	1.828223E+1
-3.000000E-1	3.240420E-7	-3.240420E-7	-1.256800E-12	1.898535E+1
-3.500000E-1	4.548763E-7	-4.548763E-7	-1.764242E-12	1.968848E+1
-4.000000E-1	5.121728E-7	-5.121728E-7	-1.986467E-12	2.039160E+1
-4.500000E-1	6.319002E-7	-6.319002E-7	-2.450831E-12	2.109473E+1
-5.000000E-1	7.516960E-7	-7.516960E-7	-2.915460E-12	2.179785E+1
-5.000000E-1	7.644125E-7	-7.644125E-7	-2.964781E-12	2.250098E+1
-4.500000E-1	6.170295E-7	-6.170295E-7	-2.393155E-12	2.320410E+1
-4.000000E-1	4.879774E-7	-4.879774E-7	-1.892625E-12	2.390723E+1
-3.500000E-1	3.978410E-7	-3.978410E-7	-1.543030E-12	2.461035E+1
-3.000000E-1	2.853161E-7	-2.853161E-7	-1.106601E-12	2.531348E+1
-2.500000E-1	2.237508E-7	-2.237508E-7	-8.678197E-13	2.601660E+1
-2.000000E-1	1.580243E-7	-1.580243E-7	-6.128986E-13	2.671973E+1
-1.500000E-1	1.045993E-7	-1.045993E-7	-4.056894E-13	2.742285E+1
-1.000000E-1	5.511741E-8	-5.511741E-8	-2.137734E-13	2.812598E+1
-5.000000E-2	1.592981E-8	-1.592981E-8	-6.178391E-14	2.882910E+1
0.000000E+0	3.279708E-8	3.279708E-8	1.272038E-13	2.953223E+1
0.000000E+0	1.713921E-8	1.713921E-8	6.647460E-14	3.023633E+1
5.000000E-2	7.805320E-8	7.805320E-8	3.027301E-13	3.093945E+1
1.000000E-1	1.336572E-7	1.336572E-7	5.183909E-13	3.164258E+1
1.500000E-1	2.037563E-7	2.037563E-7	7.902706E-13	3.234570E+1
