voltage_spot_2_scan_1	absJ_spot_2_scan_1	J_spot_2_scan_1	current_spot_2_scan_1	time_spot_2_scan_1	
0.000000E+0	6.984498E-9	-6.984498E-9	-2.708944E-14	0.000000E+0
5.000000E-2	1.404092E-7	1.404092E-7	5.445783E-13	7.031250E-1
1.000000E-1	3.011314E-7	3.011314E-7	1.167941E-12	1.406250E+0
1.500000E-1	4.092943E-7	4.092943E-7	1.587452E-12	2.109375E+0
2.000000E-1	6.500378E-7	6.500378E-7	2.521178E-12	2.812500E+0
2.500000E-1	9.576454E-7	9.576454E-7	3.714237E-12	3.515625E+0
3.000000E-1	1.305818E-6	1.305818E-6	5.064629E-12	4.218750E+0
3.500000E-1	2.026882E-6	2.026882E-6	7.861281E-12	4.921875E+0
4.000000E-1	2.967393E-6	2.967393E-6	1.150906E-11	5.625000E+0
4.500000E-1	4.466933E-6	4.466933E-6	1.732504E-11	6.328125E+0
5.000000E-1	6.187658E-6	6.187658E-6	2.399889E-11	7.031250E+0
5.000000E-1	5.832784E-6	5.832784E-6	2.262251E-11	7.734375E+0
4.500000E-1	3.673233E-6	3.673233E-6	1.424667E-11	8.437500E+0
4.000000E-1	2.654491E-6	2.654491E-6	1.029547E-11	9.140625E+0
3.500000E-1	1.756812E-6	1.756812E-6	6.813813E-12	9.843750E+0
3.000000E-1	1.300874E-6	1.300874E-6	5.045450E-12	1.054688E+1
2.500000E-1	8.413459E-7	8.413459E-7	3.263168E-12	1.125000E+1
2.000000E-1	5.257659E-7	5.257659E-7	2.039188E-12	1.195313E+1
1.500000E-1	3.325651E-7	3.325651E-7	1.289857E-12	1.265625E+1
1.000000E-1	2.014699E-7	2.014699E-7	7.814027E-13	1.335938E+1
5.000000E-2	5.877784E-8	5.877784E-8	2.279704E-13	1.406250E+1
0.000000E+0	4.497344E-8	-4.497344E-8	-1.744299E-13	1.476563E+1
-5.000000E-2	1.414755E-7	-1.414755E-7	-5.487139E-13	1.546875E+1
-1.000000E-1	2.272431E-7	-2.272431E-7	-8.813644E-13	1.617188E+1
-1.500000E-1	3.272731E-7	-3.272731E-7	-1.269332E-12	1.687500E+1
-2.000000E-1	4.254640E-7	-4.254640E-7	-1.650166E-12	1.757813E+1
-2.500000E-1	4.726308E-7	-4.726308E-7	-1.833103E-12	1.828125E+1
-3.000000E-1	6.918769E-7	-6.918769E-7	-2.683451E-12	1.898438E+1
-3.500000E-1	8.078189E-7	-8.078189E-7	-3.133133E-12	1.968750E+1
-4.000000E-1	9.259970E-7	-9.259970E-7	-3.591488E-12	2.039063E+1
-4.500000E-1	1.068160E-6	-1.068160E-6	-4.142867E-12	2.109375E+1
-5.000000E-1	1.312670E-6	-1.312670E-6	-5.091205E-12	2.179688E+1
-5.000000E-1	1.233411E-6	-1.233411E-6	-4.783798E-12	2.250000E+1
-4.500000E-1	1.027061E-6	-1.027061E-6	-3.983466E-12	2.320313E+1
-4.000000E-1	8.233944E-7	-8.233944E-7	-3.193543E-12	2.390625E+1
-3.500000E-1	7.399526E-7	-7.399526E-7	-2.869913E-12	2.460938E+1
-3.000000E-1	6.062380E-7	-6.062380E-7	-2.351300E-12	2.531250E+1
-2.500000E-1	4.516846E-7	-4.516846E-7	-1.751863E-12	2.601563E+1
-2.000000E-1	3.390738E-7	-3.390738E-7	-1.315101E-12	2.671875E+1
-1.500000E-1	2.376518E-7	-2.376518E-7	-9.217349E-13	2.742188E+1
-1.000000E-1	1.399046E-7	-1.399046E-7	-5.426215E-13	2.812500E+1
-5.000000E-2	4.641185E-8	-4.641185E-8	-1.800088E-13	2.882813E+1
0.000000E+0	5.468090E-8	5.468090E-8	2.120804E-13	2.953125E+1
