voltage_spot_5_scan_2_21	absJ_spot_5_scan_2_21	J_spot_5_scan_2_21	current_spot_5_scan_2_21	time_spot_5_scan_2_21	
0.000000E+0	6.802668E-6	-6.802668E-6	-2.638421E-11	0.000000E+0
5.000000E-2	7.002644E-3	7.002644E-3	2.715982E-8	7.421875E-1
1.000000E-1	1.450741E-2	1.450741E-2	5.626712E-8	1.110352E+0
1.500000E-1	2.274096E-2	2.274096E-2	8.820101E-8	1.477539E+0
2.000000E-1	3.025157E-2	3.025157E-2	1.173310E-7	2.597656E+0
2.500000E-1	3.934932E-2	3.934932E-2	1.526167E-7	2.965820E+0
3.000000E-1	4.888388E-2	4.888388E-2	1.895966E-7	3.333008E+0
3.500000E-1	6.067594E-2	6.067594E-2	2.353322E-7	3.701172E+0
4.000000E-1	7.338884E-2	7.338884E-2	2.846393E-7	4.069336E+0
4.500000E-1	8.488465E-2	8.488465E-2	3.292259E-7	4.436523E+0
5.000000E-1	9.543908E-2	9.543908E-2	3.701614E-7	4.804688E+0
5.000000E-1	9.327589E-2	9.327589E-2	3.617714E-7	5.171875E+0
4.500000E-1	7.867703E-2	7.867703E-2	3.051496E-7	5.540039E+0
4.000000E-1	6.652538E-2	6.652538E-2	2.580193E-7	5.908203E+0
3.500000E-1	5.565218E-2	5.565218E-2	2.158475E-7	6.275391E+0
3.000000E-1	4.590761E-2	4.590761E-2	1.780531E-7	6.643555E+0
2.500000E-1	3.522943E-2	3.522943E-2	1.366377E-7	7.011719E+0
2.000000E-1	2.642817E-2	2.642817E-2	1.025019E-7	7.378906E+0
1.500000E-1	1.892841E-2	1.892841E-2	7.341400E-8	8.120117E+0
1.000000E-1	1.203350E-2	1.203350E-2	4.667204E-8	8.488281E+0
5.000000E-2	5.761430E-3	5.761430E-3	2.234576E-8	8.855469E+0
0.000000E+0	4.471599E-6	-4.471599E-6	-1.734314E-11	1.003027E+1
-5.000000E-2	5.456196E-3	-5.456196E-3	-2.116191E-8	1.077246E+1
-1.000000E-1	1.080397E-2	-1.080397E-2	-4.190331E-8	1.114062E+1
-1.500000E-1	1.592682E-2	-1.592682E-2	-6.177234E-8	1.150781E+1
-2.000000E-1	2.105724E-2	-2.105724E-2	-8.167069E-8	1.187598E+1
-2.500000E-1	2.625251E-2	-2.625251E-2	-1.018206E-7	1.224414E+1
-3.000000E-1	3.096978E-2	-3.096978E-2	-1.201166E-7	1.336328E+1
-3.500000E-1	3.635348E-2	-3.635348E-2	-1.409973E-7	1.373145E+1
-4.000000E-1	4.175488E-2	-4.175488E-2	-1.619467E-7	1.409961E+1
-4.500000E-1	4.751722E-2	-4.751722E-2	-1.842960E-7	1.446680E+1
-5.000000E-1	5.341031E-2	-5.341031E-2	-2.071524E-7	1.483496E+1
-5.000000E-1	5.348176E-2	-5.348176E-2	-2.074295E-7	1.520215E+1
-4.500000E-1	4.755371E-2	-4.755371E-2	-1.844375E-7	1.557031E+1
-4.000000E-1	4.186057E-2	-4.186057E-2	-1.623566E-7	1.593848E+1
-3.500000E-1	3.629461E-2	-3.629461E-2	-1.407690E-7	1.630566E+1
-3.000000E-1	3.077272E-2	-3.077272E-2	-1.193523E-7	1.667383E+1
-2.500000E-1	2.586153E-2	-2.586153E-2	-1.003042E-7	1.741504E+1
-2.000000E-1	2.064081E-2	-2.064081E-2	-8.005557E-8	1.778223E+1
-1.500000E-1	1.550308E-2	-1.550308E-2	-6.012884E-8	1.815039E+1
-1.000000E-1	1.038980E-2	-1.038980E-2	-4.029692E-8	1.851855E+1
-5.000000E-2	5.269638E-3	-5.269638E-3	-2.043834E-8	1.888574E+1
0.000000E+0	3.817332E-6	-3.817332E-6	-1.480556E-11	2.006055E+1
0.000000E+0	3.513381E-6	-3.513381E-6	-1.362668E-11	2.076367E+1
5.000000E-2	5.444857E-3	5.444857E-3	2.111793E-8	2.150586E+1
1.000000E-1	1.131336E-2	1.131336E-2	4.387898E-8	2.187402E+1
1.500000E-1	1.763552E-2	1.763552E-2	6.839954E-8	2.224121E+1
2.000000E-1	2.456395E-2	2.456395E-2	9.527150E-8	2.260937E+1
2.500000E-1	3.192257E-2	3.192257E-2	1.238120E-7	2.372949E+1
3.000000E-1	3.958528E-2	3.958528E-2	1.535319E-7	2.409668E+1
3.500000E-1	4.835672E-2	4.835672E-2	1.875520E-7	2.446484E+1
4.000000E-1	5.726659E-2	5.726659E-2	2.221090E-7	2.483203E+1
4.500000E-1	6.803789E-2	6.803789E-2	2.638856E-7	2.520020E+1
5.000000E-1	7.968737E-2	7.968737E-2	3.090682E-7	2.556836E+1
5.000000E-1	7.828564E-2	7.828564E-2	3.036316E-7	2.593555E+1
4.500000E-1	6.577970E-2	6.577970E-2	2.551272E-7	2.630371E+1
4.000000E-1	5.476591E-2	5.476591E-2	2.124101E-7	2.667187E+1
3.500000E-1	4.490295E-2	4.490295E-2	1.741565E-7	2.703906E+1
3.000000E-1	3.674510E-2	3.674510E-2	1.425162E-7	2.740723E+1
2.500000E-1	2.917770E-2	2.917770E-2	1.131660E-7	2.777539E+1
2.000000E-1	2.216619E-2	2.216619E-2	8.597178E-8	2.851660E+1
1.500000E-1	1.577237E-2	1.577237E-2	6.117329E-8	2.888379E+1
1.000000E-1	9.992880E-3	9.992880E-3	3.875748E-8	2.925195E+1
5.000000E-2	4.820726E-3	4.820726E-3	1.869723E-8	2.961914E+1
0.000000E+0	3.758364E-6	-3.758364E-6	-1.457685E-11	3.079395E+1
-5.000000E-2	4.556596E-3	-4.556596E-3	-1.767280E-8	3.153613E+1
-1.000000E-1	9.017062E-3	-9.017062E-3	-3.497276E-8	3.190430E+1
-1.500000E-1	1.345997E-2	-1.345997E-2	-5.220461E-8	3.227148E+1
-2.000000E-1	1.789699E-2	-1.789699E-2	-6.941366E-8	3.263965E+1
-2.500000E-1	2.244299E-2	-2.244299E-2	-8.704535E-8	3.300781E+1
-3.000000E-1	2.684121E-2	-2.684121E-2	-1.041039E-7	3.337500E+1
-3.500000E-1	3.153253E-2	-3.153253E-2	-1.222992E-7	3.449512E+1
-4.000000E-1	3.619182E-2	-3.619182E-2	-1.403703E-7	3.486230E+1
-4.500000E-1	4.043497E-2	-4.043497E-2	-1.568274E-7	3.523047E+1
-5.000000E-1	4.560665E-2	-4.560665E-2	-1.768858E-7	3.559863E+1
-5.000000E-1	4.589253E-2	-4.589253E-2	-1.779946E-7	3.596582E+1
-4.500000E-1	4.065031E-2	-4.065031E-2	-1.576626E-7	3.633398E+1
-4.000000E-1	3.551720E-2	-3.551720E-2	-1.377538E-7	3.670215E+1
-3.500000E-1	3.116143E-2	-3.116143E-2	-1.208599E-7	3.706934E+1
-3.000000E-1	2.658470E-2	-2.658470E-2	-1.031090E-7	3.743750E+1
-2.500000E-1	2.203597E-2	-2.203597E-2	-8.546671E-8	3.817871E+1
-2.000000E-1	1.761128E-2	-1.761128E-2	-6.830551E-8	3.854590E+1
-1.500000E-1	1.338520E-2	-1.338520E-2	-5.191464E-8	3.891406E+1
-1.000000E-1	8.919834E-3	-8.919834E-3	-3.459566E-8	3.928223E+1
-5.000000E-2	4.491579E-3	-4.491579E-3	-1.742063E-8	3.964941E+1
0.000000E+0	3.387732E-6	-3.387732E-6	-1.313935E-11	4.082422E+1
0.000000E+0	2.882257E-6	-2.882257E-6	-1.117886E-11	4.152734E+1
5.000000E-2	4.646703E-3	4.646703E-3	1.802228E-8	4.226953E+1
1.000000E-1	9.654832E-3	9.654832E-3	3.744636E-8	4.263770E+1
1.500000E-1	1.505998E-2	1.505998E-2	5.841029E-8	4.300488E+1
2.000000E-1	2.104495E-2	2.104495E-2	8.162306E-8	4.337305E+1
2.500000E-1	2.771877E-2	2.771877E-2	1.075075E-7	4.449316E+1
3.000000E-1	3.482526E-2	3.482526E-2	1.350701E-7	4.486035E+1
3.500000E-1	4.289455E-2	4.289455E-2	1.663669E-7	4.522852E+1
4.000000E-1	5.092387E-2	5.092387E-2	1.975087E-7	4.559668E+1
4.500000E-1	6.158288E-2	6.158288E-2	2.388498E-7	4.596387E+1
5.000000E-1	7.080468E-2	7.080468E-2	2.746166E-7	4.633203E+1
