voltage_2_1_500mv_500ms	absJ_2_1_500mv_500ms	J_2_1_500mv_500ms	current_2_1_500mv_500ms	time_2_1_500mv_500ms	
0.000000E+0	2.923688E-8	-2.923688E-8	-1.916384E-13	0.000000E+0
5.000000E-2	5.887310E-6	5.887310E-6	3.858944E-11	1.001953E+0
1.000000E-1	1.685504E-5	1.685504E-5	1.104794E-10	3.015625E+0
1.500000E-1	2.988243E-5	2.988243E-5	1.958698E-10	3.683594E+0
2.000000E-1	5.394383E-5	5.394383E-5	3.535846E-10	4.351563E+0
2.500000E-1	8.465051E-5	8.465051E-5	5.548571E-10	5.019531E+0
3.000000E-1	1.390970E-4	1.390970E-4	9.117364E-10	5.686523E+0
3.500000E-1	1.950037E-4	1.950037E-4	1.278187E-9	7.700195E+0
4.000000E-1	2.769126E-4	2.769126E-4	1.815074E-9	8.367188E+0
4.500000E-1	3.755039E-4	3.755039E-4	2.461308E-9	9.034180E+0
5.000000E-1	4.971397E-4	4.971397E-4	3.258592E-9	9.702148E+0
5.000000E-1	4.887207E-4	4.887207E-4	3.203408E-9	1.036914E+1
4.500000E-1	3.801616E-4	3.801616E-4	2.491838E-9	1.103613E+1
4.000000E-1	2.743185E-4	2.743185E-4	1.798070E-9	1.170410E+1
3.500000E-1	2.126531E-4	2.126531E-4	1.393873E-9	1.237109E+1
3.000000E-1	1.384997E-4	1.384997E-4	9.078212E-10	1.371094E+1
2.500000E-1	9.171656E-5	9.171656E-5	6.011728E-10	1.437891E+1
2.000000E-1	5.528016E-5	5.528016E-5	3.623438E-10	1.504687E+1
1.500000E-1	3.137042E-5	3.137042E-5	2.056231E-10	1.571484E+1
1.000000E-1	1.646317E-5	1.646317E-5	1.079108E-10	1.638281E+1
5.000000E-2	6.228617E-6	6.228617E-6	4.082660E-11	1.815625E+1
0.000000E+0	1.902143E-7	-1.902143E-7	-1.246794E-12	1.915918E+1
-5.000000E-2	6.509836E-6	-6.509836E-6	-4.266990E-11	2.016211E+1
-1.000000E-1	1.553619E-5	-1.553619E-5	-1.018348E-10	2.116504E+1
-1.500000E-1	3.009074E-5	-3.009074E-5	-1.972352E-10	2.317773E+1
-2.000000E-1	5.209472E-5	-5.209472E-5	-3.414643E-10	2.384570E+1
-2.500000E-1	8.269726E-5	-8.269726E-5	-5.420542E-10	2.451367E+1
-3.000000E-1	1.257090E-4	-1.257090E-4	-8.239821E-10	2.518164E+1
-3.500000E-1	1.852063E-4	-1.852063E-4	-1.213968E-9	2.719434E+1
-4.000000E-1	2.629722E-4	-2.629722E-4	-1.723699E-9	2.786133E+1
-4.500000E-1	3.448448E-4	-3.448448E-4	-2.260348E-9	2.852832E+1
-5.000000E-1	4.423125E-4	-4.423125E-4	-2.899217E-9	2.919629E+1
-5.000000E-1	4.277194E-4	-4.277194E-4	-2.803564E-9	2.986328E+1
-4.500000E-1	3.412372E-4	-3.412372E-4	-2.236701E-9	3.053027E+1
-4.000000E-1	2.572401E-4	-2.572401E-4	-1.686127E-9	3.119727E+1
-3.500000E-1	1.881333E-4	-1.881333E-4	-1.233154E-9	3.186426E+1
-3.000000E-1	1.272045E-4	-1.272045E-4	-8.337847E-10	3.320410E+1
-2.500000E-1	8.564378E-5	-8.564378E-5	-5.613677E-10	3.387207E+1
-2.000000E-1	5.515632E-5	-5.515632E-5	-3.615321E-10	3.454004E+1
-1.500000E-1	3.127511E-5	-3.127511E-5	-2.049984E-10	3.520801E+1
-1.000000E-1	1.729424E-5	-1.729424E-5	-1.133582E-10	3.587598E+1
-5.000000E-2	7.095749E-6	-7.095749E-6	-4.651037E-11	3.764941E+1
0.000000E+0	6.216408E-8	-6.216408E-8	-4.074657E-13	3.865137E+1
