voltage_1_1_500mv_500ms	absJ_1_1_500mv_500ms	J_1_1_500mv_500ms	current_1_1_500mv_500ms	time_1_1_500mv_500ms	
0.000000E+0	2.238123E-8	-2.238123E-8	-2.508688E-13	0.000000E+0
5.000000E-2	1.054127E-5	1.054127E-5	1.181560E-10	2.012695E+0
1.000000E-1	2.209767E-5	2.209767E-5	2.476904E-10	2.680664E+0
1.500000E-1	3.482497E-5	3.482497E-5	3.903493E-10	3.348633E+0
2.000000E-1	4.903437E-5	4.903437E-5	5.496210E-10	4.016602E+0
2.500000E-1	6.496791E-5	6.496791E-5	7.282183E-10	4.684570E+0
3.000000E-1	8.377167E-5	8.377167E-5	9.389877E-10	5.352539E+0
3.500000E-1	1.043635E-4	1.043635E-4	1.169799E-9	7.365234E+0
4.000000E-1	1.276180E-4	1.276180E-4	1.430456E-9	8.033203E+0
4.500000E-1	1.538925E-4	1.538925E-4	1.724965E-9	8.700195E+0
5.000000E-1	1.828546E-4	1.828546E-4	2.049598E-9	9.367188E+0
5.000000E-1	1.845832E-4	1.845832E-4	2.068973E-9	1.003516E+1
4.500000E-1	1.540623E-4	1.540623E-4	1.726868E-9	1.070215E+1
4.000000E-1	1.295313E-4	1.295313E-4	1.451902E-9	1.136914E+1
3.500000E-1	1.062623E-4	1.062623E-4	1.191083E-9	1.203613E+1
3.000000E-1	8.492086E-5	8.492086E-5	9.518688E-10	1.337598E+1
2.500000E-1	6.666878E-5	6.666878E-5	7.472832E-10	1.404395E+1
2.000000E-1	5.058828E-5	5.058828E-5	5.670386E-10	1.471191E+1
1.500000E-1	3.556058E-5	3.556058E-5	3.985947E-10	1.537988E+1
1.000000E-1	2.264788E-5	2.264788E-5	2.538576E-10	1.604785E+1
5.000000E-2	1.071098E-5	1.071098E-5	1.200582E-10	1.671582E+1
0.000000E+0	2.987177E-8	2.987177E-8	3.348294E-13	1.848926E+1
-5.000000E-2	9.973706E-6	-9.973706E-6	-1.117942E-10	2.050391E+1
-1.000000E-1	1.946544E-5	-1.946544E-5	-2.181860E-10	2.117188E+1
-1.500000E-1	2.870591E-5	-2.870591E-5	-3.217615E-10	2.183984E+1
-2.000000E-1	3.727180E-5	-3.727180E-5	-4.177756E-10	2.250684E+1
-2.500000E-1	4.650641E-5	-4.650641E-5	-5.212853E-10	2.317480E+1
-3.000000E-1	5.559107E-5	-5.559107E-5	-6.231143E-10	2.384277E+1
-3.500000E-1	6.365120E-5	-6.365120E-5	-7.134594E-10	2.451074E+1
-4.000000E-1	7.219790E-5	-7.219790E-5	-8.092585E-10	2.517871E+1
-4.500000E-1	7.984807E-5	-7.984807E-5	-8.950084E-10	2.584668E+1
-5.000000E-1	8.673998E-5	-8.673998E-5	-9.722591E-10	2.651367E+1
-5.000000E-1	8.769320E-5	-8.769320E-5	-9.829436E-10	2.718164E+1
-4.500000E-1	7.870105E-5	-7.870105E-5	-8.821516E-10	2.784961E+1
-4.000000E-1	6.926610E-5	-6.926610E-5	-7.763962E-10	2.851758E+1
-3.500000E-1	6.235188E-5	-6.235188E-5	-6.988955E-10	2.918555E+1
-3.000000E-1	5.303885E-5	-5.303885E-5	-5.945068E-10	2.985254E+1
-2.500000E-1	4.494283E-5	-4.494283E-5	-5.037593E-10	3.052051E+1
-2.000000E-1	3.662674E-5	-3.662674E-5	-4.105452E-10	3.118848E+1
-1.500000E-1	2.816550E-5	-2.816550E-5	-3.157041E-10	3.185645E+1
-1.000000E-1	1.918221E-5	-1.918221E-5	-2.150113E-10	3.252441E+1
-5.000000E-2	9.860163E-6	-9.860163E-6	-1.105215E-10	3.319141E+1
0.000000E+0	3.066538E-8	-3.066538E-8	-3.437250E-13	3.496484E+1
