voltage_line_1_scan_1	absJ_line_1_scan_1	J_line_1_scan_1	current_line_1_scan_1	time_line_1_scan_1	
0.000000E+0	6.906870E-2	-6.906870E-2	-2.678836E-7	0.000000E+0
5.000000E-2	5.413010E+1	5.413010E+1	2.099441E-4	7.431641E-1
1.000000E-1	1.086567E+2	1.086567E+2	4.214259E-4	1.111328E+0
1.500000E-1	1.608284E+2	1.608284E+2	6.237746E-4	1.478516E+0
2.000000E-1	2.064390E+2	2.064390E+2	8.006754E-4	1.846680E+0
2.500000E-1	2.540905E+2	2.540905E+2	9.854923E-4	2.214844E+0
3.000000E-1	3.019186E+2	3.019186E+2	1.170994E-3	3.325195E+0
3.500000E-1	3.428379E+2	3.428379E+2	1.329700E-3	3.692383E+0
4.000000E-1	3.895146E+2	3.895146E+2	1.510736E-3	4.060547E+0
4.500000E-1	4.701463E+2	4.701463E+2	1.823467E-3	4.428711E+0
5.000000E-1	6.046898E+2	6.046898E+2	2.345295E-3	4.795898E+0
5.000000E-1	6.610454E+2	6.610454E+2	2.563871E-3	5.164063E+0
4.500000E-1	6.081274E+2	6.081274E+2	2.358628E-3	5.532227E+0
4.000000E-1	5.431772E+2	5.431772E+2	2.106718E-3	5.899414E+0
3.500000E-1	4.754971E+2	4.754971E+2	1.844220E-3	6.267578E+0
3.000000E-1	4.013088E+2	4.013088E+2	1.556480E-3	6.635742E+0
2.500000E-1	3.287157E+2	3.287157E+2	1.274927E-3	7.002930E+0
2.000000E-1	2.595850E+2	2.595850E+2	1.006803E-3	7.371094E+0
1.500000E-1	1.901344E+2	1.901344E+2	7.374379E-4	8.110352E+0
1.000000E-1	1.238053E+2	1.238053E+2	4.801801E-4	8.477539E+0
5.000000E-2	6.037660E+1	6.037660E+1	2.341712E-4	8.845703E+0
0.000000E+0	6.932769E-2	-6.932769E-2	-2.688881E-7	9.596680E+0
-5.000000E-2	5.337476E+1	-5.337476E+1	-2.070145E-4	1.034082E+1
-1.000000E-1	4.855193E+1	-4.855193E+1	-1.883091E-4	1.070898E+1
-1.500000E-1	7.139083E+1	-7.139083E+1	-2.768900E-4	1.107715E+1
-2.000000E-1	1.006404E+2	-1.006404E+2	-3.903346E-4	1.144434E+1
-2.500000E-1	1.225560E+2	-1.225560E+2	-4.753348E-4	1.181250E+1
-3.000000E-1	1.564725E+2	-1.564725E+2	-6.068801E-4	1.218066E+1
-3.500000E-1	1.358015E+2	-1.358015E+2	-5.267072E-4	1.254785E+1
-4.000000E-1	1.491148E+2	-1.491148E+2	-5.783432E-4	1.291602E+1
-4.500000E-1	1.586424E+2	-1.586424E+2	-6.152960E-4	1.328320E+1
-5.000000E-1	1.620597E+2	-1.620597E+2	-6.285501E-4	1.365137E+1
-5.000000E-1	1.591764E+2	-1.591764E+2	-6.173670E-4	1.401953E+1
-4.500000E-1	1.516446E+2	-1.516446E+2	-5.881551E-4	1.438672E+1
-4.000000E-1	1.392292E+2	-1.392292E+2	-5.400016E-4	1.475488E+1
-3.500000E-1	1.244633E+2	-1.244633E+2	-4.827321E-4	1.512305E+1
-3.000000E-1	1.094731E+2	-1.094731E+2	-4.245926E-4	1.549023E+1
-2.500000E-1	9.224539E+1	-9.224539E+1	-3.577746E-4	1.585840E+1
-2.000000E-1	7.373222E+1	-7.373222E+1	-2.859711E-4	1.622559E+1
-1.500000E-1	5.558587E+1	-5.558587E+1	-2.155903E-4	1.659375E+1
-1.000000E-1	3.715131E+1	-3.715131E+1	-1.440917E-4	1.696191E+1
-5.000000E-2	1.859076E+1	-1.859076E+1	-7.210443E-5	1.770020E+1
0.000000E+0	4.714159E-2	-4.714159E-2	-1.828391E-7	1.844824E+1
