voltage_spot_2_run_3_20	absJ_spot_2_run_3_20	J_spot_2_run_3_20	current_spot_2_run_3_20	time_spot_2_run_3_20	
0.000000E+0	3.731913E-7	-3.731913E-7	-1.447426E-12	0.000000E+0
5.000000E-2	3.852599E-5	3.852599E-5	1.494234E-10	1.115234E+0
1.000000E-1	8.891034E-5	8.891034E-5	3.448396E-10	1.484375E+0
1.500000E-1	1.526519E-4	1.526519E-4	5.920618E-10	1.852539E+0
2.000000E-1	2.215727E-4	2.215727E-4	8.593718E-10	2.220703E+0
2.500000E-1	3.537026E-4	3.537026E-4	1.371839E-9	3.335938E+0
3.000000E-1	4.707695E-4	4.707695E-4	1.825884E-9	3.703125E+0
3.500000E-1	6.094965E-4	6.094965E-4	2.363938E-9	4.071289E+0
4.000000E-1	8.576205E-4	8.576205E-4	3.326289E-9	4.439453E+0
4.500000E-1	9.286209E-4	9.286209E-4	3.601665E-9	4.806641E+0
5.000000E-1	1.321821E-3	1.321821E-3	5.126696E-9	5.174805E+0
5.000000E-1	1.380141E-3	1.380141E-3	5.352889E-9	5.542969E+0
4.500000E-1	1.109294E-3	1.109294E-3	4.302406E-9	5.910156E+0
4.000000E-1	1.007920E-3	1.007920E-3	3.909229E-9	6.278320E+0
3.500000E-1	6.757444E-4	6.757444E-4	2.620881E-9	6.646484E+0
3.000000E-1	5.646154E-4	5.646154E-4	2.189866E-9	7.013672E+0
2.500000E-1	4.893008E-4	4.893008E-4	1.897758E-9	7.381836E+0
2.000000E-1	3.710219E-4	3.710219E-4	1.439012E-9	7.750000E+0
1.500000E-1	3.036024E-4	3.036024E-4	1.177525E-9	8.117188E+0
1.000000E-1	1.751195E-4	1.751195E-4	6.792026E-10	8.858398E+0
5.000000E-2	1.292047E-4	1.292047E-4	5.011216E-10	9.227539E+0
0.000000E+0	4.282764E-7	-4.282764E-7	-1.661074E-12	1.040234E+1
-5.000000E-2	2.122999E-4	-2.122999E-4	-8.234071E-10	1.151758E+1
-1.000000E-1	5.287320E-4	-5.287320E-4	-2.050692E-9	1.263184E+1
-1.500000E-1	8.033633E-4	-8.033633E-4	-3.115852E-9	1.300000E+1
-2.000000E-1	9.079385E-4	-9.079385E-4	-3.521448E-9	1.336816E+1
