voltage_spot_3_scan_1	absJ_spot_3_scan_1	J_spot_3_scan_1	current_spot_3_scan_1	time_spot_3_scan_1	
0.000000E+0	1.391890E-8	-1.391890E-8	-5.398459E-14	0.000000E+0
5.000000E-2	1.758923E-5	1.758923E-5	6.822001E-11	7.031250E-1
1.000000E-1	4.702760E-5	4.702760E-5	1.823970E-10	1.985352E+0
1.500000E-1	9.189033E-5	9.189033E-5	3.563975E-10	2.353516E+0
2.000000E-1	1.473536E-4	1.473536E-4	5.715122E-10	2.722656E+0
2.500000E-1	2.271373E-4	2.271373E-4	8.809541E-10	3.090820E+0
3.000000E-1	5.121661E-4	5.121661E-4	1.986441E-9	4.205078E+0
3.500000E-1	5.802092E-4	5.802092E-4	2.250347E-9	4.573242E+0
4.000000E-1	8.537213E-4	8.537213E-4	3.311166E-9	4.941406E+0
4.500000E-1	1.251027E-3	1.251027E-3	4.852120E-9	5.308594E+0
5.000000E-1	1.253903E-3	1.253903E-3	4.863276E-9	5.676758E+0
5.000000E-1	1.444187E-3	1.444187E-3	5.601291E-9	6.043945E+0
4.500000E-1	1.037103E-3	1.037103E-3	4.022412E-9	6.412109E+0
4.000000E-1	6.198492E-4	6.198492E-4	2.404091E-9	6.780273E+0
3.500000E-1	4.721793E-4	4.721793E-4	1.831352E-9	7.147461E+0
3.000000E-1	3.491298E-4	3.491298E-4	1.354103E-9	7.515625E+0
2.500000E-1	2.896669E-4	2.896669E-4	1.123476E-9	7.883789E+0
2.000000E-1	2.901584E-4	2.901584E-4	1.125382E-9	8.250977E+0
1.500000E-1	1.231128E-4	1.231128E-4	4.774940E-10	8.992188E+0
1.000000E-1	7.371726E-5	7.371726E-5	2.859131E-10	9.361328E+0
5.000000E-2	3.153853E-5	3.153853E-5	1.223225E-10	9.729492E+0
0.000000E+0	1.149258E-7	-1.149258E-7	-4.457407E-13	1.090430E+1
-5.000000E-2	2.645408E-5	-2.645408E-5	-1.026024E-10	1.160742E+1
-1.000000E-1	2.693744E-5	-2.693744E-5	-1.044771E-10	1.231055E+1
-1.500000E-1	1.426114E-4	-1.426114E-4	-5.531198E-10	1.342578E+1
-2.000000E-1	2.203011E-4	-2.203011E-4	-8.544399E-10	1.379395E+1
-2.500000E-1	2.557396E-4	-2.557396E-4	-9.918883E-10	1.416211E+1
-3.000000E-1	2.706034E-4	-2.706034E-4	-1.049538E-9	1.453125E+1
-3.500000E-1	6.385626E-4	-6.385626E-4	-2.476671E-9	1.564551E+1
-4.000000E-1	6.858323E-4	-6.858323E-4	-2.660007E-9	1.601367E+1
-4.500000E-1	7.079882E-4	-7.079882E-4	-2.745939E-9	1.638086E+1
-5.000000E-1	9.733474E-4	-9.733474E-4	-3.775137E-9	1.674902E+1
-5.000000E-1	1.062763E-3	-1.062763E-3	-4.121935E-9	1.711719E+1
-4.500000E-1	9.288558E-4	-9.288558E-4	-3.602576E-9	1.748438E+1
-4.000000E-1	6.162176E-4	-6.162176E-4	-2.390006E-9	1.785254E+1
-3.500000E-1	4.618109E-4	-4.618109E-4	-1.791138E-9	1.821973E+1
-3.000000E-1	4.234356E-4	-4.234356E-4	-1.642299E-9	1.858789E+1
-2.500000E-1	2.845245E-4	-2.845245E-4	-1.103531E-9	1.895605E+1
-2.000000E-1	2.269737E-4	-2.269737E-4	-8.803196E-10	1.969629E+1
-1.500000E-1	1.403888E-4	-1.403888E-4	-5.444991E-10	2.006543E+1
-1.000000E-1	8.344126E-5	-8.344126E-5	-3.236277E-10	2.043359E+1
-5.000000E-2	4.018838E-5	-4.018838E-5	-1.558710E-10	2.080176E+1
0.000000E+0	1.455366E-7	-1.455366E-7	-5.644651E-13	2.197656E+1
