voltage_spot_1_run_2	absJ_spot_1_run_2	J_spot_1_run_2	current_spot_1_run_2	time_spot_1_run_2	
0.000000E+0	1.599168E-4	-1.599168E-4	-1.395537E-9	0.000000E+0
5.000000E-2	5.809274E-2	5.809274E-2	5.069548E-7	1.114258E+0
1.000000E-1	1.379399E-1	1.379399E-1	1.203753E-6	2.241211E+0
1.500000E-1	2.208701E-1	2.208701E-1	1.927455E-6	2.608398E+0
2.000000E-1	3.141259E-1	3.141259E-1	2.741266E-6	2.976563E+0
2.500000E-1	4.092670E-1	4.092670E-1	3.571528E-6	3.344727E+0
3.000000E-1	5.366989E-1	5.366989E-1	4.683581E-6	3.711914E+0
3.500000E-1	6.754105E-1	6.754105E-1	5.894068E-6	4.080078E+0
4.000000E-1	9.203789E-1	9.203789E-1	8.031821E-6	4.448242E+0
4.500000E-1	1.194932E+0	1.194932E+0	1.042775E-5	4.815430E+0
5.000000E-1	1.635933E+0	1.635933E+0	1.427621E-5	5.930664E+0
5.000000E-1	1.722564E+0	1.722564E+0	1.503221E-5	6.298828E+0
4.500000E-1	1.461268E+0	1.461268E+0	1.275197E-5	6.666016E+0
4.000000E-1	1.271358E+0	1.271358E+0	1.109469E-5	7.034180E+0
3.500000E-1	1.136578E+0	1.136578E+0	9.918518E-6	7.781250E+0
3.000000E-1	9.002323E-1	9.002323E-1	7.856009E-6	8.149414E+0
2.500000E-1	7.207532E-1	7.207532E-1	6.289758E-6	8.516602E+0
2.000000E-1	5.606196E-1	5.606196E-1	4.892329E-6	8.884766E+0
1.500000E-1	4.074562E-1	4.074562E-1	3.555726E-6	9.252930E+0
1.000000E-1	2.718876E-1	2.718876E-1	2.372667E-6	9.620117E+0
5.000000E-2	1.318149E-1	1.318149E-1	1.150302E-6	9.988281E+0
0.000000E+0	2.207039E-4	-2.207039E-4	-1.926005E-9	1.072949E+1
-5.000000E-2	1.292774E-1	-1.292774E-1	-1.128158E-6	1.147070E+1
-1.000000E-1	2.586683E-1	-2.586683E-1	-2.257307E-6	1.183887E+1
-1.500000E-1	3.872653E-1	-3.872653E-1	-3.379527E-6	1.220605E+1
-2.000000E-1	5.280720E-1	-5.280720E-1	-4.608298E-6	1.257422E+1
-2.500000E-1	6.759013E-1	-6.759013E-1	-5.898352E-6	1.294238E+1
-3.000000E-1	8.322426E-1	-8.322426E-1	-7.262687E-6	1.330957E+1
-3.500000E-1	9.246580E-1	-9.246580E-1	-8.069163E-6	1.367773E+1
-4.000000E-1	1.031940E+0	-1.031940E+0	-9.005375E-6	1.404492E+1
-4.500000E-1	1.131053E+0	-1.131053E+0	-9.870299E-6	1.441309E+1
-5.000000E-1	1.170057E+0	-1.170057E+0	-1.021067E-5	1.552832E+1
-5.000000E-1	1.174690E+0	-1.174690E+0	-1.025110E-5	1.589551E+1
-4.500000E-1	1.031666E+0	-1.031666E+0	-9.002987E-6	1.664355E+1
-4.000000E-1	9.162374E-1	-9.162374E-1	-7.995680E-6	1.701074E+1
-3.500000E-1	7.953412E-1	-7.953412E-1	-6.940661E-6	1.737891E+1
-3.000000E-1	6.864579E-1	-6.864579E-1	-5.990475E-6	1.774609E+1
-2.500000E-1	5.622464E-1	-5.622464E-1	-4.906525E-6	1.811426E+1
-2.000000E-1	4.662032E-1	-4.662032E-1	-4.068391E-6	1.848242E+1
-1.500000E-1	3.679890E-1	-3.679890E-1	-3.211310E-6	1.884961E+1
-1.000000E-1	2.609416E-1	-2.609416E-1	-2.277145E-6	1.921777E+1
-5.000000E-2	1.410840E-1	-1.410840E-1	-1.231190E-6	1.958496E+1
0.000000E+0	2.513521E-4	-2.513521E-4	-2.193461E-9	2.032617E+1
