voltage_spot_6_run_2_10	absJ_spot_6_run_2_10	J_spot_6_run_2_10	current_spot_6_run_2_10	time_spot_6_run_2_10	
0.000000E+0	8.741190E-7	-8.741190E-7	-3.051251E-11	0.000000E+0
5.000000E-2	4.400121E-4	4.400121E-4	1.535932E-8	7.421875E-1
1.000000E-1	1.404450E-3	1.404450E-3	4.902454E-8	1.109375E+0
1.500000E-1	2.286905E-3	2.286905E-3	7.982803E-8	1.477539E+0
2.000000E-1	2.479616E-3	2.479616E-3	8.655491E-8	2.597656E+0
2.500000E-1	3.587326E-3	3.587326E-3	1.252213E-7	2.964844E+0
3.000000E-1	4.876157E-3	4.876157E-3	1.702100E-7	3.333008E+0
3.500000E-1	6.654246E-3	6.654246E-3	2.322770E-7	3.700195E+0
4.000000E-1	7.394934E-3	7.394934E-3	2.581319E-7	4.068359E+0
4.500000E-1	9.141341E-3	9.141341E-3	3.190930E-7	4.436523E+0
5.000000E-1	1.033369E-2	1.033369E-2	3.607138E-7	4.803711E+0
5.000000E-1	1.210678E-2	1.210678E-2	4.226063E-7	5.171875E+0
4.500000E-1	8.075920E-3	8.075920E-3	2.819028E-7	5.539063E+0
4.000000E-1	6.807420E-3	6.807420E-3	2.376238E-7	5.907227E+0
3.500000E-1	5.037966E-3	5.037966E-3	1.758582E-7	6.275391E+0
3.000000E-1	4.592185E-3	4.592185E-3	1.602975E-7	6.642578E+0
2.500000E-1	3.216075E-3	3.216075E-3	1.122622E-7	7.010742E+0
2.000000E-1	1.843752E-3	1.843752E-3	6.435909E-8	7.751953E+0
1.500000E-1	1.387554E-3	1.387554E-3	4.843476E-8	8.119141E+0
1.000000E-1	9.319067E-4	9.319067E-4	3.252968E-8	8.487305E+0
5.000000E-2	3.696431E-4	3.696431E-4	1.290298E-8	8.855469E+0
0.000000E+0	7.889981E-7	-7.889981E-7	-2.754123E-11	1.002930E+1
-5.000000E-2	6.555468E-4	-6.555468E-4	-2.288290E-8	1.077148E+1
