voltage_run_3_spot_2	absJ_run_3_spot_2	J_run_3_spot_2	current_run_3_spot_2	time_run_3_spot_2	
0.000000E+0	8.756132E-8	8.756132E-8	1.100328E-12	0.000000E+0
5.000000E-2	1.786175E-6	1.786175E-6	2.244574E-11	7.031250E-1
1.000000E-1	3.695840E-6	3.695840E-6	4.644330E-11	1.406250E+0
1.500000E-1	6.676004E-6	6.676004E-6	8.389314E-11	2.109375E+0
2.000000E-1	1.437667E-5	1.437667E-5	1.806626E-10	3.224609E+0
2.500000E-1	1.646660E-5	1.646660E-5	2.069254E-10	3.592773E+0
3.000000E-1	2.296395E-5	2.296395E-5	2.885735E-10	3.961914E+0
3.500000E-1	3.173272E-5	3.173272E-5	3.987651E-10	4.330078E+0
4.000000E-1	4.351253E-5	4.351253E-5	5.467946E-10	4.698242E+0
4.500000E-1	6.894116E-5	6.894116E-5	8.663402E-10	5.066406E+0
5.000000E-1	8.351480E-5	8.351480E-5	1.049478E-9	5.435547E+0
5.000000E-1	6.370390E-5	6.370390E-5	8.005268E-10	6.549805E+0
4.500000E-1	4.564790E-5	4.564790E-5	5.736284E-10	7.291016E+0
4.000000E-1	3.523351E-5	3.523351E-5	4.427574E-10	7.659180E+0
3.500000E-1	2.476764E-5	2.476764E-5	3.112394E-10	8.028320E+0
3.000000E-1	1.684073E-5	1.684073E-5	2.116268E-10	8.396484E+0
2.500000E-1	1.131136E-5	1.131136E-5	1.421427E-10	8.764648E+0
2.000000E-1	9.416680E-6	9.416680E-6	1.183335E-10	1.051855E+1
1.500000E-1	5.413888E-6	5.413888E-6	6.803292E-11	1.169336E+1
1.000000E-1	3.109390E-6	3.109390E-6	3.907375E-11	1.239648E+1
5.000000E-2	1.392784E-6	1.392784E-6	1.750224E-11	1.309961E+1
0.000000E+0	1.061687E-7	1.061687E-7	1.334155E-12	1.380273E+1
-5.000000E-2	1.396525E-6	-1.396525E-6	-1.754925E-11	1.450586E+1
-1.000000E-1	3.281024E-6	-3.281024E-6	-4.123056E-11	1.520898E+1
-1.500000E-1	5.344927E-6	-5.344927E-6	-6.716633E-11	1.591211E+1
-2.000000E-1	7.178535E-6	-7.178535E-6	-9.020813E-11	1.661523E+1
-2.500000E-1	9.556498E-6	-9.556498E-6	-1.200905E-10	1.773047E+1
-3.000000E-1	1.543618E-5	-1.543618E-5	-1.939768E-10	1.809863E+1
-3.500000E-1	1.982510E-5	-1.982510E-5	-2.491295E-10	1.846777E+1
-4.000000E-1	2.485962E-5	-2.485962E-5	-3.123952E-10	1.883594E+1
-4.500000E-1	3.499259E-5	-3.499259E-5	-4.397299E-10	1.920410E+1
-5.000000E-1	4.476132E-5	-4.476132E-5	-5.624874E-10	1.957227E+1
-5.000000E-1	4.563354E-5	-4.563354E-5	-5.734480E-10	1.994141E+1
-4.500000E-1	3.923053E-5	-3.923053E-5	-4.929854E-10	2.030957E+1
-4.000000E-1	2.859711E-5	-2.859711E-5	-3.593619E-10	2.067773E+1
-3.500000E-1	2.038252E-5	-2.038252E-5	-2.561343E-10	2.104590E+1
-3.000000E-1	1.494918E-5	-1.494918E-5	-1.878570E-10	2.141504E+1
-2.500000E-1	1.053582E-5	-1.053582E-5	-1.323970E-10	2.178320E+1
-2.000000E-1	6.900229E-6	-6.900229E-6	-8.671083E-11	2.295801E+1
-1.500000E-1	4.255368E-6	-4.255368E-6	-5.347453E-11	2.366113E+1
-1.000000E-1	2.277143E-6	-2.277143E-6	-2.861542E-11	2.436426E+1
-5.000000E-2	9.767601E-7	-9.767601E-7	-1.227433E-11	2.506738E+1
0.000000E+0	1.057788E-7	1.057788E-7	1.329256E-12	2.577051E+1
