voltage_run_5_spot_3_10	absJ_run_5_spot_3_10	J_run_5_spot_3_10	current_run_5_spot_3_10	time_run_5_spot_3_10	
0.000000E+0	2.041064E-5	-2.041064E-5	-2.564876E-10	0.000000E+0
5.000000E-2	1.549092E-2	1.549092E-2	1.946646E-7	7.412109E-1
1.000000E-1	3.272601E-2	3.272601E-2	4.112472E-7	1.109375E+0
1.500000E-1	5.211105E-2	5.211105E-2	6.548468E-7	1.476563E+0
2.000000E-1	7.339187E-2	7.339187E-2	9.222694E-7	1.844727E+0
2.500000E-1	1.261398E-1	1.261398E-1	1.585119E-6	2.971680E+0
3.000000E-1	1.584309E-1	1.584309E-1	1.990901E-6	3.338867E+0
3.500000E-1	1.955083E-1	1.955083E-1	2.456830E-6	3.707031E+0
4.000000E-1	2.422150E-1	2.422150E-1	3.043764E-6	4.075195E+0
4.500000E-1	2.990280E-1	2.990280E-1	3.757697E-6	4.442383E+0
5.000000E-1	3.434254E-1	3.434254E-1	4.315611E-6	4.810547E+0
5.000000E-1	3.434221E-1	3.434221E-1	4.315569E-6	5.178711E+0
4.500000E-1	2.876478E-1	2.876478E-1	3.614689E-6	5.545898E+0
4.000000E-1	2.453291E-1	2.453291E-1	3.082897E-6	5.914063E+0
3.500000E-1	2.038724E-1	2.038724E-1	2.561936E-6	6.282227E+0
3.000000E-1	1.670427E-1	1.670427E-1	2.099121E-6	6.649414E+0
2.500000E-1	1.338639E-1	1.338639E-1	1.682183E-6	7.017578E+0
2.000000E-1	1.031341E-1	1.031341E-1	1.296021E-6	7.384766E+0
1.500000E-1	7.431131E-2	7.431131E-2	9.338234E-7	8.125977E+0
1.000000E-1	4.814256E-2	4.814256E-2	6.049773E-7	8.494141E+0
5.000000E-2	2.342021E-2	2.342021E-2	2.943070E-7	8.862305E+0
0.000000E+0	2.018950E-5	-2.018950E-5	-2.537087E-10	9.602539E+0
-5.000000E-2	2.247340E-2	-2.247340E-2	-2.824091E-7	1.034570E+1
-1.000000E-1	4.436621E-2	-4.436621E-2	-5.575223E-7	1.071289E+1
-1.500000E-1	6.599685E-2	-6.599685E-2	-8.293408E-7	1.108105E+1
-2.000000E-1	8.045840E-2	-8.045840E-2	-1.011070E-6	1.220801E+1
-2.500000E-1	1.002613E-1	-1.002613E-1	-1.259920E-6	1.257520E+1
-3.000000E-1	1.190480E-1	-1.190480E-1	-1.496001E-6	1.294336E+1
-3.500000E-1	1.365097E-1	-1.365097E-1	-1.715431E-6	1.331152E+1
-4.000000E-1	1.514524E-1	-1.514524E-1	-1.903207E-6	1.367871E+1
-4.500000E-1	1.681131E-1	-1.681131E-1	-2.112571E-6	1.404688E+1
-5.000000E-1	1.822238E-1	-1.822238E-1	-2.289892E-6	1.441406E+1
-5.000000E-1	1.779507E-1	-1.779507E-1	-2.236194E-6	1.478223E+1
-4.500000E-1	1.532073E-1	-1.532073E-1	-1.925259E-6	1.515039E+1
-4.000000E-1	1.349957E-1	-1.349957E-1	-1.696406E-6	1.551758E+1
-3.500000E-1	1.188778E-1	-1.188778E-1	-1.493863E-6	1.588574E+1
-3.000000E-1	1.023856E-1	-1.023856E-1	-1.286616E-6	1.625391E+1
-2.500000E-1	8.509593E-2	-8.509593E-2	-1.069347E-6	1.662109E+1
-2.000000E-1	7.145680E-2	-7.145680E-2	-8.979526E-7	1.736230E+1
-1.500000E-1	5.506029E-2	-5.506029E-2	-6.919080E-7	1.773047E+1
-1.000000E-1	3.753377E-2	-3.753377E-2	-4.716633E-7	1.809766E+1
-5.000000E-2	1.925217E-2	-1.925217E-2	-2.419299E-7	1.846582E+1
0.000000E+0	2.091246E-5	-2.091246E-5	-2.627937E-10	1.920703E+1
0.000000E+0	2.074004E-5	-2.074004E-5	-2.606270E-10	1.957617E+1
5.000000E-2	2.299872E-2	2.299872E-2	2.890104E-7	2.031738E+1
1.000000E-1	4.946344E-2	4.946344E-2	6.215759E-7	2.068555E+1
1.500000E-1	7.912615E-2	7.912615E-2	9.943285E-7	2.105273E+1
2.000000E-1	1.229733E-1	1.229733E-1	1.545328E-6	2.218066E+1
2.500000E-1	1.644406E-1	1.644406E-1	2.066422E-6	2.254785E+1
3.000000E-1	2.063698E-1	2.063698E-1	2.593320E-6	2.291602E+1
3.500000E-1	2.569936E-1	2.569936E-1	3.229477E-6	2.328418E+1
4.000000E-1	3.171895E-1	3.171895E-1	3.985921E-6	2.365137E+1
4.500000E-1	3.885238E-1	3.885238E-1	4.882334E-6	2.401953E+1
5.000000E-1	4.694047E-1	4.694047E-1	5.898714E-6	2.438770E+1
5.000000E-1	4.777439E-1	4.777439E-1	6.003507E-6	2.475488E+1
4.500000E-1	4.060348E-1	4.060348E-1	5.102384E-6	2.512305E+1
4.000000E-1	3.449040E-1	3.449040E-1	4.334192E-6	2.549023E+1
3.500000E-1	2.885874E-1	2.885874E-1	3.626496E-6	2.585840E+1
3.000000E-1	2.354070E-1	2.354070E-1	2.958211E-6	2.622656E+1
2.500000E-1	1.875373E-1	1.875373E-1	2.356663E-6	2.659375E+1
2.000000E-1	1.445418E-1	1.445418E-1	1.816366E-6	2.696191E+1
1.500000E-1	1.050870E-1	1.050870E-1	1.320562E-6	2.733008E+1
1.000000E-1	6.744548E-2	6.744548E-2	8.475449E-7	2.807129E+1
5.000000E-2	3.267193E-2	3.267193E-2	4.105676E-7	2.843848E+1
0.000000E+0	9.237281E-5	-9.237281E-5	-1.160791E-9	2.917969E+1
-5.000000E-2	3.094105E-2	-3.094105E-2	-3.888167E-7	3.029492E+1
-1.000000E-1	6.038055E-2	-6.038055E-2	-7.587643E-7	3.066211E+1
-1.500000E-1	8.562719E-2	-8.562719E-2	-1.076023E-6	3.178906E+1
-2.000000E-1	1.129298E-1	-1.129298E-1	-1.419118E-6	3.215723E+1
-2.500000E-1	1.395563E-1	-1.395563E-1	-1.753716E-6	3.252539E+1
-3.000000E-1	1.642933E-1	-1.642933E-1	-2.064570E-6	3.289258E+1
-3.500000E-1	1.884390E-1	-1.884390E-1	-2.367994E-6	3.326074E+1
-4.000000E-1	2.075112E-1	-2.075112E-1	-2.607662E-6	3.362891E+1
-4.500000E-1	2.276437E-1	-2.276437E-1	-2.860655E-6	3.399609E+1
-5.000000E-1	2.473119E-1	-2.473119E-1	-3.107813E-6	3.436426E+1
-5.000000E-1	2.388102E-1	-2.388102E-1	-3.000977E-6	3.473242E+1
-4.500000E-1	2.054431E-1	-2.054431E-1	-2.581674E-6	3.509961E+1
-4.000000E-1	1.770284E-1	-1.770284E-1	-2.224605E-6	3.546777E+1
-3.500000E-1	1.538087E-1	-1.538087E-1	-1.932817E-6	3.583594E+1
-3.000000E-1	1.311826E-1	-1.311826E-1	-1.648489E-6	3.620312E+1
-2.500000E-1	1.111895E-1	-1.111895E-1	-1.397248E-6	3.657129E+1
-2.000000E-1	8.984814E-2	-8.984814E-2	-1.129065E-6	3.693848E+1
-1.500000E-1	6.913974E-2	-6.913974E-2	-8.688356E-7	3.767969E+1
-1.000000E-1	4.735035E-2	-4.735035E-2	-5.950220E-7	3.804785E+1
-5.000000E-2	2.453373E-2	-2.453373E-2	-3.082999E-7	3.841504E+1
0.000000E+0	8.390339E-5	-8.390339E-5	-1.054361E-9	3.915625E+1
0.000000E+0	8.521545E-5	-8.521545E-5	-1.070849E-9	3.952539E+1
5.000000E-2	2.959357E-2	2.959357E-2	3.718838E-7	4.063965E+1
1.000000E-1	6.217301E-2	6.217301E-2	7.812891E-7	4.100684E+1
1.500000E-1	1.036814E-1	1.036814E-1	1.302899E-6	4.213379E+1
2.000000E-1	1.456921E-1	1.456921E-1	1.830821E-6	4.250195E+1
2.500000E-1	1.940361E-1	1.940361E-1	2.438330E-6	4.286914E+1
3.000000E-1	2.469016E-1	2.469016E-1	3.102657E-6	4.323730E+1
3.500000E-1	3.075790E-1	3.075790E-1	3.865152E-6	4.360547E+1
4.000000E-1	3.762736E-1	3.762736E-1	4.728394E-6	4.397266E+1
4.500000E-1	4.589822E-1	4.589822E-1	5.767740E-6	4.434082E+1
5.000000E-1	5.661330E-1	5.661330E-1	7.114237E-6	4.470898E+1
5.000000E-1	5.910275E-1	5.910275E-1	7.427070E-6	4.507617E+1
4.500000E-1	5.122296E-1	5.122296E-1	6.436867E-6	4.544434E+1
4.000000E-1	4.392901E-1	4.392901E-1	5.520282E-6	4.581250E+1
3.500000E-1	3.685601E-1	3.685601E-1	4.631463E-6	4.617969E+1
3.000000E-1	3.023500E-1	3.023500E-1	3.799442E-6	4.654785E+1
2.500000E-1	2.409272E-1	2.409272E-1	3.027580E-6	4.691602E+1
2.000000E-1	1.852139E-1	1.852139E-1	2.327467E-6	4.728320E+1
1.500000E-1	1.337606E-1	1.337606E-1	1.680885E-6	4.765137E+1
1.000000E-1	8.644350E-2	8.644350E-2	1.086281E-6	4.801953E+1
5.000000E-2	4.191483E-2	4.191483E-2	5.267173E-7	4.875977E+1
0.000000E+0	1.094782E-4	-1.094782E-4	-1.375744E-9	4.950098E+1
-5.000000E-2	3.983823E-2	-3.983823E-2	-5.006220E-7	5.061621E+1
-1.000000E-1	7.784967E-2	-7.784967E-2	-9.782879E-7	5.098340E+1
-1.500000E-1	1.102811E-1	-1.102811E-1	-1.385833E-6	5.211035E+1
-2.000000E-1	1.454420E-1	-1.454420E-1	-1.827678E-6	5.247852E+1
-2.500000E-1	1.793993E-1	-1.793993E-1	-2.254398E-6	5.284668E+1
-3.000000E-1	2.108976E-1	-2.108976E-1	-2.650218E-6	5.321387E+1
-3.500000E-1	2.421355E-1	-2.421355E-1	-3.042765E-6	5.358203E+1
-4.000000E-1	2.705369E-1	-2.705369E-1	-3.399667E-6	5.395020E+1
-4.500000E-1	2.953847E-1	-2.953847E-1	-3.711914E-6	5.431738E+1
-5.000000E-1	3.215663E-1	-3.215663E-1	-4.040922E-6	5.468555E+1
-5.000000E-1	3.090276E-1	-3.090276E-1	-3.883356E-6	5.505371E+1
-4.500000E-1	2.657209E-1	-2.657209E-1	-3.339147E-6	5.542090E+1
-4.000000E-1	2.313475E-1	-2.313475E-1	-2.907199E-6	5.578906E+1
-3.500000E-1	2.002619E-1	-2.002619E-1	-2.516565E-6	5.615723E+1
-3.000000E-1	1.711183E-1	-1.711183E-1	-2.150336E-6	5.652441E+1
-2.500000E-1	1.448896E-1	-1.448896E-1	-1.820736E-6	5.689258E+1
-2.000000E-1	1.171295E-1	-1.171295E-1	-1.471893E-6	5.726074E+1
