voltage_spot_11_scan_2_21	absJ_spot_11_scan_2_21	J_spot_11_scan_2_21	current_spot_11_scan_2_21	time_spot_11_scan_2_21	
0.000000E+0	1.544637E-8	-1.544637E-8	-1.347950E-13	0.000000E+0
5.000000E-2	8.798616E-6	8.798616E-6	7.678241E-11	7.031250E-1
1.000000E-1	2.195478E-5	2.195478E-5	1.915916E-10	1.818359E+0
1.500000E-1	4.021846E-5	4.021846E-5	3.509723E-10	2.186523E+0
2.000000E-1	6.925235E-5	6.925235E-5	6.043408E-10	2.554688E+0
2.500000E-1	1.076996E-4	1.076996E-4	9.398562E-10	2.923828E+0
3.000000E-1	1.742541E-4	1.742541E-4	1.520654E-9	4.038086E+0
3.500000E-1	2.545327E-4	2.545327E-4	2.221217E-9	4.406250E+0
4.000000E-1	3.499326E-4	3.499326E-4	3.053738E-9	4.773438E+0
4.500000E-1	4.497537E-4	4.497537E-4	3.924842E-9	5.141602E+0
5.000000E-1	5.996292E-4	5.996292E-4	5.232752E-9	5.509766E+0
5.000000E-1	6.095100E-4	6.095100E-4	5.318978E-9	5.876953E+0
4.500000E-1	4.801196E-4	4.801196E-4	4.189834E-9	6.245117E+0
4.000000E-1	3.817690E-4	3.817690E-4	3.331563E-9	6.613281E+0
3.500000E-1	2.854441E-4	2.854441E-4	2.490970E-9	6.980469E+0
3.000000E-1	1.941970E-4	1.941970E-4	1.694689E-9	7.348633E+0
2.500000E-1	1.399219E-4	1.399219E-4	1.221049E-9	7.716797E+0
2.000000E-1	9.000899E-5	9.000899E-5	7.854766E-10	8.458008E+0
1.500000E-1	5.278547E-5	5.278547E-5	4.606401E-10	8.826172E+0
1.000000E-1	2.827519E-5	2.827519E-5	2.467476E-10	9.194336E+0
5.000000E-2	1.119225E-5	1.119225E-5	9.767077E-11	1.036914E+1
0.000000E+0	5.063284E-8	-5.063284E-8	-4.418549E-13	1.107227E+1
-5.000000E-2	1.049229E-5	-1.049229E-5	-9.156247E-11	1.177637E+1
-1.000000E-1	2.134690E-5	-2.134690E-5	-1.862868E-10	1.289063E+1
-1.500000E-1	3.906164E-5	-3.906164E-5	-3.408771E-10	1.325977E+1
-2.000000E-1	7.109828E-5	-7.109828E-5	-6.204496E-10	1.362793E+1
-2.500000E-1	1.054443E-4	-1.054443E-4	-9.201749E-10	1.399609E+1
-3.000000E-1	1.580340E-4	-1.580340E-4	-1.379107E-9	1.511133E+1
-3.500000E-1	2.253003E-4	-2.253003E-4	-1.966116E-9	1.547949E+1
-4.000000E-1	2.982988E-4	-2.982988E-4	-2.603148E-9	1.584668E+1
-4.500000E-1	3.845987E-4	-3.845987E-4	-3.356257E-9	1.621484E+1
-5.000000E-1	5.005369E-4	-5.005369E-4	-4.368008E-9	1.658301E+1
-5.000000E-1	4.990955E-4	-4.990955E-4	-4.355430E-9	1.695020E+1
-4.500000E-1	3.838669E-4	-3.838669E-4	-3.349871E-9	1.731836E+1
-4.000000E-1	2.872435E-4	-2.872435E-4	-2.506672E-9	1.768652E+1
-3.500000E-1	2.157210E-4	-2.157210E-4	-1.882521E-9	1.805371E+1
-3.000000E-1	1.538698E-4	-1.538698E-4	-1.342767E-9	1.842188E+1
-2.500000E-1	1.018865E-4	-1.018865E-4	-8.891275E-10	1.916309E+1
-2.000000E-1	6.523280E-5	-6.523280E-5	-5.692636E-10	1.953125E+1
-1.500000E-1	4.116352E-5	-4.116352E-5	-3.592195E-10	1.989941E+1
-1.000000E-1	2.260344E-5	-2.260344E-5	-1.972522E-10	2.026855E+1
-5.000000E-2	1.151967E-5	-1.151967E-5	-1.005281E-10	2.063672E+1
0.000000E+0	4.680505E-8	-4.680505E-8	-4.084511E-13	2.181152E+1
0.000000E+0	3.647301E-8	-3.647301E-8	-3.182871E-13	2.251562E+1
5.000000E-2	9.472028E-6	9.472028E-6	8.265904E-11	2.321875E+1
1.000000E-1	2.439665E-5	2.439665E-5	2.129009E-10	2.433301E+1
1.500000E-1	4.652654E-5	4.652654E-5	4.060207E-10	2.470215E+1
2.000000E-1	7.617531E-5	7.617531E-5	6.647550E-10	2.507031E+1
