voltage_spot_4_scan_1	absJ_spot_4_scan_1	J_spot_4_scan_1	current_spot_4_scan_1	time_spot_4_scan_1	
0.000000E+0	2.951952E-9	-2.951952E-9	-7.327472E-15	0.000000E+0
5.000000E-2	9.859970E-7	9.859970E-7	2.447487E-12	7.031250E-1
1.000000E-1	2.022903E-6	2.022903E-6	5.021344E-12	1.406250E+0
1.500000E-1	3.463222E-6	3.463222E-6	8.596568E-12	2.109375E+0
2.000000E-1	5.035730E-6	5.035730E-6	1.249992E-11	2.812500E+0
2.500000E-1	8.789576E-6	8.789576E-6	2.181789E-11	3.515625E+0
3.000000E-1	1.197806E-5	1.197806E-5	2.973249E-11	4.218750E+0
3.500000E-1	1.580411E-5	1.580411E-5	3.922968E-11	4.921875E+0
4.000000E-1	2.229307E-5	2.229307E-5	5.533689E-11	5.625000E+0
4.500000E-1	2.927073E-5	2.927073E-5	7.265716E-11	6.328125E+0
5.000000E-1	3.616465E-5	3.616465E-5	8.976955E-11	7.031250E+0
5.500000E-1	6.789669E-5	6.789669E-5	1.685363E-10	8.146484E+0
6.000000E-1	6.288507E-5	6.288507E-5	1.560962E-10	8.514648E+0
6.500000E-1	7.642043E-5	7.642043E-5	1.896943E-10	8.882813E+0
7.000000E-1	8.217961E-5	8.217961E-5	2.039900E-10	9.251953E+0
7.500000E-1	8.773679E-5	8.773679E-5	2.177843E-10	9.620117E+0
8.000000E-1	1.106038E-4	1.106038E-4	2.745459E-10	9.988281E+0
8.500000E-1	1.357712E-4	1.357712E-4	3.370175E-10	1.035742E+1
9.000000E-1	2.031834E-4	2.031834E-4	5.043511E-10	1.072559E+1
9.500000E-1	3.030613E-4	3.030613E-4	7.522728E-10	1.109375E+1
1.000000E+0	8.724892E-4	8.724892E-4	2.165733E-9	1.220898E+1
1.000000E+0	5.739838E-4	5.739838E-4	1.424769E-9	1.257617E+1
9.500000E-1	5.128303E-4	5.128303E-4	1.272971E-9	1.294434E+1
9.000000E-1	2.209956E-4	2.209956E-4	5.485654E-10	1.368555E+1
8.500000E-1	1.441085E-4	1.441085E-4	3.577127E-10	1.405371E+1
8.000000E-1	1.264182E-4	1.264182E-4	3.138011E-10	1.442187E+1
7.500000E-1	1.170384E-4	1.170384E-4	2.905181E-10	1.479102E+1
7.000000E-1	7.357905E-5	7.357905E-5	1.826413E-10	1.515918E+1
6.500000E-1	5.963498E-5	5.963498E-5	1.480287E-10	1.552734E+1
6.000000E-1	5.735447E-5	5.735447E-5	1.423679E-10	1.589648E+1
5.500000E-1	4.670436E-5	4.670436E-5	1.159317E-10	1.626465E+1
5.000000E-1	3.335341E-5	3.335341E-5	8.279138E-11	1.743945E+1
