voltage_spot_1_scan_1	absJ_spot_1_scan_1	J_spot_1_scan_1	current_spot_1_scan_1	time_spot_1_scan_1	
0.000000E+0	5.996935E-9	-5.996935E-9	-2.325917E-14	0.000000E+0
5.000000E-2	2.259728E-5	2.259728E-5	8.764377E-11	7.031250E-1
1.000000E-1	2.701499E-5	2.701499E-5	1.047779E-10	1.406250E+0
1.500000E-1	7.802214E-5	7.802214E-5	3.026096E-10	2.521484E+0
2.000000E-1	1.080776E-4	1.080776E-4	4.191801E-10	2.889648E+0
2.500000E-1	1.394587E-4	1.394587E-4	5.408919E-10	3.257813E+0
3.000000E-1	1.848001E-4	1.848001E-4	7.167490E-10	3.626953E+0
3.500000E-1	2.342463E-4	2.342463E-4	9.085266E-10	3.995117E+0
4.000000E-1	2.702280E-4	2.702280E-4	1.048082E-9	5.109375E+0
4.500000E-1	3.422513E-4	3.422513E-4	1.327425E-9	5.477539E+0
5.000000E-1	4.116422E-4	4.116422E-4	1.596558E-9	5.845703E+0
5.000000E-1	4.345193E-4	4.345193E-4	1.685287E-9	6.212891E+0
4.500000E-1	3.441350E-4	3.441350E-4	1.334731E-9	6.581055E+0
4.000000E-1	2.842968E-4	2.842968E-4	1.102648E-9	6.949219E+0
3.500000E-1	2.246300E-4	2.246300E-4	8.712297E-10	7.689453E+0
3.000000E-1	1.667218E-4	1.667218E-4	6.466321E-10	8.058594E+0
2.500000E-1	1.297979E-4	1.297979E-4	5.034222E-10	8.426758E+0
2.000000E-1	9.668116E-5	9.668116E-5	3.749788E-10	8.794922E+0
1.500000E-1	6.679989E-5	6.679989E-5	2.590840E-10	9.164063E+0
1.000000E-1	4.179363E-5	4.179363E-5	1.620970E-10	9.532227E+0
5.000000E-2	1.974162E-5	1.974162E-5	7.656808E-11	1.070703E+1
0.000000E+0	2.343313E-7	2.343313E-7	9.088563E-13	1.141016E+1
-5.000000E-2	1.776020E-5	-1.776020E-5	-6.888311E-11	1.211328E+1
-1.000000E-1	2.687022E-5	-2.687022E-5	-1.042164E-10	1.281641E+1
-1.500000E-1	5.076561E-5	-5.076561E-5	-1.968949E-10	1.393164E+1
-2.000000E-1	6.687366E-5	-6.687366E-5	-2.593701E-10	1.429980E+1
-2.500000E-1	8.266049E-5	-8.266049E-5	-3.205995E-10	1.466797E+1
-3.000000E-1	9.756996E-5	-9.756996E-5	-3.784260E-10	1.503711E+1
-3.500000E-1	1.136013E-4	-1.136013E-4	-4.406038E-10	1.540527E+1
-4.000000E-1	1.340089E-4	-1.340089E-4	-5.197548E-10	1.577344E+1
-4.500000E-1	1.667553E-4	-1.667553E-4	-6.467620E-10	1.614160E+1
-5.000000E-1	1.873602E-4	-1.873602E-4	-7.266785E-10	1.651074E+1
-5.000000E-1	1.842518E-4	-1.842518E-4	-7.146224E-10	1.687891E+1
-4.500000E-1	1.567445E-4	-1.567445E-4	-6.079350E-10	1.724707E+1
-4.000000E-1	1.405832E-4	-1.405832E-4	-5.452532E-10	1.761523E+1
-3.500000E-1	1.210103E-4	-1.210103E-4	-4.693397E-10	1.798437E+1
-3.000000E-1	9.515016E-5	-9.515016E-5	-3.690408E-10	1.835254E+1
-2.500000E-1	1.068622E-4	-1.068622E-4	-4.144662E-10	1.872070E+1
-2.000000E-1	1.132551E-4	-1.132551E-4	-4.392608E-10	1.908887E+1
-1.500000E-1	8.212565E-5	-8.212565E-5	-3.185251E-10	1.945801E+1
-1.000000E-1	5.692267E-5	-5.692267E-5	-2.207751E-10	1.982617E+1
-5.000000E-2	3.291370E-5	-3.291370E-5	-1.276561E-10	2.019434E+1
0.000000E+0	5.750225E-7	-5.750225E-7	-2.230230E-12	2.136914E+1
