voltage_spot_15_scan_1	absJ_spot_15_scan_1	J_spot_15_scan_1	current_spot_15_scan_1	time_spot_15_scan_1	
0.000000E+0	3.009919E-8	-3.009919E-8	-1.167400E-13	0.000000E+0
5.000000E-2	8.488741E-8	8.488741E-8	3.292366E-13	7.031250E-1
1.000000E-1	1.443344E-7	1.443344E-7	5.598022E-13	1.406250E+0
1.500000E-1	2.085223E-7	2.085223E-7	8.087558E-13	2.109375E+0
2.000000E-1	2.608059E-7	2.608059E-7	1.011538E-12	2.812500E+0
2.500000E-1	3.884699E-7	3.884699E-7	1.506684E-12	3.515625E+0
3.000000E-1	5.124982E-7	5.124982E-7	1.987729E-12	4.219727E+0
3.500000E-1	7.194285E-7	7.194285E-7	2.790310E-12	4.922852E+0
4.000000E-1	8.464017E-7	8.464017E-7	3.282777E-12	5.625977E+0
4.500000E-1	1.226037E-6	1.226037E-6	4.755196E-12	6.329102E+0
5.000000E-1	1.778782E-6	1.778782E-6	6.899023E-12	7.032227E+0
5.000000E-1	1.818918E-6	1.818918E-6	7.054690E-12	7.735352E+0
4.500000E-1	1.398707E-6	1.398707E-6	5.424897E-12	8.438477E+0
4.000000E-1	1.092122E-6	1.092122E-6	4.235806E-12	9.141602E+0
3.500000E-1	7.555351E-7	7.555351E-7	2.930350E-12	9.844727E+0
3.000000E-1	6.282793E-7	6.282793E-7	2.436787E-12	1.054785E+1
2.500000E-1	4.053049E-7	4.053049E-7	1.571979E-12	1.125098E+1
2.000000E-1	3.220706E-7	3.220706E-7	1.249154E-12	1.195410E+1
1.500000E-1	1.920987E-7	1.920987E-7	7.450568E-13	1.265723E+1
1.000000E-1	9.544288E-8	9.544288E-8	3.701761E-13	1.336035E+1
5.000000E-2	3.523738E-8	3.523738E-8	1.366685E-13	1.406348E+1
0.000000E+0	2.511127E-8	-2.511127E-8	-9.739431E-14	1.476660E+1
-5.000000E-2	7.527657E-8	-7.527657E-8	-2.919609E-13	1.546973E+1
-1.000000E-1	1.147683E-7	-1.147683E-7	-4.451300E-13	1.617285E+1
-1.500000E-1	1.782192E-7	-1.782192E-7	-6.912249E-13	1.687598E+1
-2.000000E-1	2.523866E-7	-2.523866E-7	-9.788836E-13	1.757910E+1
-2.500000E-1	3.461263E-7	-3.461263E-7	-1.342454E-12	1.828223E+1
-3.000000E-1	3.893751E-7	-3.893751E-7	-1.510195E-12	1.898535E+1
-3.500000E-1	5.076105E-7	-5.076105E-7	-1.968772E-12	1.968848E+1
-4.000000E-1	7.054236E-7	-7.054236E-7	-2.735992E-12	2.039160E+1
-4.500000E-1	7.347820E-7	-7.347820E-7	-2.849859E-12	2.109473E+1
-5.000000E-1	1.089328E-6	-1.089328E-6	-4.224968E-12	2.179785E+1
-5.000000E-1	1.162196E-6	-1.162196E-6	-4.507589E-12	2.250098E+1
-4.500000E-1	9.200109E-7	-9.200109E-7	-3.568271E-12	2.320410E+1
-4.000000E-1	6.962027E-7	-6.962027E-7	-2.700229E-12	2.390723E+1
-3.500000E-1	5.382215E-7	-5.382215E-7	-2.087497E-12	2.461035E+1
-3.000000E-1	4.596065E-7	-4.596065E-7	-1.782588E-12	2.531348E+1
-2.500000E-1	3.117726E-7	-3.117726E-7	-1.209213E-12	2.601660E+1
-2.000000E-1	2.195644E-7	-2.195644E-7	-8.515827E-13	2.671973E+1
-1.500000E-1	1.282865E-7	-1.282865E-7	-4.975603E-13	2.742285E+1
-1.000000E-1	6.624540E-8	-6.624540E-8	-2.569334E-13	2.812598E+1
-5.000000E-2	2.280338E-8	-2.280338E-8	-8.844314E-14	2.882910E+1
0.000000E+0	3.199559E-8	3.199559E-8	1.240952E-13	2.953223E+1
