voltage_spot_2_scan_2_21	absJ_spot_2_scan_2_21	J_spot_2_scan_2_21	current_spot_2_scan_2_21	time_spot_2_scan_2_21	
0.000000E+0	2.272252E-7	-2.272252E-7	-8.812950E-13	0.000000E+0
5.000000E-2	1.014112E-7	1.014112E-7	3.933243E-13	7.031250E-1
1.000000E-1	3.210651E-7	3.210651E-7	1.245254E-12	1.406250E+0
1.500000E-1	5.021146E-7	5.021146E-7	1.947456E-12	2.109375E+0
2.000000E-1	7.193317E-7	7.193317E-7	2.789935E-12	2.812500E+0
2.500000E-1	1.115927E-6	1.115927E-6	4.328135E-12	3.515625E+0
3.000000E-1	1.547832E-6	1.547832E-6	6.003281E-12	4.218750E+0
3.500000E-1	2.118693E-6	2.118693E-6	8.217371E-12	4.921875E+0
4.000000E-1	2.931399E-6	2.931399E-6	1.136946E-11	5.625000E+0
4.500000E-1	4.090231E-6	4.090231E-6	1.586400E-11	6.328125E+0
5.000000E-1	5.492481E-6	5.492481E-6	2.130264E-11	7.031250E+0
5.000000E-1	5.549366E-6	5.549366E-6	2.152327E-11	7.734375E+0
4.500000E-1	3.934558E-6	3.934558E-6	1.526022E-11	8.437500E+0
4.000000E-1	2.693151E-6	2.693151E-6	1.044541E-11	9.140625E+0
3.500000E-1	1.834801E-6	1.834801E-6	7.116294E-12	9.843750E+0
3.000000E-1	1.221958E-6	1.221958E-6	4.739376E-12	1.054688E+1
2.500000E-1	8.823939E-7	8.823939E-7	3.422373E-12	1.125000E+1
2.000000E-1	6.011069E-7	6.011069E-7	2.331399E-12	1.195313E+1
1.500000E-1	4.117169E-7	4.117169E-7	1.596848E-12	1.265625E+1
1.000000E-1	2.150774E-7	2.150774E-7	8.341799E-13	1.335938E+1
5.000000E-2	7.834659E-8	7.834659E-8	3.038680E-13	1.406250E+1
0.000000E+0	4.042563E-8	-4.042563E-8	-1.567912E-13	1.476563E+1
-5.000000E-2	1.561994E-7	-1.561994E-7	-6.058209E-13	1.546875E+1
-1.000000E-1	2.524832E-7	-2.524832E-7	-9.792583E-13	1.617188E+1
-1.500000E-1	3.661458E-7	-3.661458E-7	-1.420100E-12	1.687500E+1
-2.000000E-1	4.781876E-7	-4.781876E-7	-1.854655E-12	1.757813E+1
-2.500000E-1	6.122777E-7	-6.122777E-7	-2.374725E-12	1.828125E+1
-3.000000E-1	7.172637E-7	-7.172637E-7	-2.781914E-12	1.898438E+1
-3.500000E-1	9.012615E-7	-9.012615E-7	-3.495551E-12	1.968848E+1
-4.000000E-1	1.084705E-6	-1.084705E-6	-4.207037E-12	2.039160E+1
-4.500000E-1	1.166340E-6	-1.166340E-6	-4.523659E-12	2.109473E+1
-5.000000E-1	1.348326E-6	-1.348326E-6	-5.229497E-12	2.179785E+1
-5.000000E-1	1.338959E-6	-1.338959E-6	-5.193165E-12	2.250098E+1
-4.500000E-1	1.050176E-6	-1.050176E-6	-4.073117E-12	2.320410E+1
-4.000000E-1	9.105073E-7	-9.105073E-7	-3.531411E-12	2.390723E+1
-3.500000E-1	7.484721E-7	-7.484721E-7	-2.902956E-12	2.461035E+1
-3.000000E-1	5.938578E-7	-5.938578E-7	-2.303283E-12	2.531348E+1
-2.500000E-1	4.832078E-7	-4.832078E-7	-1.874126E-12	2.601660E+1
-2.000000E-1	3.738209E-7	-3.738209E-7	-1.449868E-12	2.671973E+1
-1.500000E-1	2.720769E-7	-2.720769E-7	-1.055253E-12	2.742285E+1
-1.000000E-1	1.533155E-7	-1.533155E-7	-5.946355E-13	2.812598E+1
-5.000000E-2	5.336413E-8	-5.336413E-8	-2.069733E-13	2.882910E+1
0.000000E+0	5.730722E-8	5.730722E-8	2.222666E-13	2.953223E+1
0.000000E+0	1.709628E-8	1.709628E-8	6.630807E-14	3.023633E+1
5.000000E-2	1.671485E-7	1.671485E-7	6.482870E-13	3.093945E+1
1.000000E-1	2.942184E-7	2.942184E-7	1.141129E-12	3.164258E+1
1.500000E-1	4.521247E-7	4.521247E-7	1.753570E-12	3.234570E+1
2.000000E-1	6.555910E-7	6.555910E-7	2.542716E-12	3.304883E+1
2.500000E-1	9.097129E-7	9.097129E-7	3.528330E-12	3.375195E+1
3.000000E-1	1.330615E-6	1.330615E-6	5.160802E-12	3.445508E+1
3.500000E-1	1.842963E-6	1.842963E-6	7.147949E-12	3.515820E+1
4.000000E-1	2.650593E-6	2.650593E-6	1.028035E-11	3.586133E+1
4.500000E-1	3.787612E-6	3.787612E-6	1.469029E-11	3.656445E+1
5.000000E-1	5.392164E-6	5.392164E-6	2.091356E-11	3.726758E+1
5.000000E-1	5.415653E-6	5.415653E-6	2.100466E-11	3.797070E+1
4.500000E-1	3.483400E-6	3.483400E-6	1.351040E-11	3.867383E+1
4.000000E-1	2.600252E-6	2.600252E-6	1.008510E-11	3.937695E+1
3.500000E-1	1.838086E-6	1.838086E-6	7.129033E-12	4.008008E+1
3.000000E-1	1.339374E-6	1.339374E-6	5.194775E-12	4.078320E+1
2.500000E-1	9.092586E-7	9.092586E-7	3.526568E-12	4.148633E+1
2.000000E-1	6.208403E-7	6.208403E-7	2.407935E-12	4.218945E+1
1.500000E-1	3.860617E-7	3.860617E-7	1.497344E-12	4.289258E+1
1.000000E-1	2.124976E-7	2.124976E-7	8.241741E-13	4.359570E+1
5.000000E-2	7.982079E-8	7.982079E-8	3.095857E-13	4.429883E+1
0.000000E+0	3.641456E-8	-3.641456E-8	-1.412342E-13	4.500195E+1
-5.000000E-2	1.462129E-7	-1.462129E-7	-5.670880E-13	4.570605E+1
-1.000000E-1	2.518928E-7	-2.518928E-7	-9.769685E-13	4.640918E+1
-1.500000E-1	3.528531E-7	-3.528531E-7	-1.368544E-12	4.711230E+1
-2.000000E-1	4.831039E-7	-4.831039E-7	-1.873723E-12	4.781543E+1
-2.500000E-1	6.016830E-7	-6.016830E-7	-2.333633E-12	4.851855E+1
-3.000000E-1	7.514418E-7	-7.514418E-7	-2.914474E-12	4.922168E+1
-3.500000E-1	8.818429E-7	-8.818429E-7	-3.420236E-12	4.992480E+1
-4.000000E-1	9.905320E-7	-9.905320E-7	-3.841788E-12	5.062793E+1
-4.500000E-1	1.172197E-6	-1.172197E-6	-4.546377E-12	5.133105E+1
-5.000000E-1	1.298426E-6	-1.298426E-6	-5.035958E-12	5.203418E+1
-5.000000E-1	1.328640E-6	-1.328640E-6	-5.153142E-12	5.273730E+1
-4.500000E-1	1.084894E-6	-1.084894E-6	-4.207773E-12	5.344043E+1
-4.000000E-1	9.303515E-7	-9.303515E-7	-3.608377E-12	5.414355E+1
-3.500000E-1	7.812333E-7	-7.812333E-7	-3.030021E-12	5.484668E+1
-3.000000E-1	6.756286E-7	-6.756286E-7	-2.620432E-12	5.554980E+1
-2.500000E-1	5.213864E-7	-5.213864E-7	-2.022202E-12	5.625293E+1
-2.000000E-1	3.890853E-7	-3.890853E-7	-1.509071E-12	5.695605E+1
-1.500000E-1	2.798774E-7	-2.798774E-7	-1.085507E-12	5.765918E+1
-1.000000E-1	1.698357E-7	-1.698357E-7	-6.587092E-13	5.836230E+1
-5.000000E-2	6.282112E-8	-6.282112E-8	-2.436523E-13	5.906543E+1
0.000000E+0	5.083084E-8	5.083084E-8	1.971479E-13	5.976855E+1
0.000000E+0	1.639854E-8	1.639854E-8	6.360190E-14	6.047266E+1
5.000000E-2	1.732277E-7	1.732277E-7	6.718653E-13	6.117578E+1
1.000000E-1	3.099049E-7	3.099049E-7	1.201969E-12	6.187891E+1
1.500000E-1	4.838591E-7	4.838591E-7	1.876652E-12	6.258203E+1
2.000000E-1	7.240942E-7	7.240942E-7	2.808406E-12	6.328516E+1
2.500000E-1	1.054928E-6	1.054928E-6	4.091547E-12	6.398828E+1
3.000000E-1	1.448632E-6	1.448632E-6	5.618533E-12	6.469141E+1
3.500000E-1	2.299907E-6	2.299907E-6	8.920212E-12	6.539453E+1
4.000000E-1	2.937904E-6	2.937904E-6	1.139469E-11	6.609766E+1
4.500000E-1	4.303723E-6	4.303723E-6	1.669203E-11	6.680078E+1
5.000000E-1	6.184069E-6	6.184069E-6	2.398497E-11	6.750391E+1
5.000000E-1	5.832859E-6	5.832859E-6	2.262280E-11	6.820703E+1
4.500000E-1	3.760421E-6	3.760421E-6	1.458483E-11	6.891016E+1
4.000000E-1	2.566588E-6	2.566588E-6	9.954537E-12	6.961328E+1
3.500000E-1	1.773615E-6	1.773615E-6	6.878983E-12	7.031641E+1
3.000000E-1	1.280371E-6	1.280371E-6	4.965930E-12	7.101953E+1
2.500000E-1	9.022992E-7	9.022992E-7	3.499576E-12	7.172266E+1
2.000000E-1	6.264471E-7	6.264471E-7	2.429681E-12	7.242578E+1
1.500000E-1	4.050543E-7	4.050543E-7	1.571007E-12	7.312891E+1
1.000000E-1	2.283237E-7	2.283237E-7	8.855555E-13	7.383203E+1
5.000000E-2	8.616839E-8	8.616839E-8	3.342049E-13	7.453516E+1
0.000000E+0	4.155274E-8	-4.155274E-8	-1.611627E-13	7.523828E+1
-5.000000E-2	1.490360E-7	-1.490360E-7	-5.780376E-13	7.594238E+1
-1.000000E-1	2.610565E-7	-2.610565E-7	-1.012510E-12	7.664551E+1
-1.500000E-1	3.702177E-7	-3.702177E-7	-1.435893E-12	7.734863E+1
-2.000000E-1	4.809069E-7	-4.809069E-7	-1.865202E-12	7.805176E+1
-2.500000E-1	6.028494E-7	-6.028494E-7	-2.338157E-12	7.875488E+1
-3.000000E-1	7.206807E-7	-7.206807E-7	-2.795167E-12	7.945801E+1
-3.500000E-1	8.824691E-7	-8.824691E-7	-3.422665E-12	8.016113E+1
-4.000000E-1	1.028761E-6	-1.028761E-6	-3.990058E-12	8.086426E+1
-4.500000E-1	1.157058E-6	-1.157058E-6	-4.487660E-12	8.156738E+1
-5.000000E-1	1.317512E-6	-1.317512E-6	-5.109982E-12	8.227051E+1
-5.000000E-1	1.320739E-6	-1.320739E-6	-5.122500E-12	8.297363E+1
-4.500000E-1	1.100066E-6	-1.100066E-6	-4.266615E-12	8.367676E+1
-4.000000E-1	9.235602E-7	-9.235602E-7	-3.582037E-12	8.437988E+1
-3.500000E-1	7.828685E-7	-7.828685E-7	-3.036363E-12	8.508301E+1
-3.000000E-1	6.681503E-7	-6.681503E-7	-2.591427E-12	8.578613E+1
-2.500000E-1	5.594577E-7	-5.594577E-7	-2.169862E-12	8.648926E+1
-2.000000E-1	4.114521E-7	-4.114521E-7	-1.595821E-12	8.719238E+1
-1.500000E-1	2.872696E-7	-2.872696E-7	-1.114178E-12	8.789551E+1
-1.000000E-1	1.742439E-7	-1.742439E-7	-6.758066E-13	8.859863E+1
-5.000000E-2	6.395181E-8	-6.395181E-8	-2.480377E-13	8.930176E+1
0.000000E+0	5.529276E-8	5.529276E-8	2.144535E-13	9.000488E+1
0.000000E+0	1.716068E-8	1.716068E-8	6.655787E-14	9.070898E+1
5.000000E-2	1.726051E-7	1.726051E-7	6.694506E-13	9.141211E+1
1.000000E-1	3.159807E-7	3.159807E-7	1.225534E-12	9.211523E+1
1.500000E-1	4.794471E-7	4.794471E-7	1.859540E-12	9.281836E+1
2.000000E-1	7.234215E-7	7.234215E-7	2.805797E-12	9.352148E+1
2.500000E-1	1.045789E-6	1.045789E-6	4.056103E-12	9.422461E+1
3.000000E-1	1.500322E-6	1.500322E-6	5.819012E-12	9.492773E+1
