voltage_spot_8_scan_2_21	absJ_spot_8_scan_2_21	J_spot_8_scan_2_21	current_spot_8_scan_2_21	time_spot_8_scan_2_21	
0.000000E+0	2.293721E-7	-2.293721E-7	-8.896217E-13	0.000000E+0
5.000000E-2	7.719638E-5	7.719638E-5	2.994069E-10	1.115234E+0
1.000000E-1	1.627391E-4	1.627391E-4	6.311850E-10	1.483398E+0
1.500000E-1	2.575711E-4	2.575711E-4	9.989919E-10	1.851563E+0
2.000000E-1	3.642474E-4	3.642474E-4	1.412737E-9	2.966797E+0
2.500000E-1	4.819674E-4	4.819674E-4	1.869315E-9	3.334961E+0
3.000000E-1	6.137154E-4	6.137154E-4	2.380301E-9	3.702148E+0
3.500000E-1	7.610070E-4	7.610070E-4	2.951573E-9	4.070313E+0
4.000000E-1	9.267552E-4	9.267552E-4	3.594429E-9	4.437500E+0
4.500000E-1	1.112960E-3	1.112960E-3	4.316624E-9	4.805664E+0
5.000000E-1	1.324043E-3	1.324043E-3	5.135314E-9	5.173828E+0
5.000000E-1	1.325401E-3	1.325401E-3	5.140580E-9	5.541016E+0
4.500000E-1	1.116043E-3	1.116043E-3	4.328585E-9	5.909180E+0
4.000000E-1	9.298162E-4	9.298162E-4	3.606301E-9	6.277344E+0
3.500000E-1	7.644720E-4	7.644720E-4	2.965012E-9	6.644531E+0
3.000000E-1	6.167166E-4	6.167166E-4	2.391941E-9	7.012695E+0
2.500000E-1	4.847641E-4	4.847641E-4	1.880162E-9	7.380859E+0
2.000000E-1	3.662796E-4	3.662796E-4	1.420619E-9	7.748047E+0
1.500000E-1	2.598269E-4	2.598269E-4	1.007741E-9	8.116211E+0
1.000000E-1	1.638770E-4	1.638770E-4	6.355986E-10	8.857422E+0
5.000000E-2	7.791114E-5	7.791114E-5	3.021791E-10	9.225586E+0
0.000000E+0	1.827921E-7	-1.827921E-7	-7.089607E-13	1.040039E+1
-5.000000E-2	2.703848E-5	-2.703848E-5	-1.048690E-10	1.110352E+1
-1.000000E-1	1.398409E-4	-1.398409E-4	-5.423743E-10	1.221875E+1
-1.500000E-1	2.047216E-4	-2.047216E-4	-7.940146E-10	1.258789E+1
-2.000000E-1	2.634793E-4	-2.634793E-4	-1.021907E-9	1.295605E+1
-2.500000E-1	3.266015E-4	-3.266015E-4	-1.266727E-9	1.407129E+1
-3.000000E-1	3.840401E-4	-3.840401E-4	-1.489503E-9	1.443848E+1
-3.500000E-1	4.403560E-4	-4.403560E-4	-1.707925E-9	1.480664E+1
-4.000000E-1	4.957373E-4	-4.957373E-4	-1.922722E-9	1.517383E+1
-4.500000E-1	5.493938E-4	-5.493938E-4	-2.130829E-9	1.554199E+1
-5.000000E-1	6.036046E-4	-6.036046E-4	-2.341086E-9	1.591016E+1
-5.000000E-1	6.030030E-4	-6.030030E-4	-2.338753E-9	1.627734E+1
-4.500000E-1	5.485066E-4	-5.485066E-4	-2.127388E-9	1.664551E+1
-4.000000E-1	4.941942E-4	-4.941942E-4	-1.916737E-9	1.701270E+1
-3.500000E-1	4.379058E-4	-4.379058E-4	-1.698422E-9	1.738086E+1
-3.000000E-1	3.815095E-4	-3.815095E-4	-1.479688E-9	1.774902E+1
