voltage_spot_9_scan_1	absJ_spot_9_scan_1	J_spot_9_scan_1	current_spot_9_scan_1	time_spot_9_scan_1	
0.000000E+0	6.094976E-8	-6.094976E-8	-2.363942E-13	0.000000E+0
5.000000E-2	3.587633E-5	3.587633E-5	1.391467E-10	1.115234E+0
1.000000E-1	7.549457E-5	7.549457E-5	2.928064E-10	1.483398E+0
1.500000E-1	1.199573E-4	1.199573E-4	4.652556E-10	1.851563E+0
2.000000E-1	1.672978E-4	1.672978E-4	6.488659E-10	2.219727E+0
2.500000E-1	2.238187E-4	2.238187E-4	8.680830E-10	2.588867E+0
3.000000E-1	2.839457E-4	2.839457E-4	1.101286E-9	3.703125E+0
3.500000E-1	3.503792E-4	3.503792E-4	1.358949E-9	4.071289E+0
4.000000E-1	4.324576E-4	4.324576E-4	1.677291E-9	4.438477E+0
4.500000E-1	5.077404E-4	5.077404E-4	1.969276E-9	4.806641E+0
5.000000E-1	6.130433E-4	6.130433E-4	2.377694E-9	5.174805E+0
5.000000E-1	6.342130E-4	6.342130E-4	2.459801E-9	5.541992E+0
4.500000E-1	5.287230E-4	5.287230E-4	2.050657E-9	5.910156E+0
4.000000E-1	4.490604E-4	4.490604E-4	1.741685E-9	6.278320E+0
3.500000E-1	3.501219E-4	3.501219E-4	1.357951E-9	6.645508E+0
3.000000E-1	2.860235E-4	2.860235E-4	1.109345E-9	7.013672E+0
2.500000E-1	2.336389E-4	2.336389E-4	9.061707E-10	7.754883E+0
2.000000E-1	1.751624E-4	1.751624E-4	6.793691E-10	8.123047E+0
1.500000E-1	1.234439E-4	1.234439E-4	4.787785E-10	8.491211E+0
1.000000E-1	7.766566E-5	7.766566E-5	3.012270E-10	8.859375E+0
5.000000E-2	3.765467E-5	3.765467E-5	1.460440E-10	9.228516E+0
0.000000E+0	4.991840E-8	-4.991840E-8	-1.936090E-13	1.040332E+1
-5.000000E-2	2.682600E-5	-2.682600E-5	-1.040449E-10	1.110645E+1
-1.000000E-1	7.539067E-5	-7.539067E-5	-2.924034E-10	1.222168E+1
-1.500000E-1	1.083647E-4	-1.083647E-4	-4.202937E-10	1.258984E+1
-2.000000E-1	1.423252E-4	-1.423252E-4	-5.520097E-10	1.295898E+1
-2.500000E-1	1.763522E-4	-1.763522E-4	-6.839836E-10	1.332715E+1
-3.000000E-1	2.097969E-4	-2.097969E-4	-8.136992E-10	1.369531E+1
-3.500000E-1	2.410254E-4	-2.410254E-4	-9.348194E-10	1.406348E+1
-4.000000E-1	2.896863E-4	-2.896863E-4	-1.123551E-9	1.517871E+1
-4.500000E-1	3.248454E-4	-3.248454E-4	-1.259916E-9	1.554688E+1
-5.000000E-1	3.679728E-4	-3.679728E-4	-1.427186E-9	1.591406E+1
-5.000000E-1	3.702654E-4	-3.702654E-4	-1.436078E-9	1.628223E+1
-4.500000E-1	3.324783E-4	-3.324783E-4	-1.289520E-9	1.664941E+1
-4.000000E-1	2.815858E-4	-2.815858E-4	-1.092133E-9	1.701758E+1
-3.500000E-1	2.604970E-4	-2.604970E-4	-1.010340E-9	1.775879E+1
-3.000000E-1	2.098760E-4	-2.098760E-4	-8.140061E-10	1.812695E+1
-2.500000E-1	1.729508E-4	-1.729508E-4	-6.707913E-10	1.849512E+1
-2.000000E-1	1.388717E-4	-1.388717E-4	-5.386153E-10	1.886328E+1
-1.500000E-1	1.052840E-4	-1.052840E-4	-4.083448E-10	1.923242E+1
-1.000000E-1	7.179949E-5	-7.179949E-5	-2.784750E-10	1.960059E+1
-5.000000E-2	3.585602E-5	-3.585602E-5	-1.390679E-10	1.996875E+1
0.000000E+0	1.592301E-7	-1.592301E-7	-6.175754E-13	2.114355E+1
