voltage_2_2_500mv_500ms	absJ_2_2_500mv_500ms	J_2_2_500mv_500ms	current_2_2_500mv_500ms	time_2_2_500mv_500ms	
0.000000E+0	2.373119E-7	-2.373119E-7	-9.204165E-13	0.000000E+0
5.000000E-2	3.636753E-4	3.636753E-4	1.410518E-9	2.012695E+0
1.000000E-1	8.419980E-4	8.419980E-4	3.265697E-9	2.680664E+0
1.500000E-1	1.663068E-3	1.663068E-3	6.450226E-9	3.347656E+0
2.000000E-1	2.087917E-3	2.087917E-3	8.098004E-9	4.014648E+0
2.500000E-1	2.656118E-3	2.656118E-3	1.030178E-8	4.682617E+0
3.000000E-1	1.032570E-3	1.032570E-3	4.004832E-9	6.695313E+0
3.500000E-1	1.706246E-3	1.706246E-3	6.617690E-9	8.035156E+0
4.000000E-1	2.466098E-3	2.466098E-3	9.564786E-9	8.702148E+0
4.500000E-1	2.680721E-3	2.680721E-3	1.039720E-8	1.071387E+1
5.000000E-1	3.202362E-3	3.202362E-3	1.242039E-8	1.138184E+1
5.000000E-1	2.803564E-3	2.803564E-3	1.087365E-8	1.204883E+1
4.500000E-1	2.209552E-3	2.209552E-3	8.569769E-9	1.338867E+1
4.000000E-1	1.512906E-3	1.512906E-3	5.867821E-9	1.405566E+1
3.500000E-1	1.280697E-3	1.280697E-3	4.967196E-9	1.472266E+1
3.000000E-1	9.721110E-4	9.721110E-4	3.770342E-9	1.539063E+1
2.500000E-1	6.567288E-4	6.567288E-4	2.547129E-9	1.605762E+1
2.000000E-1	4.431535E-4	4.431535E-4	1.718775E-9	1.672461E+1
1.500000E-1	2.816515E-4	2.816515E-4	1.092388E-9	1.739258E+1
1.000000E-1	1.517576E-4	1.517576E-4	5.885931E-10	1.873242E+1
5.000000E-2	7.179707E-5	7.179707E-5	2.784656E-10	1.940039E+1
0.000000E+0	5.635902E-8	-5.635902E-8	-2.185890E-13	2.117383E+1
-5.000000E-2	7.492868E-5	-7.492868E-5	-2.906116E-10	2.318750E+1
-1.000000E-1	1.688158E-4	-1.688158E-4	-6.547537E-10	2.385547E+1
-1.500000E-1	2.901787E-4	-2.901787E-4	-1.125461E-9	2.586816E+1
-2.000000E-1	4.366492E-4	-4.366492E-4	-1.693548E-9	2.653516E+1
-2.500000E-1	6.360286E-4	-6.360286E-4	-2.466843E-9	2.720312E+1
-3.000000E-1	7.713102E-4	-7.713102E-4	-2.991534E-9	2.787012E+1
-3.500000E-1	1.001412E-3	-1.001412E-3	-3.883986E-9	2.853711E+1
-4.000000E-1	1.391217E-3	-1.391217E-3	-5.395847E-9	2.920410E+1
-4.500000E-1	1.679631E-3	-1.679631E-3	-6.514465E-9	2.987109E+1
-5.000000E-1	2.366727E-3	-2.366727E-3	-9.179374E-9	3.053906E+1
-5.000000E-1	1.996662E-3	-1.996662E-3	-7.744072E-9	3.120605E+1
-4.500000E-1	1.519145E-3	-1.519145E-3	-5.892019E-9	3.187305E+1
-4.000000E-1	1.246405E-3	-1.246405E-3	-4.834195E-9	3.254004E+1
-3.500000E-1	9.921270E-4	-9.921270E-4	-3.847974E-9	3.320703E+1
-3.000000E-1	8.200011E-4	-8.200011E-4	-3.180382E-9	3.387500E+1
-2.500000E-1	6.130803E-4	-6.130803E-4	-2.377838E-9	3.454199E+1
-2.000000E-1	4.005619E-4	-4.005619E-4	-1.553583E-9	3.520898E+1
-1.500000E-1	4.150254E-4	-4.150254E-4	-1.609680E-9	3.789355E+1
-1.000000E-1	2.375137E-4	-2.375137E-4	-9.211990E-10	3.923340E+1
-5.000000E-2	6.867914E-5	-6.867914E-5	-2.663727E-10	3.990137E+1
0.000000E+0	8.304827E-9	8.304827E-9	3.221035E-14	4.167480E+1
