voltage_4_2_500mv_500ms	absJ_4_2_500mv_500ms	J_4_2_500mv_500ms	current_4_2_500mv_500ms	time_4_2_500mv_500ms	
0.000000E+0	2.258455E-8	-2.258455E-8	-5.474649E-13	0.000000E+0
5.000000E-2	3.554423E-6	3.554423E-6	8.616163E-11	2.013672E+0
1.000000E-1	8.795618E-6	8.795618E-6	2.132118E-10	2.680664E+0
1.500000E-1	1.639250E-5	1.639250E-5	3.973654E-10	3.348633E+0
2.000000E-1	2.801965E-5	2.801965E-5	6.792154E-10	4.016602E+0
2.500000E-1	5.779301E-5	5.779301E-5	1.400942E-9	6.030273E+0
3.000000E-1	8.774687E-5	8.774687E-5	2.127044E-9	6.697266E+0
3.500000E-1	1.052164E-4	1.052164E-4	2.550518E-9	7.364258E+0
4.000000E-1	1.391794E-4	1.391794E-4	3.373805E-9	8.032227E+0
4.500000E-1	1.700851E-4	1.700851E-4	4.122979E-9	8.699219E+0
5.000000E-1	2.106321E-4	2.106321E-4	5.105867E-9	9.366211E+0
5.000000E-1	2.039912E-4	2.039912E-4	4.944886E-9	1.003418E+1
4.500000E-1	1.714462E-4	1.714462E-4	4.155974E-9	1.070117E+1
4.000000E-1	1.210057E-4	1.210057E-4	2.933262E-9	1.136816E+1
3.500000E-1	9.612159E-5	9.612159E-5	2.330053E-9	1.203516E+1
3.000000E-1	7.042821E-5	7.042821E-5	1.707228E-9	1.270312E+1
2.500000E-1	5.166500E-5	5.166500E-5	1.252395E-9	1.337012E+1
2.000000E-1	3.062742E-5	3.062742E-5	7.424295E-10	1.470996E+1
1.500000E-1	1.992942E-5	1.992942E-5	4.831029E-10	1.537793E+1
1.000000E-1	9.449160E-6	9.449160E-6	2.290541E-10	1.604590E+1
5.000000E-2	4.662183E-6	4.662183E-6	1.130145E-10	1.671387E+1
0.000000E+0	7.087547E-9	-7.087547E-9	-1.718070E-13	1.848730E+1
-5.000000E-2	4.195088E-6	-4.195088E-6	-1.016918E-10	1.949023E+1
-1.000000E-1	1.204162E-5	-1.204162E-5	-2.918971E-10	2.150391E+1
-1.500000E-1	2.091113E-5	-2.091113E-5	-5.069001E-10	2.217188E+1
-2.000000E-1	3.380437E-5	-3.380437E-5	-8.194411E-10	2.283984E+1
-2.500000E-1	5.052246E-5	-5.052246E-5	-1.224699E-9	2.485254E+1
-3.000000E-1	7.711535E-5	-7.711535E-5	-1.869329E-9	2.551953E+1
-3.500000E-1	9.917760E-5	-9.917760E-5	-2.404133E-9	2.618750E+1
-4.000000E-1	1.201806E-4	-1.201806E-4	-2.913260E-9	2.685449E+1
-4.500000E-1	1.499515E-4	-1.499515E-4	-3.634928E-9	2.752148E+1
-5.000000E-1	1.762560E-4	-1.762560E-4	-4.272565E-9	2.818848E+1
-5.000000E-1	1.808206E-4	-1.808206E-4	-4.383215E-9	2.885547E+1
-4.500000E-1	1.421823E-4	-1.421823E-4	-3.446595E-9	2.952344E+1
-4.000000E-1	1.180676E-4	-1.180676E-4	-2.862039E-9	3.019043E+1
-3.500000E-1	8.805342E-5	-8.805342E-5	-2.134475E-9	3.085742E+1
-3.000000E-1	6.678339E-5	-6.678339E-5	-1.618875E-9	3.152441E+1
-2.500000E-1	4.863712E-5	-4.863712E-5	-1.178997E-9	3.219141E+1
-2.000000E-1	3.088772E-5	-3.088772E-5	-7.487394E-10	3.353125E+1
-1.500000E-1	2.055593E-5	-2.055593E-5	-4.982899E-10	3.419922E+1
-1.000000E-1	1.346846E-5	-1.346846E-5	-3.264846E-10	3.486719E+1
-5.000000E-2	6.319170E-6	-6.319170E-6	-1.531810E-10	3.553516E+1
0.000000E+0	8.043622E-9	8.043622E-9	1.949829E-13	3.730859E+1
