voltage_spot_14_scan_2_21	absJ_spot_14_scan_2_21	J_spot_14_scan_2_21	current_spot_14_scan_2_21	time_spot_14_scan_2_21	
0.000000E+0	7.785998E-9	-7.785998E-9	-6.794565E-14	0.000000E+0
5.000000E-2	3.538507E-6	3.538507E-6	3.087930E-11	7.031250E-1
1.000000E-1	7.483947E-6	7.483947E-6	6.530976E-11	1.406250E+0
1.500000E-1	1.129832E-5	1.129832E-5	9.859644E-11	2.109375E+0
2.000000E-1	1.202638E-5	1.202638E-5	1.049500E-10	2.812500E+0
2.500000E-1	2.795531E-5	2.795531E-5	2.439561E-10	3.927734E+0
3.000000E-1	6.788969E-5	6.788969E-5	5.924493E-10	4.295898E+0
3.500000E-1	8.432694E-5	8.432694E-5	7.358914E-10	4.664063E+0
4.000000E-1	9.129716E-5	9.129716E-5	7.967180E-10	5.032227E+0
4.500000E-1	8.083133E-5	8.083133E-5	7.053864E-10	5.401367E+0
5.000000E-1	7.001966E-5	7.001966E-5	6.110368E-10	5.769531E+0
5.000000E-1	6.573096E-5	6.573096E-5	5.736108E-10	6.137695E+0
4.500000E-1	6.299387E-5	6.299387E-5	5.497252E-10	6.506836E+0
4.000000E-1	4.756935E-5	4.756935E-5	4.151209E-10	6.875000E+0
3.500000E-1	3.613530E-5	3.613530E-5	3.153400E-10	7.243164E+0
3.000000E-1	2.874934E-5	2.874934E-5	2.508853E-10	7.611328E+0
2.500000E-1	2.251835E-5	2.251835E-5	1.965097E-10	7.980469E+0
2.000000E-1	1.696687E-5	1.696687E-5	1.480639E-10	8.348633E+0
1.500000E-1	1.191969E-5	1.191969E-5	1.040189E-10	8.716797E+0
1.000000E-1	7.097917E-6	7.097917E-6	6.194101E-11	9.891602E+0
5.000000E-2	3.540241E-6	3.540241E-6	3.089443E-11	1.059473E+1
0.000000E+0	7.085322E-8	7.085322E-8	6.183110E-13	1.129785E+1
-5.000000E-2	3.221836E-6	-3.221836E-6	-2.811582E-11	1.200195E+1
-1.000000E-1	6.416639E-6	-6.416639E-6	-5.599574E-11	1.270508E+1
-1.500000E-1	9.669514E-6	-9.669514E-6	-8.438243E-11	1.340820E+1
-2.000000E-1	1.274765E-5	-1.274765E-5	-1.112442E-10	1.452344E+1
