voltage_spot_2_scan_1	absJ_spot_2_scan_1	J_spot_2_scan_1	current_spot_2_scan_1	time_spot_2_scan_1	
0.000000E+0	2.077101E-8	-2.077101E-8	-8.056056E-14	0.000000E+0
5.000000E-2	8.325507E-7	8.325507E-7	3.229056E-12	7.031250E-1
1.000000E-1	1.868808E-6	1.868808E-6	7.248188E-12	1.406250E+0
1.500000E-1	2.702940E-6	2.702940E-6	1.048338E-11	2.109375E+0
2.000000E-1	3.708079E-6	3.708079E-6	1.438182E-11	2.812500E+0
2.500000E-1	5.065170E-6	5.065170E-6	1.964531E-11	3.515625E+0
3.000000E-1	7.126805E-6	7.126805E-6	2.764138E-11	4.218750E+0
3.500000E-1	9.322762E-6	9.322762E-6	3.615842E-11	4.921875E+0
4.000000E-1	1.039261E-5	1.039261E-5	4.030785E-11	5.625000E+0
4.500000E-1	1.206994E-5	1.206994E-5	4.681336E-11	6.328125E+0
5.000000E-1	1.593771E-5	1.593771E-5	6.181456E-11	7.031250E+0
5.000000E-1	1.564691E-5	1.564691E-5	6.068667E-11	7.734375E+0
4.500000E-1	1.309938E-5	1.309938E-5	5.080608E-11	8.437500E+0
4.000000E-1	9.415833E-6	9.415833E-6	3.651940E-11	9.140625E+0
3.500000E-1	7.435491E-6	7.435491E-6	2.883862E-11	9.843750E+0
3.000000E-1	5.412551E-6	5.412551E-6	2.099263E-11	1.054688E+1
2.500000E-1	3.954981E-6	3.954981E-6	1.533943E-11	1.125000E+1
2.000000E-1	2.709327E-6	2.709327E-6	1.050815E-11	1.195313E+1
1.500000E-1	2.303217E-6	2.303217E-6	8.933049E-12	1.265625E+1
1.000000E-1	1.272005E-6	1.272005E-6	4.933484E-12	1.335938E+1
5.000000E-2	7.327176E-7	7.327176E-7	2.841852E-12	1.406250E+1
0.000000E+0	1.699967E-8	1.699967E-8	6.593337E-14	1.476563E+1
-5.000000E-2	8.226359E-7	-8.226359E-7	-3.190601E-12	1.546875E+1
-1.000000E-1	1.748969E-6	-1.748969E-6	-6.783393E-12	1.617188E+1
-1.500000E-1	3.005998E-6	-3.005998E-6	-1.165879E-11	1.687500E+1
-2.000000E-1	3.937286E-6	-3.937286E-6	-1.527080E-11	1.757813E+1
-2.500000E-1	5.611658E-6	-5.611658E-6	-2.176487E-11	1.828125E+1
-3.000000E-1	8.625443E-6	-8.625443E-6	-3.345386E-11	1.898438E+1
-3.500000E-1	1.315712E-5	-1.315712E-5	-5.103000E-11	1.968750E+1
-4.000000E-1	1.600989E-5	-1.600989E-5	-6.209452E-11	2.039063E+1
-4.500000E-1	1.842347E-5	-1.842347E-5	-7.145561E-11	2.109375E+1
-5.000000E-1	2.446376E-5	-2.446376E-5	-9.488291E-11	2.179688E+1
-5.000000E-1	1.491010E-5	-1.491010E-5	-5.782895E-11	2.250000E+1
-4.500000E-1	1.176110E-5	-1.176110E-5	-4.561553E-11	2.320313E+1
-4.000000E-1	9.546642E-6	-9.546642E-6	-3.702674E-11	2.390625E+1
-3.500000E-1	7.758045E-6	-7.758045E-6	-3.008965E-11	2.460938E+1
-3.000000E-1	6.159428E-6	-6.159428E-6	-2.388940E-11	2.531250E+1
-2.500000E-1	5.057951E-6	-5.057951E-6	-1.961731E-11	2.601563E+1
-2.000000E-1	3.718622E-6	-3.718622E-6	-1.442271E-11	2.671875E+1
-1.500000E-1	2.312803E-6	-2.312803E-6	-8.970227E-12	2.742188E+1
-1.000000E-1	1.627756E-6	-1.627756E-6	-6.313269E-12	2.812500E+1
-5.000000E-2	8.081837E-7	-8.081837E-7	-3.134548E-12	2.882813E+1
0.000000E+0	5.226923E-8	-5.226923E-8	-2.027267E-13	2.953125E+1
