voltage_2_1_500mv_500ms	absJ_2_1_500mv_500ms	J_2_1_500mv_500ms	current_2_1_500mv_500ms	time_2_1_500mv_500ms	
0.000000E+0	2.918909E-7	-2.918909E-7	-2.218919E-12	0.000000E+0
5.000000E-2	3.561913E-6	3.561913E-6	2.707723E-11	2.013672E+0
1.000000E-1	7.969703E-6	7.969703E-6	6.058471E-11	3.787109E+0
1.500000E-1	1.004132E-5	1.004132E-5	7.633291E-11	4.789063E+0
2.000000E-1	2.917820E-5	2.917820E-5	2.218091E-10	6.802734E+0
2.500000E-1	5.951079E-5	5.951079E-5	4.523938E-10	7.470703E+0
3.000000E-1	3.566153E-5	3.566153E-5	2.710946E-10	8.138672E+0
3.500000E-1	3.885511E-5	3.885511E-5	2.953718E-10	8.806641E+0
4.000000E-1	4.481431E-5	4.481431E-5	3.406729E-10	9.474609E+0
4.500000E-1	7.074153E-5	7.074153E-5	5.377685E-10	1.014258E+1
5.000000E-1	1.001767E-4	1.001767E-4	7.615314E-10	1.081055E+1
5.000000E-1	1.140920E-4	1.140920E-4	8.673138E-10	1.147852E+1
4.500000E-1	1.351720E-4	1.351720E-4	1.027561E-9	1.214648E+1
4.000000E-1	1.120751E-4	1.120751E-4	8.519816E-10	1.415918E+1
3.500000E-1	9.516315E-5	9.516315E-5	7.234187E-10	1.549902E+1
3.000000E-1	8.052426E-5	8.052426E-5	6.121356E-10	1.616699E+1
2.500000E-1	2.751596E-5	2.751596E-5	2.091730E-10	1.683496E+1
2.000000E-1	3.115322E-5	3.115322E-5	2.368230E-10	1.750293E+1
1.500000E-1	1.266097E-5	1.266097E-5	9.624717E-11	1.927637E+1
1.000000E-1	1.239663E-5	1.239663E-5	9.423765E-11	2.027930E+1
5.000000E-2	6.619694E-6	6.619694E-6	5.032211E-11	2.128223E+1
0.000000E+0	3.360881E-9	3.360881E-9	2.554901E-14	2.228418E+1
-5.000000E-2	5.411524E-6	-5.411524E-6	-4.113775E-11	2.328711E+1
-1.000000E-1	1.319287E-5	-1.319287E-5	-1.002906E-10	2.530078E+1
-1.500000E-1	2.363379E-5	-2.363379E-5	-1.796612E-10	2.596875E+1
-2.000000E-1	4.201267E-5	-4.201267E-5	-3.193752E-10	2.663672E+1
-2.500000E-1	6.421796E-5	-6.421796E-5	-4.881771E-10	2.730371E+1
-3.000000E-1	8.924945E-5	-8.924945E-5	-6.784635E-10	2.797168E+1
-3.500000E-1	1.490700E-4	-1.490700E-4	-1.133212E-9	2.998438E+1
-4.000000E-1	2.124706E-4	-2.124706E-4	-1.615176E-9	3.065234E+1
-4.500000E-1	2.523003E-4	-2.523003E-4	-1.917956E-9	3.131934E+1
-5.000000E-1	3.422790E-4	-3.422790E-4	-2.601963E-9	3.198633E+1
-5.000000E-1	2.856518E-4	-2.856518E-4	-2.171490E-9	3.265332E+1
-4.500000E-1	1.945253E-4	-1.945253E-4	-1.478758E-9	3.332031E+1
-4.000000E-1	1.682752E-4	-1.682752E-4	-1.279208E-9	3.398828E+1
-3.500000E-1	1.629438E-4	-1.629438E-4	-1.238679E-9	3.465527E+1
-3.000000E-1	1.190310E-4	-1.190310E-4	-9.048595E-10	3.599512E+1
-2.500000E-1	1.079599E-4	-1.079599E-4	-8.206982E-10	3.666309E+1
-2.000000E-1	5.595242E-5	-5.595242E-5	-4.253435E-10	3.733105E+1
-1.500000E-1	4.511618E-5	-4.511618E-5	-3.429677E-10	3.799805E+1
-1.000000E-1	2.514880E-5	-2.514880E-5	-1.911781E-10	3.866602E+1
-5.000000E-2	8.857784E-6	-8.857784E-6	-6.733580E-11	4.043945E+1
0.000000E+0	1.115225E-7	-1.115225E-7	-8.477802E-13	4.144238E+1
