voltage_spot_7_run_1	absJ_spot_7_run_1	J_spot_7_run_1	current_spot_7_run_1	time_spot_7_run_1	
0.000000E+0	1.006884E-8	1.006884E-8	3.905209E-14	0.000000E+0
5.000000E-2	7.691535E-8	7.691535E-8	2.983169E-13	7.031250E-1
1.000000E-1	1.506784E-7	1.506784E-7	5.844075E-13	1.406250E+0
1.500000E-1	1.750275E-7	1.750275E-7	6.788459E-13	2.109375E+0
2.000000E-1	2.037777E-7	2.037777E-7	7.903539E-13	2.812500E+0
2.500000E-1	2.355157E-7	2.355157E-7	9.134499E-13	3.515625E+0
3.000000E-1	3.680208E-7	3.680208E-7	1.427372E-12	4.218750E+0
3.500000E-1	1.259804E-6	1.259804E-6	4.886161E-12	4.921875E+0
4.000000E-1	1.118235E-7	-1.118235E-7	-4.337086E-13	5.625000E+0
4.500000E-1	2.861891E-7	2.861891E-7	1.109987E-12	6.328125E+0
5.000000E-1	4.123574E-7	4.123574E-7	1.599332E-12	7.031250E+0
5.000000E-1	5.143089E-7	5.143089E-7	1.994752E-12	7.734375E+0
4.500000E-1	2.911340E-7	2.911340E-7	1.129166E-12	8.437500E+0
4.000000E-1	1.256816E-7	1.256816E-7	4.874573E-13	9.140625E+0
3.500000E-1	6.384803E-8	6.384803E-8	2.476352E-13	9.843750E+0
3.000000E-1	6.930825E-9	6.930825E-9	2.688127E-14	1.054688E+1
2.500000E-1	3.464339E-8	-3.464339E-8	-1.343647E-13	1.125000E+1
2.000000E-1	5.910345E-8	-5.910345E-8	-2.292333E-13	1.195313E+1
1.500000E-1	8.286220E-8	-8.286220E-8	-3.213818E-13	1.265625E+1
1.000000E-1	4.816154E-9	4.816154E-9	1.867950E-14	1.335938E+1
5.000000E-2	2.618328E-7	-2.618328E-7	-1.015521E-12	1.406250E+1
0.000000E+0	1.505209E-7	-1.505209E-7	-5.837969E-13	1.476563E+1
-5.000000E-2	1.394037E-7	-1.394037E-7	-5.406786E-13	1.546973E+1
-1.000000E-1	1.535910E-7	-1.535910E-7	-5.957040E-13	1.617285E+1
-1.500000E-1	1.652485E-7	-1.652485E-7	-6.409179E-13	1.687598E+1
-2.000000E-1	1.807096E-7	-1.807096E-7	-7.008838E-13	1.757910E+1
-2.500000E-1	1.998382E-7	-1.998382E-7	-7.750744E-13	1.828223E+1
-3.000000E-1	1.906138E-7	-1.906138E-7	-7.392975E-13	1.898535E+1
-3.500000E-1	2.452232E-7	-2.452232E-7	-9.511003E-13	1.968848E+1
-4.000000E-1	2.394481E-7	-2.394481E-7	-9.287016E-13	2.039160E+1
-4.500000E-1	2.168057E-7	-2.168057E-7	-8.408829E-13	2.109473E+1
-5.000000E-1	3.078260E-7	-3.078260E-7	-1.193906E-12	2.179785E+1
-5.000000E-1	2.132168E-7	-2.132168E-7	-8.269635E-13	2.250098E+1
-4.500000E-1	5.983340E-8	-5.983340E-8	-2.320644E-13	2.320410E+1
-4.000000E-1	1.042308E-8	-1.042308E-8	-4.042600E-14	2.390723E+1
-3.500000E-1	2.237043E-8	2.237043E-8	8.676393E-14	2.461035E+1
-3.000000E-1	5.625527E-8	5.625527E-8	2.181866E-13	2.531348E+1
-2.500000E-1	7.538749E-8	7.538749E-8	2.923911E-13	2.601660E+1
-2.000000E-1	2.454414E-7	2.454414E-7	9.519469E-13	2.671973E+1
-1.500000E-1	1.033040E-7	1.033040E-7	4.006656E-13	2.742285E+1
-1.000000E-1	1.271021E-7	1.271021E-7	4.929668E-13	2.812598E+1
-5.000000E-2	1.454973E-7	1.454973E-7	5.643125E-13	2.882910E+1
0.000000E+0	1.652735E-7	1.652735E-7	6.410150E-13	2.953223E+1
