voltage_spot_12_run_1	absJ_spot_12_run_1	J_spot_12_run_1	current_spot_12_run_1	time_spot_12_run_1	
0.000000E+0	1.622229E-2	-1.622229E-2	-1.233199E-7	0.000000E+0
5.000000E-2	4.949910E+0	4.949910E+0	3.762861E-5	1.114258E+0
1.000000E-1	1.001029E+1	1.001029E+1	7.609701E-5	1.482422E+0
1.500000E-1	1.500315E+1	1.500315E+1	1.140521E-4	2.592773E+0
2.000000E-1	2.021883E+1	2.021883E+1	1.537011E-4	2.959961E+0
2.500000E-1	2.587601E+1	2.587601E+1	1.967063E-4	3.328125E+0
3.000000E-1	3.062727E+1	3.062727E+1	2.328248E-4	3.695313E+0
3.500000E-1	3.452072E+1	3.452072E+1	2.624223E-4	4.063477E+0
4.000000E-1	3.746565E+1	3.746565E+1	2.848093E-4	4.431641E+0
4.500000E-1	3.989503E+1	3.989503E+1	3.032772E-4	4.798828E+0
5.000000E-1	4.914632E+1	4.914632E+1	3.736044E-4	5.166992E+0
5.000000E-1	6.621295E+1	6.621295E+1	5.033428E-4	5.535156E+0
4.500000E-1	8.825438E+1	8.825438E+1	6.708991E-4	5.902344E+0
4.000000E-1	9.122144E+1	9.122144E+1	6.934543E-4	6.270508E+0
3.500000E-1	8.191537E+1	8.191537E+1	6.227107E-4	6.638672E+0
3.000000E-1	7.048828E+1	7.048828E+1	5.358433E-4	7.005859E+0
2.500000E-1	5.838690E+1	5.838690E+1	4.438501E-4	7.374023E+0
2.000000E-1	4.642825E+1	4.642825E+1	3.529419E-4	7.741211E+0
1.500000E-1	3.446045E+1	3.446045E+1	2.619642E-4	8.109375E+0
1.000000E-1	2.253006E+1	2.253006E+1	1.712708E-4	8.477539E+0
5.000000E-2	1.112792E+1	1.112792E+1	8.459306E-5	9.216797E+0
0.000000E+0	2.645572E-2	-2.645572E-2	-2.011132E-7	9.963867E+0
-5.000000E-2	1.131517E+1	-1.131517E+1	-8.601652E-5	1.107910E+1
-1.000000E-1	2.073478E+3	-2.073478E+3	-1.576233E-2	1.181836E+1
-1.500000E-1	3.128558E+3	-3.128558E+3	-2.378292E-2	1.218652E+1
-2.000000E-1	4.184555E+3	-4.184555E+3	-3.181048E-2	1.255371E+1
-2.500000E-1	5.280952E+3	-5.280952E+3	-4.014516E-2	1.292188E+1
-3.000000E-1	6.519023E+3	-6.519023E+3	-4.955682E-2	1.329004E+1
-3.500000E-1	7.694638E+3	-7.694638E+3	-5.849370E-2	1.365723E+1
-4.000000E-1	8.946065E+3	-8.946065E+3	-6.800690E-2	1.402539E+1
-4.500000E-1	9.899173E+3	-9.899173E+3	-7.525231E-2	1.439355E+1
-5.000000E-1	1.085538E+4	-1.085538E+4	-8.252127E-2	1.476074E+1
-5.000000E-1	1.067810E+4	-1.067810E+4	-8.117363E-2	1.512891E+1
-4.500000E-1	9.458950E+3	-9.458950E+3	-7.190579E-2	1.549707E+1
-4.000000E-1	8.321481E+3	-8.321481E+3	-6.325889E-2	1.586523E+1
-3.500000E-1	7.246783E+3	-7.246783E+3	-5.508916E-2	1.623242E+1
-3.000000E-1	6.178849E+3	-6.178849E+3	-4.697086E-2	1.660059E+1
-2.500000E-1	5.134042E+3	-5.134042E+3	-3.902836E-2	1.696875E+1
-2.000000E-1	4.090432E+3	-4.090432E+3	-3.109497E-2	1.733594E+1
-1.500000E-1	3.059395E+3	-3.059395E+3	-2.325715E-2	1.770410E+1
-1.000000E-1	2.037275E+3	-2.037275E+3	-1.548712E-2	1.807227E+1
-5.000000E-2	1.019034E+3	-1.019034E+3	-7.746571E-3	1.881152E+1
0.000000E+0	2.369635E+0	-2.369635E+0	-1.801368E-5	1.955078E+1
