voltage_spot_4_scan_1	absJ_spot_4_scan_1	J_spot_4_scan_1	current_spot_4_scan_1	time_spot_4_scan_1	
0.000000E+0	3.415678E-8	-3.415678E-8	-1.324774E-13	0.000000E+0
5.000000E-2	4.589766E-7	4.589766E-7	1.780145E-12	7.031250E-1
1.000000E-1	8.944952E-7	8.944952E-7	3.469308E-12	1.406250E+0
1.500000E-1	1.223976E-6	1.223976E-6	4.747203E-12	2.109375E+0
2.000000E-1	1.670157E-6	1.670157E-6	6.477721E-12	2.813477E+0
2.500000E-1	2.380580E-6	2.380580E-6	9.233100E-12	3.516602E+0
3.000000E-1	3.193157E-6	3.193157E-6	1.238469E-11	4.219727E+0
3.500000E-1	4.024956E-6	4.024956E-6	1.561083E-11	4.922852E+0
4.000000E-1	4.508838E-6	4.508838E-6	1.748757E-11	5.625977E+0
4.500000E-1	5.761636E-6	5.761636E-6	2.234656E-11	6.329102E+0
5.000000E-1	6.737735E-6	6.737735E-6	2.613237E-11	7.032227E+0
5.000000E-1	6.865254E-6	6.865254E-6	2.662695E-11	7.735352E+0
4.500000E-1	5.285832E-6	5.285832E-6	2.050115E-11	8.438477E+0
4.000000E-1	4.324440E-6	4.324440E-6	1.677238E-11	9.141602E+0
3.500000E-1	3.591921E-6	3.591921E-6	1.393130E-11	9.844727E+0
3.000000E-1	2.805972E-6	2.805972E-6	1.088299E-11	1.054785E+1
2.500000E-1	2.140373E-6	2.140373E-6	8.301457E-12	1.125098E+1
2.000000E-1	1.592154E-6	1.592154E-6	6.175185E-12	1.195410E+1
1.500000E-1	1.096330E-6	1.096330E-6	4.252126E-12	1.265723E+1
1.000000E-1	6.746875E-7	6.746875E-7	2.616782E-12	1.336035E+1
5.000000E-2	3.025590E-7	3.025590E-7	1.173478E-12	1.406348E+1
0.000000E+0	2.677511E-8	-2.677511E-8	-1.038475E-13	1.476660E+1
-5.000000E-2	3.346871E-7	-3.346871E-7	-1.298087E-12	1.546973E+1
-1.000000E-1	6.680572E-7	-6.680572E-7	-2.591066E-12	1.617285E+1
-1.500000E-1	9.947435E-7	-9.947435E-7	-3.858122E-12	1.687598E+1
-2.000000E-1	1.326350E-6	-1.326350E-6	-5.144260E-12	1.757910E+1
-2.500000E-1	1.677489E-6	-1.677489E-6	-6.506157E-12	1.828223E+1
-3.000000E-1	2.071516E-6	-2.071516E-6	-8.034393E-12	1.898535E+1
-3.500000E-1	2.456654E-6	-2.456654E-6	-9.528156E-12	1.968848E+1
-4.000000E-1	3.022718E-6	-3.022718E-6	-1.172364E-11	2.039160E+1
-4.500000E-1	3.508448E-6	-3.508448E-6	-1.360755E-11	2.109473E+1
-5.000000E-1	4.237298E-6	-4.237298E-6	-1.643440E-11	2.179785E+1
-5.000000E-1	4.049950E-6	-4.049950E-6	-1.570777E-11	2.250098E+1
-4.500000E-1	3.448686E-6	-3.448686E-6	-1.337576E-11	2.320410E+1
-4.000000E-1	3.013575E-6	-3.013575E-6	-1.168818E-11	2.390723E+1
-3.500000E-1	2.508784E-6	-2.508784E-6	-9.730342E-12	2.461035E+1
-3.000000E-1	2.102048E-6	-2.102048E-6	-8.152812E-12	2.531348E+1
-2.500000E-1	1.691372E-6	-1.691372E-6	-6.560003E-12	2.601660E+1
-2.000000E-1	1.302380E-6	-1.302380E-6	-5.051293E-12	2.671973E+1
-1.500000E-1	9.726592E-7	-9.726592E-7	-3.772468E-12	2.742285E+1
-1.000000E-1	6.414467E-7	-6.414467E-7	-2.487857E-12	2.812598E+1
-5.000000E-2	2.965191E-7	-2.965191E-7	-1.150052E-12	2.882910E+1
0.000000E+0	5.283099E-8	5.283099E-8	2.049055E-13	2.953223E+1
