J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	8.1618e-024
1.5849e-008	-7.8	0	1.0554e-022
2.1544e-008	-7.6667	0	1.2875e-021
2.9286e-008	-7.5333	0	1.4818e-020
3.9811e-008	-7.4	0	1.6087e-019
5.4117e-008	-7.2667	0	1.6477e-018
7.3564e-008	-7.1333	0	1.5921e-017
1e-007	-7	0	1.4513e-016
1.3594e-007	-6.8667	0	1.248e-015
1.8478e-007	-6.7333	0	1.0124e-014
2.5119e-007	-6.6	0	7.7485e-014
3.4145e-007	-6.4667	0	5.5944e-013
4.6416e-007	-6.3333	0	3.8104e-012
6.3096e-007	-6.2	0	2.4484e-011
8.577e-007	-6.0667	0	1.4842e-010
1.1659e-006	-5.9333	0	8.4876e-010
1.5849e-006	-5.8	0	4.579e-009
2.1544e-006	-5.6667	0	2.3304e-008
2.9286e-006	-5.5333	0	1.1189e-007
3.9811e-006	-5.4	0	5.0681e-007
5.4117e-006	-5.2667	0	2.1657e-006
7.3564e-006	-5.1333	0	8.7301e-006
1e-005	-5	0	3.32e-005
1.3594e-005	-4.8667	0	0.00011911
1.8478e-005	-4.7333	0	0.00040313
2.5119e-005	-4.6	0	0.0012871
3.4145e-005	-4.4667	0	0.0038771
4.6416e-005	-4.3333	0	0.011017
6.3096e-005	-4.2	0	0.029534
8.577e-005	-4.0667	0	0.074691
0.00011659	-3.9333	0	0.1782
0.00015849	-3.8	0	0.40107
0.00021544	-3.6667	0	0.8516
0.00029286	-3.5333	0	1.7058
0.00039811	-3.4	0	3.2235
0.00054117	-3.2667	2	5.7466
0.00073564	-3.1333	16	9.6645
0.001	-3	17	15.333
0.0013594	-2.8667	18	22.95
0.0018478	-2.7333	12	32.406
0.0025119	-2.6	63	43.167
0.0034145	-2.4667	78	54.246
0.0046416	-2.3333	32	64.31
0.0063096	-2.2	76	71.924
0.008577	-2.0667	71	75.885
0.011659	-1.9333	93	75.532
0.015849	-1.8	67	70.924
0.021544	-1.6667	69	62.827
0.029286	-1.5333	41	52.504
0.039811	-1.4	32	41.393
0.054117	-1.2667	36	30.785
0.073564	-1.1333	23	21.6
0.1	-1	14	14.297
0.13594	-0.86667	18	8.9278
0.18478	-0.73333	8	5.2593
0.25119	-0.6	7	2.9228
0.34145	-0.46667	3	1.5323
0.46416	-0.33333	4	0.75788
0.63096	-0.2	0	0.35362
0.8577	-0.066667	0	0.15565
1.1659	0.066667	0	0.064636
1.5849	0.2	0	0.025321
2.1544	0.33333	0	0.0093579
2.9286	0.46667	0	0.0032626
3.9811	0.6	0	0.0010731
5.4117	0.73333	0	0.00033296
7.3564	0.86667	0	9.7465e-005
10	1	0	2.6915e-005
13.594	1.1333	0	7.0116e-006
18.478	1.2667	0	1.7232e-006
25.119	1.4	0	3.9953e-007
34.145	1.5333	0	8.7387e-008
46.416	1.6667	0	1.8032e-008
63.096	1.8	0	3.5101e-009
85.77	1.9333	8	6.4459e-010
