J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	2.1276e-020
1.5849e-008	-7.8	0	2.0545e-019
2.1544e-008	-7.6667	0	1.8814e-018
2.9286e-008	-7.5333	0	1.6338e-017
3.9811e-008	-7.4	0	1.3454e-016
5.4117e-008	-7.2667	0	1.0507e-015
7.3564e-008	-7.1333	0	7.7808e-015
1e-007	-7	0	5.4642e-014
1.3594e-007	-6.8667	0	3.639e-013
1.8478e-007	-6.7333	0	2.2982e-012
2.5119e-007	-6.6	0	1.3764e-011
3.4145e-007	-6.4667	0	7.8169e-011
4.6416e-007	-6.3333	0	4.21e-010
6.3096e-007	-6.2	0	2.1502e-009
8.577e-007	-6.0667	0	1.0414e-008
1.1659e-006	-5.9333	0	4.783e-008
1.5849e-006	-5.8	0	2.0832e-007
2.1544e-006	-5.6667	0	8.6043e-007
2.9286e-006	-5.5333	0	3.3701e-006
3.9811e-006	-5.4	0	1.2518e-005
5.4117e-006	-5.2667	0	4.4091e-005
7.3564e-006	-5.1333	0	0.00014727
1e-005	-5	0	0.00046649
1.3594e-005	-4.8667	0	0.0014012
1.8478e-005	-4.7333	0	0.0039914
2.5119e-005	-4.6	0	0.010782
3.4145e-005	-4.4667	0	0.027618
4.6416e-005	-4.3333	0	0.06709
6.3096e-005	-4.2	0	0.15455
8.577e-005	-4.0667	0	0.33761
0.00011659	-3.9333	0	0.69938
0.00015849	-3.8	0	1.3739
0.00021544	-3.6667	0	2.5595
0.00029286	-3.5333	0	4.5217
0.00039811	-3.4	10	7.5752
0.00054117	-3.2667	17	12.035
0.00073564	-3.1333	18	18.131
0.001	-3	19	25.903
0.0013594	-2.8667	41	35.094
0.0018478	-2.7333	52	45.088
0.0025119	-2.6	63	54.934
0.0034145	-2.4667	31	63.47
0.0046416	-2.3333	71	69.54
0.0063096	-2.2	79	72.253
0.008577	-2.0667	93	71.191
0.011659	-1.9333	61	66.518
0.015849	-1.8	66	58.939
0.021544	-1.6667	36	49.523
0.029286	-1.5333	26	39.461
0.039811	-1.4	30	29.818
0.054117	-1.2667	21	21.366
0.073564	-1.1333	24	14.519
0.1	-1	15	9.3556
0.13594	-0.86667	13	5.717
0.18478	-0.73333	6	3.3129
0.25119	-0.6	2	1.8205
0.34145	-0.46667	4	0.94872
0.46416	-0.33333	0	0.46884
0.63096	-0.2	0	0.21971
0.8577	-0.066667	0	0.097642
1.1659	0.066667	0	0.04115
1.5849	0.2	0	0.016445
2.1544	0.33333	0	0.0062325
2.9286	0.46667	0	0.0022399
3.9811	0.6	0	0.0007634
5.4117	0.73333	0	0.00024673
7.3564	0.86667	0	7.5619e-005
10	1	0	2.1978e-005
13.594	1.1333	0	6.0576e-006
18.478	1.2667	0	1.5833e-006
25.119	1.4	0	3.9243e-007
34.145	1.5333	0	9.2239e-008
46.416	1.6667	0	2.056e-008
63.096	1.8	0	4.3457e-009
85.77	1.9333	10	8.7107e-010
