J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	22	4.6799
1.5849e-008	-7.8	7	7.1721
2.1544e-008	-7.6667	12	10.577
2.9286e-008	-7.5333	9	15.01
3.9811e-008	-7.4	28	20.499
5.4117e-008	-7.2667	22	26.939
7.3564e-008	-7.1333	24	34.068
1e-007	-7	38	41.459
1.3594e-007	-6.8667	45	48.551
1.8478e-007	-6.7333	62	54.714
2.5119e-007	-6.6	73	59.334
3.4145e-007	-6.4667	80	61.918
4.6416e-007	-6.3333	35	62.179
6.3096e-007	-6.2	54	60.087
8.577e-007	-6.0667	46	55.876
1.1659e-006	-5.9333	66	50.002
1.5849e-006	-5.8	49	43.058
2.1544e-006	-5.6667	30	35.681
2.9286e-006	-5.5333	26	28.453
3.9811e-006	-5.4	34	21.833
5.4117e-006	-5.2667	17	16.123
7.3564e-006	-5.1333	4	11.457
1e-005	-5	2	7.8341
1.3594e-005	-4.8667	1	5.155
1.8478e-005	-4.7333	1	3.2643
2.5119e-005	-4.6	1	1.9891
3.4145e-005	-4.4667	9	1.1663
4.6416e-005	-4.3333	3	0.65813
6.3096e-005	-4.2	0	0.35736
8.577e-005	-4.0667	0	0.18673
0.00011659	-3.9333	1	0.093893
0.00015849	-3.8	0	0.045432
0.00021544	-3.6667	0	0.021155
0.00029286	-3.5333	0	0.0094788
0.00039811	-3.4	0	0.0040871
0.00054117	-3.2667	0	0.0016958
0.00073564	-3.1333	0	0.00067712
0.001	-3	0	0.00026017
0.0013594	-2.8667	0	9.6198e-005
0.0018478	-2.7333	0	3.4228e-005
0.0025119	-2.6	0	1.1719e-005
0.0034145	-2.4667	0	3.8614e-006
0.0046416	-2.3333	1	1.2243e-006
0.0063096	-2.2	0	3.7355e-007
0.008577	-2.0667	0	1.0968e-007
0.011659	-1.9333	0	3.0988e-008
0.015849	-1.8	0	8.4252e-009
0.021544	-1.6667	0	2.2043e-009
0.029286	-1.5333	0	5.55e-010
0.039811	-1.4	1	1.3447e-010
0.054117	-1.2667	1	3.135e-011
0.073564	-1.1333	0	7.0337e-012
0.1	-1	0	1.5186e-012
0.13594	-0.86667	0	3.155e-013
0.18478	-0.73333	0	6.3078e-014
0.25119	-0.6	0	1.2136e-014
0.34145	-0.46667	1	2.2468e-015
0.46416	-0.33333	1	4.0028e-016
0.63096	-0.2	0	6.8625e-017
0.8577	-0.066667	0	1.1322e-017
1.1659	0.066667	0	1.7974e-018
1.5849	0.2	0	2.746e-019
2.1544	0.33333	0	4.037e-020
2.9286	0.46667	0	5.7113e-021
3.9811	0.6	1	7.7752e-022
5.4117	0.73333	1	1.0186e-022
7.3564	0.86667	0	1.2841e-023
10	1	0	1.5578e-024
13.594	1.1333	0	1.8186e-025
18.478	1.2667	0	2.0431e-026
25.119	1.4	0	2.2086e-027
34.145	1.5333	0	2.2976e-028
46.416	1.6667	0	2.3001e-029
63.096	1.8	0	2.2158e-030
85.77	1.9333	0	2.0541e-031
