J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	8.1268e-005
1.5849e-008	-7.8	0	0.00020734
2.1544e-008	-7.6667	1	0.0005111
2.9286e-008	-7.5333	0	0.0012173
3.9811e-008	-7.4	0	0.0028015
5.4117e-008	-7.2667	1	0.0062294
7.3564e-008	-7.1333	0	0.013384
1e-007	-7	0	0.027783
1.3594e-007	-6.8667	0	0.055725
1.8478e-007	-6.7333	0	0.10799
2.5119e-007	-6.6	0	0.20222
3.4145e-007	-6.4667	0	0.36586
4.6416e-007	-6.3333	0	0.63957
6.3096e-007	-6.2	0	1.0803
8.577e-007	-6.0667	0	1.763
1.1659e-006	-5.9333	1	2.78
1.5849e-006	-5.8	0	4.2356
2.1544e-006	-5.6667	0	6.2353
2.9286e-006	-5.5333	0	8.869
3.9811e-006	-5.4	21	12.189
5.4117e-006	-5.2667	3	16.185
7.3564e-006	-5.1333	24	20.766
1e-005	-5	33	25.744
1.3594e-005	-4.8667	36	30.836
1.8478e-005	-4.7333	22	35.688
2.5119e-005	-4.6	34	39.907
3.4145e-005	-4.4667	78	43.118
4.6416e-005	-4.3333	59	45.013
6.3096e-005	-4.2	23	45.404
8.577e-005	-4.0667	23	44.251
0.00011659	-3.9333	26	41.67
0.00015849	-3.8	83	37.914
0.00021544	-3.6667	12	33.331
0.00029286	-3.5333	18	28.313
0.00039811	-3.4	18	23.237
0.00054117	-3.2667	34	18.427
0.00073564	-3.1333	29	14.119
0.001	-3	10	10.452
0.0013594	-2.8667	5	7.4767
0.0018478	-2.7333	4	5.1675
0.0025119	-2.6	1	3.4508
0.0034145	-2.4667	1	2.2266
0.0046416	-2.3333	0	1.3881
0.0063096	-2.2	0	0.83617
0.008577	-2.0667	0	0.48667
0.011659	-1.9333	0	0.27368
0.015849	-1.8	0	0.14871
0.021544	-1.6667	0	0.078072
0.029286	-1.5333	0	0.039603
0.039811	-1.4	0	0.01941
0.054117	-1.2667	0	0.0091922
0.073564	-1.1333	0	0.004206
0.1	-1	0	0.0018595
0.13594	-0.86667	0	0.00079434
0.18478	-0.73333	0	0.00032786
0.25119	-0.6	0	0.00013075
0.34145	-0.46667	0	5.0381e-005
0.46416	-0.33333	0	1.8757e-005
0.63096	-0.2	0	6.7475e-006
0.8577	-0.066667	0	2.3452e-006
1.1659	0.066667	0	7.8761e-007
1.5849	0.2	0	2.5557e-007
2.1544	0.33333	0	8.0126e-008
2.9286	0.46667	0	2.4273e-008
3.9811	0.6	0	7.1046e-009
5.4117	0.73333	0	2.0092e-009
7.3564	0.86667	0	5.4903e-010
10	1	0	1.4496e-010
13.594	1.1333	0	3.6979e-011
18.478	1.2667	0	9.1146e-012
25.119	1.4	0	2.1707e-012
34.145	1.5333	0	4.995e-013
46.416	1.6667	0	1.1106e-013
63.096	1.8	0	2.3858e-014
85.77	1.9333	0	4.9521e-015
