J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	1.6053e-008
1.5849e-008	-7.8	0	6.2277e-008
2.1544e-008	-7.6667	0	2.3134e-007
2.9286e-008	-7.5333	0	8.2286e-007
3.9811e-008	-7.4	0	2.8026e-006
5.4117e-008	-7.2667	0	9.1402e-006
7.3564e-008	-7.1333	0	2.8544e-005
1e-007	-7	0	8.5354e-005
1.3594e-007	-6.8667	0	0.0002444
1.8478e-007	-6.7333	1	0.00067008
2.5119e-007	-6.6	0	0.0017592
3.4145e-007	-6.4667	0	0.0044224
4.6416e-007	-6.3333	0	0.010646
6.3096e-007	-6.2	0	0.024538
8.577e-007	-6.0667	0	0.054158
1.1659e-006	-5.9333	0	0.11446
1.5849e-006	-5.8	0	0.23163
2.1544e-006	-5.6667	0	0.44884
2.9286e-006	-5.5333	0	0.83281
3.9811e-006	-5.4	0	1.4797
5.4117e-006	-5.2667	0	2.5174
7.3564e-006	-5.1333	0	4.1009
1e-005	-5	1	6.397
1.3594e-005	-4.8667	3	9.555
1.8478e-005	-4.7333	6	13.666
2.5119e-005	-4.6	6	18.716
3.4145e-005	-4.4667	18	24.544
4.6416e-005	-4.3333	37	30.82
6.3096e-005	-4.2	31	37.059
8.577e-005	-4.0667	65	42.667
0.00011659	-3.9333	74	47.039
0.00015849	-3.8	56	49.658
0.00021544	-3.6667	39	50.196
0.00029286	-3.5333	19	48.586
0.00039811	-3.4	25	45.032
0.00054117	-3.2667	67	39.965
0.00073564	-3.1333	32	33.962
0.001	-3	16	27.636
0.0013594	-2.8667	14	21.533
0.0018478	-2.7333	21	16.066
0.0025119	-2.6	45	11.478
0.0034145	-2.4667	10	7.852
0.0046416	-2.3333	8	5.1434
0.0063096	-2.2	4	3.2261
0.008577	-2.0667	2	1.9376
0.011659	-1.9333	0	1.1144
0.015849	-1.8	0	0.61367
0.021544	-1.6667	0	0.32359
0.029286	-1.5333	0	0.16339
0.039811	-1.4	0	0.078997
0.054117	-1.2667	0	0.036572
0.073564	-1.1333	0	0.016213
0.1	-1	0	0.006882
0.13594	-0.86667	0	0.0027973
0.18478	-0.73333	0	0.0010887
0.25119	-0.6	0	0.00040575
0.34145	-0.46667	0	0.00014479
0.46416	-0.33333	0	4.9477e-005
0.63096	-0.2	0	1.6189e-005
0.8577	-0.066667	0	5.0722e-006
1.1659	0.066667	0	1.5217e-006
1.5849	0.2	0	4.3714e-007
2.1544	0.33333	0	1.2025e-007
2.9286	0.46667	0	3.1672e-008
3.9811	0.6	0	7.9881e-009
5.4117	0.73333	0	1.9292e-009
7.3564	0.86667	0	4.4613e-010
10	1	0	9.8787e-011
13.594	1.1333	0	2.0946e-011
18.478	1.2667	0	4.2527e-012
25.119	1.4	0	8.2677e-013
34.145	1.5333	0	1.5391e-013
46.416	1.6667	0	2.7435e-014
63.096	1.8	0	4.6828e-015
85.77	1.9333	0	7.6535e-016
