J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	8	0.98361
1.5849e-008	-7.8	5	1.7288
2.1544e-008	-7.6667	2	2.9091
2.9286e-008	-7.5333	4	4.6868
3.9811e-008	-7.4	6	7.2292
5.4117e-008	-7.2667	11	10.676
7.3564e-008	-7.1333	5	15.094
1e-007	-7	19	20.432
1.3594e-007	-6.8667	19	26.479
1.8478e-007	-6.7333	40	32.854
2.5119e-007	-6.6	50	39.029
3.4145e-007	-6.4667	53	44.388
4.6416e-007	-6.3333	38	48.334
6.3096e-007	-6.2	45	50.388
8.577e-007	-6.0667	61	50.293
1.1659e-006	-5.9333	50	48.059
1.5849e-006	-5.8	25	43.969
2.1544e-006	-5.6667	31	38.513
2.9286e-006	-5.5333	35	32.297
3.9811e-006	-5.4	35	25.931
5.4117e-006	-5.2667	46	19.933
7.3564e-006	-5.1333	9	14.67
1e-005	-5	1	10.336
1.3594e-005	-4.8667	2	6.9729
1.8478e-005	-4.7333	0	4.5035
2.5119e-005	-4.6	0	2.7848
3.4145e-005	-4.4667	0	1.6486
4.6416e-005	-4.3333	0	0.93443
6.3096e-005	-4.2	0	0.50707
8.577e-005	-4.0667	0	0.26345
0.00011659	-3.9333	0	0.13104
0.00015849	-3.8	0	0.062405
0.00021544	-3.6667	0	0.028453
0.00029286	-3.5333	0	0.01242
0.00039811	-3.4	0	0.0051908
0.00054117	-3.2667	0	0.002077
0.00073564	-3.1333	0	0.00079567
0.001	-3	0	0.00029183
0.0013594	-2.8667	0	0.00010247
0.0018478	-2.7333	0	3.445e-005
0.0025119	-2.6	0	1.1089e-005
0.0034145	-2.4667	0	3.417e-006
0.0046416	-2.3333	0	1.0081e-006
0.0063096	-2.2	0	2.8477e-007
0.008577	-2.0667	0	7.7012e-008
0.011659	-1.9333	0	1.994e-008
0.015849	-1.8	0	4.9429e-009
0.021544	-1.6667	0	1.1731e-009
0.029286	-1.5333	0	2.6655e-010
0.039811	-1.4	0	5.7987e-011
0.054117	-1.2667	0	1.2077e-011
0.073564	-1.1333	0	2.4083e-012
0.1	-1	0	4.5978e-013
0.13594	-0.86667	0	8.404e-014
0.18478	-0.73333	0	1.4707e-014
0.25119	-0.6	0	2.464e-015
0.34145	-0.46667	0	3.9524e-016
0.46416	-0.33333	0	6.0699e-017
0.63096	-0.2	0	8.9247e-018
0.8577	-0.066667	0	1.2563e-018
1.1659	0.066667	0	1.6932e-019
1.5849	0.2	0	2.1848e-020
2.1544	0.33333	0	2.6991e-021
2.9286	0.46667	0	3.1924e-022
3.9811	0.6	0	3.615e-023
5.4117	0.73333	0	3.9192e-024
7.3564	0.86667	0	4.068e-025
10	1	0	4.0426e-026
13.594	1.1333	0	3.8463e-027
18.478	1.2667	0	3.5036e-028
25.119	1.4	0	3.0555e-029
34.145	1.5333	0	2.5513e-030
46.416	1.6667	0	2.0395e-031
63.096	1.8	0	1.5609e-032
85.77	1.9333	0	1.1438e-033
