Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	0.00057358	4.1173	0.0023616	0.00013931
-0.45	0.00049954	4.0601	0.0020282	0.00012304
-0.4	0.00045481	4.2169	0.0019179	0.00010785
-0.35	0.00037489	4.1279	0.0015475	9.0818e-005
-0.3	0.00033225	4.2648	0.001417	7.7905e-005
-0.25	0.00026052	4.2842	0.0011161	6.0809e-005
-0.2	0.00019944	4.3666	0.00087088	4.5674e-005
-0.15	0.00014102	4.3006	0.00060647	3.2791e-005
-0.1	9.9984e-005	4.8257	0.00048249	2.0719e-005
-0.05	4.8116e-005	5.5446	0.00026679	8.6779e-006
0	7.2585e-007	4.356	3.1618e-006	1.6663e-007
0.05	5.8462e-005	5.2386	0.00030626	1.116e-005
0.1	0.00011818	4.7184	0.00055762	2.5047e-005
0.15	0.00017599	4.5915	0.00080808	3.833e-005
0.2	0.00026409	4.426	0.0011689	5.9668e-005
0.25	0.00036021	4.2932	0.0015465	8.3902e-005
0.3	0.00046998	4.2956	0.0020188	0.00010941
0.35	0.00057347	4.1386	0.0023734	0.00013857
0.4	0.00069891	4.1552	0.0029041	0.0001682
0.45	0.00086727	4.1324	0.0035839	0.00020987
0.5	0.0010151	4.0528	0.004114	0.00025047
