J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	2.9063e-005
1.5849e-008	-7.8	0	7.052e-005
2.1544e-008	-7.6667	0	0.0001664
2.9286e-008	-7.5333	0	0.00038184
3.9811e-008	-7.4	0	0.0008521
5.4117e-008	-7.2667	0	0.0018491
7.3564e-008	-7.1333	0	0.0039024
1e-007	-7	0	0.0080088
1.3594e-007	-6.8667	0	0.015984
1.8478e-007	-6.7333	0	0.031022
2.5119e-007	-6.6	0	0.058553
3.4145e-007	-6.4667	0	0.10747
4.6416e-007	-6.3333	0	0.19183
6.3096e-007	-6.2	0	0.33299
8.577e-007	-6.0667	0	0.56209
1.1659e-006	-5.9333	0	0.92271
1.5849e-006	-5.8	1	1.473
2.1544e-006	-5.6667	1	2.2868
2.9286e-006	-5.5333	1	3.4523
3.9811e-006	-5.4	6	5.0685
5.4117e-006	-5.2667	18	7.2365
7.3564e-006	-5.1333	8	10.047
1e-005	-5	4	13.566
1.3594e-005	-4.8667	15	17.813
1.8478e-005	-4.7333	24	22.746
2.5119e-005	-4.6	32	28.245
3.4145e-005	-4.4667	30	34.108
4.6416e-005	-4.3333	35	40.054
6.3096e-005	-4.2	48	45.742
8.577e-005	-4.0667	57	50.8
0.00011659	-3.9333	78	54.865
0.00015849	-3.8	33	57.623
0.00021544	-3.6667	58	58.854
0.00029286	-3.5333	89	58.457
0.00039811	-3.4	23	56.465
0.00054117	-3.2667	58	53.038
0.00073564	-3.1333	17	48.449
0.001	-3	54	43.038
0.0013594	-2.8667	71	37.179
0.0018478	-2.7333	15	31.234
0.0025119	-2.6	35	25.517
0.0034145	-2.4667	37	20.273
0.0046416	-2.3333	9	15.663
0.0063096	-2.2	4	11.768
0.008577	-2.0667	1	8.5986
0.011659	-1.9333	2	6.1097
0.015849	-1.8	0	4.2217
0.021544	-1.6667	0	2.8369
0.029286	-1.5333	0	1.8538
0.039811	-1.4	0	1.1781
0.054117	-1.2667	0	0.72804
0.073564	-1.1333	0	0.43753
0.1	-1	0	0.25571
0.13594	-0.86667	0	0.14533
0.18478	-0.73333	0	0.080326
0.25119	-0.6	0	0.043175
0.34145	-0.46667	0	0.022567
0.46416	-0.33333	0	0.011471
0.63096	-0.2	0	0.0056703
0.8577	-0.066667	0	0.0027258
1.1659	0.066667	0	0.0012742
1.5849	0.2	0	0.00057928
2.1544	0.33333	0	0.0002561
2.9286	0.46667	0	0.0001101
3.9811	0.6	0	4.6033e-005
5.4117	0.73333	0	1.8716e-005
7.3564	0.86667	0	7.4002e-006
10	1	0	2.8454e-006
13.594	1.1333	0	1.064e-006
18.478	1.2667	0	3.8689e-007
25.119	1.4	0	1.3681e-007
34.145	1.5333	0	4.7048e-008
46.416	1.6667	0	1.5734e-008
63.096	1.8	0	5.1169e-009
85.77	1.9333	8	1.6183e-009
