J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	5.8846e-005
1.5849e-008	-7.8	0	0.00013899
2.1544e-008	-7.6667	0	0.00031934
2.9286e-008	-7.5333	0	0.00071375
3.9811e-008	-7.4	0	0.0015519
5.4117e-008	-7.2667	0	0.0032826
7.3564e-008	-7.1333	0	0.0067543
1e-007	-7	0	0.01352
1.3594e-007	-6.8667	0	0.026326
1.8478e-007	-6.7333	0	0.049867
2.5119e-007	-6.6	0	0.09189
3.4145e-007	-6.4667	0	0.16472
4.6416e-007	-6.3333	0	0.28724
6.3096e-007	-6.2	0	0.48727
8.577e-007	-6.0667	0	0.80411
1.1659e-006	-5.9333	0	1.2909
1.5849e-006	-5.8	0	2.0159
2.1544e-006	-5.6667	0	3.0625
2.9286e-006	-5.5333	0	4.526
3.9811e-006	-5.4	0	6.5069
5.4117e-006	-5.2667	9	9.1002
7.3564e-006	-5.1333	23	12.381
1e-005	-5	6	16.386
1.3594e-005	-4.8667	9	21.097
1.8478e-005	-4.7333	26	26.423
2.5119e-005	-4.6	32	32.194
3.4145e-005	-4.4667	50	38.158
4.6416e-005	-4.3333	54	43.997
6.3096e-005	-4.2	58	49.35
8.577e-005	-4.0667	55	53.847
0.00011659	-3.9333	49	57.156
0.00015849	-3.8	35	59.019
0.00021544	-3.6667	100	59.284
0.00029286	-3.5333	36	57.93
0.00039811	-3.4	51	55.068
0.00054117	-3.2667	19	50.922
0.00073564	-3.1333	41	45.808
0.001	-3	89	40.087
0.0013594	-2.8667	28	34.126
0.0018478	-2.7333	30	28.261
0.0025119	-2.6	33	22.767
0.0034145	-2.4667	23	17.843
0.0046416	-2.3333	6	13.603
0.0063096	-2.2	0	10.088
0.008577	-2.0667	0	7.2784
0.011659	-1.9333	0	5.1082
0.015849	-1.8	0	3.4876
0.021544	-1.6667	0	2.3164
0.029286	-1.5333	0	1.4966
0.039811	-1.4	0	0.94068
0.054117	-1.2667	0	0.57516
0.073564	-1.1333	0	0.34211
0.1	-1	0	0.19795
0.13594	-0.86667	0	0.11142
0.18478	-0.73333	0	0.061011
0.25119	-0.6	0	0.032499
0.34145	-0.46667	0	0.01684
0.46416	-0.33333	0	0.008489
0.63096	-0.2	0	0.0041628
0.8577	-0.066667	0	0.0019858
1.1659	0.066667	0	0.00092151
1.5849	0.2	0	0.000416
2.1544	0.33333	0	0.00018269
2.9286	0.46667	0	7.8046e-005
3.9811	0.6	0	3.2435e-005
5.4117	0.73333	0	1.3113e-005
7.3564	0.86667	0	5.157e-006
10	1	0	1.973e-006
13.594	1.1333	0	7.3431e-007
18.478	1.2667	0	2.6586e-007
25.119	1.4	0	9.3637e-008
34.145	1.5333	0	3.2082e-008
46.416	1.6667	0	1.0693e-008
63.096	1.8	0	3.4671e-009
85.77	1.9333	10	1.0936e-009
