J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	2	6.3781e-008
1.5849e-008	-7.8	0	1.1594e-006
2.1544e-008	-7.6667	0	1.7107e-005
2.9286e-008	-7.5333	1	0.00020485
3.9811e-008	-7.4	0	0.0019909
5.4117e-008	-7.2667	1	0.015705
7.3564e-008	-7.1333	0	0.10055
1e-007	-7	0	0.5225
1.3594e-007	-6.8667	4	2.2036
1.8478e-007	-6.7333	7	7.5431
2.5119e-007	-6.6	16	20.956
3.4145e-007	-6.4667	73	47.255
4.6416e-007	-6.3333	95	86.482
6.3096e-007	-6.2	99	128.46
8.577e-007	-6.0667	155	154.87
1.1659e-006	-5.9333	154	151.54
1.5849e-006	-5.8	146	120.35
2.1544e-006	-5.6667	68	77.57
2.9286e-006	-5.5333	25	40.581
3.9811e-006	-5.4	8	17.231
5.4117e-006	-5.2667	4	5.938
7.3564e-006	-5.1333	1	1.6609
1e-005	-5	2	0.37704
1.3594e-005	-4.8667	1	0.06947
1.8478e-005	-4.7333	0	0.010389
2.5119e-005	-4.6	1	0.0012609
3.4145e-005	-4.4667	1	0.00012421
4.6416e-005	-4.3333	0	9.9313e-006
6.3096e-005	-4.2	0	6.4446e-007
8.577e-005	-4.0667	0	3.3943e-008
0.00011659	-3.9333	0	1.451e-009
0.00015849	-3.8	0	5.0341e-011
0.00021544	-3.6667	0	1.4176e-012
0.00029286	-3.5333	1	3.2398e-014
0.00039811	-3.4	0	6.0098e-016
0.00054117	-3.2667	1	9.048e-018
0.00073564	-3.1333	2	1.1056e-019
0.001	-3	0	1.0965e-021
0.0013594	-2.8667	0	8.8262e-024
0.0018478	-2.7333	0	5.7663e-026
0.0025119	-2.6	0	3.0575e-028
0.0034145	-2.4667	0	1.3159e-030
0.0046416	-2.3333	0	4.5962e-033
0.0063096	-2.2	0	1.303e-035
0.008577	-2.0667	0	2.9981e-038
0.011659	-1.9333	0	5.5991e-041
0.015849	-1.8	0	8.4866e-044
0.021544	-1.6667	0	1.044e-046
0.029286	-1.5333	0	1.0424e-049
0.039811	-1.4	0	8.4476e-053
0.054117	-1.2667	1	5.5563e-056
0.073564	-1.1333	0	2.9661e-059
0.1	-1	0	1.2851e-062
0.13594	-0.86667	0	4.5192e-066
0.18478	-0.73333	0	1.2899e-069
0.25119	-0.6	0	2.9879e-073
0.34145	-0.46667	0	5.6177e-077
0.46416	-0.33333	0	8.5725e-081
0.63096	-0.2	3	1.0617e-084
0.8577	-0.066667	0	1.0673e-088
1.1659	0.066667	0	8.7074e-093
1.5849	0.2	0	5.7658e-097
2.1544	0.33333	0	3.0988e-101
2.9286	0.46667	0	1.3517e-105
3.9811	0.6	0	4.7855e-110
5.4117	0.73333	0	1.3751e-114
7.3564	0.86667	0	3.2069e-119
10	1	0	6.0702e-124
13.594	1.1333	0	9.3255e-129
18.478	1.2667	0	1.1628e-133
25.119	1.4	0	1.1768e-138
34.145	1.5333	0	9.6657e-144
46.416	1.6667	0	6.4437e-149
63.096	1.8	0	3.4865e-154
85.77	1.9333	0	1.5311e-159
