Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	0.0010243	6.3133	0.0064668	0.00016224
-0.45	0.00086748	6.3215	0.0054837	0.00013723
-0.4	0.00068657	6.4209	0.0044084	0.00010693
-0.35	0.00052551	6.5138	0.0034231	8.0676e-005
-0.3	0.0004138	6.4391	0.0026645	6.4264e-005
-0.25	0.00030716	6.3713	0.001957	4.8211e-005
-0.2	0.0002187	6.4861	0.0014185	3.3719e-005
-0.15	0.00014166	6.7917	0.0009621	2.0858e-005
-0.1	6.9221e-005	7.4265	0.00051407	9.3207e-006
-0.05	2.6991e-005	8.1225	0.00021923	3.3229e-006
0	1.0882e-007	3.0735	3.3444e-007	3.5405e-008
0.05	2.9735e-005	8.1043	0.00024098	3.669e-006
0.1	8.0174e-005	6.8836	0.00055189	1.1647e-005
0.15	0.00015522	6.3609	0.0009873	2.4402e-005
0.2	0.00025304	6.0259	0.0015248	4.1992e-005
0.25	0.0003606	6.1904	0.0022323	5.8252e-005
0.3	0.00050171	6.251	0.0031362	8.0261e-005
0.35	0.00065725	6.2959	0.004138	0.00010439
0.4	0.00086253	6.0976	0.0052594	0.00014145
0.45	0.0010725	5.9639	0.0063961	0.00017983
0.5	0.0013341	5.989	0.0079901	0.00022277
