J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	1.0125e-013
1.5849e-008	-7.8	0	9.4209e-013
2.1544e-008	-7.6667	0	8.1217e-012
2.9286e-008	-7.5333	0	6.4873e-011
3.9811e-008	-7.4	0	4.8011e-010
5.4117e-008	-7.2667	0	3.2921e-009
7.3564e-008	-7.1333	0	2.0915e-008
1e-007	-7	0	1.2311e-007
1.3594e-007	-6.8667	0	6.7144e-007
1.8478e-007	-6.7333	0	3.3929e-006
2.5119e-007	-6.6	0	1.5885e-005
3.4145e-007	-6.4667	0	6.8909e-005
4.6416e-007	-6.3333	0	0.00027696
6.3096e-007	-6.2	0	0.0010314
8.577e-007	-6.0667	0	0.0035585
1.1659e-006	-5.9333	0	0.011376
1.5849e-006	-5.8	0	0.033694
2.1544e-006	-5.6667	0	0.092465
2.9286e-006	-5.5333	0	0.23511
3.9811e-006	-5.4	0	0.55387
5.4117e-006	-5.2667	0	1.209
7.3564e-006	-5.1333	0	2.445
1e-005	-5	0	4.5813
1.3594e-005	-4.8667	0	7.9537
1.8478e-005	-4.7333	3	12.794
2.5119e-005	-4.6	3	19.068
3.4145e-005	-4.4667	29	26.33
4.6416e-005	-4.3333	66	33.687
6.3096e-005	-4.2	36	39.933
8.577e-005	-4.0667	55	43.859
0.00011659	-3.9333	25	44.632
0.00015849	-3.8	30	42.081
0.00021544	-3.6667	45	36.761
0.00029286	-3.5333	40	29.754
0.00039811	-3.4	10	22.313
0.00054117	-3.2667	2	15.504
0.00073564	-3.1333	23	9.981
0.001	-3	34	5.9534
0.0013594	-2.8667	3	3.2902
0.0018478	-2.7333	0	1.6847
0.0025119	-2.6	0	0.79927
0.0034145	-2.4667	0	0.35133
0.0046416	-2.3333	0	0.14309
0.0063096	-2.2	0	0.053994
0.008577	-2.0667	0	0.018877
0.011659	-1.9333	0	0.006115
0.015849	-1.8	0	0.0018353
0.021544	-1.6667	0	0.00051037
0.029286	-1.5333	0	0.0001315
0.039811	-1.4	0	3.1391e-005
0.054117	-1.2667	0	6.9432e-006
0.073564	-1.1333	0	1.4229e-006
0.1	-1	0	2.7017e-007
0.13594	-0.86667	0	4.7528e-008
0.18478	-0.73333	0	7.747e-009
0.25119	-0.6	0	1.17e-009
0.34145	-0.46667	0	1.6371e-010
0.46416	-0.33333	0	2.1224e-011
0.63096	-0.2	0	2.5494e-012
0.8577	-0.066667	0	2.8373e-013
1.1659	0.066667	0	2.9258e-014
1.5849	0.2	0	2.7953e-015
2.1544	0.33333	0	2.4744e-016
2.9286	0.46667	0	2.0295e-017
3.9811	0.6	0	1.5422e-018
5.4117	0.73333	0	1.0858e-019
7.3564	0.86667	0	7.0834e-021
10	1	0	4.2813e-022
13.594	1.1333	0	2.3976e-023
18.478	1.2667	0	1.244e-024
25.119	1.4	0	5.9805e-026
34.145	1.5333	0	2.6638e-027
46.416	1.6667	0	1.0993e-028
63.096	1.8	0	4.2036e-030
85.77	1.9333	0	1.4892e-031
