J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	3.4894e-005
1.5849e-008	-7.8	0	8.7039e-005
2.1544e-008	-7.6667	0	0.00021065
2.9286e-008	-7.5333	0	0.00049467
3.9811e-008	-7.4	0	0.0011271
5.4117e-008	-7.2667	0	0.0024916
7.3564e-008	-7.1333	0	0.0053443
1e-007	-7	0	0.011123
1.3594e-007	-6.8667	0	0.02246
1.8478e-007	-6.7333	0	0.044004
2.5119e-007	-6.6	0	0.083652
3.4145e-007	-6.4667	0	0.15429
4.6416e-007	-6.3333	0	0.27613
6.3096e-007	-6.2	0	0.47948
8.577e-007	-6.0667	0	0.80783
1.1659e-006	-5.9333	0	1.3206
1.5849e-006	-5.8	0	2.0945
2.1544e-006	-5.6667	0	3.2233
2.9286e-006	-5.5333	0	4.813
3.9811e-006	-5.4	0	6.973
5.4117e-006	-5.2667	20	9.8019
7.3564e-006	-5.1333	23	13.369
1e-005	-5	34	17.692
1.3594e-005	-4.8667	37	22.716
1.8478e-005	-4.7333	23	28.3
2.5119e-005	-4.6	9	34.209
3.4145e-005	-4.4667	13	40.122
4.6416e-005	-4.3333	39	45.658
6.3096e-005	-4.2	90	50.412
8.577e-005	-4.0667	78	54.007
0.00011659	-3.9333	45	56.137
0.00015849	-3.8	40	56.617
0.00021544	-3.6667	41	55.403
0.00029286	-3.5333	64	52.603
0.00039811	-3.4	38	48.459
0.00054117	-3.2667	21	43.315
0.00073564	-3.1333	65	37.565
0.001	-3	59	31.61
0.0013594	-2.8667	44	25.808
0.0018478	-2.7333	7	20.445
0.0025119	-2.6	1	15.714
0.0034145	-2.4667	1	11.719
0.0046416	-2.3333	0	8.4801
0.0063096	-2.2	0	5.9537
0.008577	-2.0667	0	4.0557
0.011659	-1.9333	0	2.6806
0.015849	-1.8	0	1.7191
0.021544	-1.6667	0	1.0697
0.029286	-1.5333	0	0.64579
0.039811	-1.4	0	0.37829
0.054117	-1.2667	0	0.21501
0.073564	-1.1333	0	0.11857
0.1	-1	0	0.063441
0.13594	-0.86667	0	0.032936
0.18478	-0.73333	0	0.016591
0.25119	-0.6	0	0.0081085
0.34145	-0.46667	0	0.0038451
0.46416	-0.33333	0	0.0017692
0.63096	-0.2	0	0.00078982
0.8577	-0.066667	0	0.00034212
1.1659	0.066667	0	0.00014378
1.5849	0.2	0	5.8632e-005
2.1544	0.33333	0	2.3198e-005
2.9286	0.46667	0	8.9056e-006
3.9811	0.6	0	3.3171e-006
5.4117	0.73333	0	1.1988e-006
7.3564	0.86667	0	4.2037e-007
10	1	0	1.4302e-007
13.594	1.1333	0	4.7214e-008
18.478	1.2667	0	1.5123e-008
25.119	1.4	0	4.6997e-009
34.145	1.5333	0	1.4171e-009
46.416	1.6667	0	4.1461e-010
63.096	1.8	0	1.177e-010
85.77	1.9333	8	3.2417e-011
