J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	95	40.433
1.5849e-008	-7.8	30	51.524
2.1544e-008	-7.6667	48	62.374
2.9286e-008	-7.5333	63	71.732
3.9811e-008	-7.4	62	78.37
5.4117e-008	-7.2667	82	81.339
7.3564e-008	-7.1333	75	80.2
1e-007	-7	89	75.121
1.3594e-007	-6.8667	90	66.846
1.8478e-007	-6.7333	60	56.507
2.5119e-007	-6.6	49	45.379
3.4145e-007	-6.4667	25	34.619
4.6416e-007	-6.3333	20	25.09
6.3096e-007	-6.2	4	17.275
8.577e-007	-6.0667	1	11.299
1.1659e-006	-5.9333	0	7.0207
1.5849e-006	-5.8	0	4.1443
2.1544e-006	-5.6667	0	2.324
2.9286e-006	-5.5333	0	1.238
3.9811e-006	-5.4	0	0.62655
5.4117e-006	-5.2667	0	0.30123
7.3564e-006	-5.1333	0	0.13758
1e-005	-5	1	0.059694
1.3594e-005	-4.8667	0	0.024605
1.8478e-005	-4.7333	0	0.009635
2.5119e-005	-4.6	0	0.0035842
3.4145e-005	-4.4667	0	0.0012666
4.6416e-005	-4.3333	0	0.00042522
6.3096e-005	-4.2	0	0.00013562
8.577e-005	-4.0667	0	4.1089e-005
0.00011659	-3.9333	0	1.1827e-005
0.00015849	-3.8	0	3.2338e-006
0.00021544	-3.6667	0	8.4001e-007
0.00029286	-3.5333	0	2.0729e-007
0.00039811	-3.4	0	4.8594e-008
0.00054117	-3.2667	0	1.0822e-008
0.00073564	-3.1333	0	2.2896e-009
0.001	-3	0	4.6018e-010
0.0013594	-2.8667	0	8.7865e-011
0.0018478	-2.7333	0	1.5938e-011
0.0025119	-2.6	0	2.7463e-012
0.0034145	-2.4667	0	4.4956e-013
0.0046416	-2.3333	0	6.9913e-014
0.0063096	-2.2	0	1.0329e-014
0.008577	-2.0667	0	1.4496e-015
0.011659	-1.9333	0	1.9327e-016
0.015849	-1.8	0	2.4479e-017
0.021544	-1.6667	0	2.9455e-018
0.029286	-1.5333	0	3.367e-019
0.039811	-1.4	0	3.6563e-020
0.054117	-1.2667	0	3.7719e-021
0.073564	-1.1333	0	3.6965e-022
0.1	-1	0	3.4415e-023
0.13594	-0.86667	0	3.0439e-024
0.18478	-0.73333	0	2.5575e-025
0.25119	-0.6	0	2.0414e-026
0.34145	-0.46667	0	1.548e-027
0.46416	-0.33333	1	1.1151e-028
0.63096	-0.2	0	7.6311e-030
0.8577	-0.066667	0	4.9611e-031
1.1659	0.066667	0	3.064e-032
1.5849	0.2	0	1.7977e-033
2.1544	0.33333	0	1.002e-034
2.9286	0.46667	0	5.3056e-036
3.9811	0.6	1	2.6688e-037
5.4117	0.73333	4	1.2753e-038
7.3564	0.86667	0	5.7896e-040
10	1	0	2.4969e-041
13.594	1.1333	0	1.023e-042
18.478	1.2667	0	3.9814e-044
25.119	1.4	0	1.4721e-045
34.145	1.5333	0	5.1709e-047
46.416	1.6667	0	1.7255e-048
63.096	1.8	0	5.4697e-050
85.77	1.9333	0	1.6472e-051
