J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	0.89693
1.5849e-008	-7.8	0	1.5274
2.1544e-008	-7.6667	0	2.5092
2.9286e-008	-7.5333	0	3.9767
3.9811e-008	-7.4	2	6.08
5.4117e-008	-7.2667	5	8.9679
7.3564e-008	-7.1333	2	12.761
1e-007	-7	1	17.517
1.3594e-007	-6.8667	5	23.197
1.8478e-007	-6.7333	12	29.635
2.5119e-007	-6.6	31	36.524
3.4145e-007	-6.4667	65	43.427
4.6416e-007	-6.3333	102	49.811
6.3096e-007	-6.2	75	55.119
8.577e-007	-6.0667	48	58.839
1.1659e-006	-5.9333	41	60.595
1.5849e-006	-5.8	46	60.201
2.1544e-006	-5.6667	61	57.698
2.9286e-006	-5.5333	45	53.349
3.9811e-006	-5.4	36	47.587
5.4117e-006	-5.2667	25	40.949
7.3564e-006	-5.1333	41	33.994
1e-005	-5	54	27.225
1.3594e-005	-4.8667	23	21.034
1.8478e-005	-4.7333	5	15.677
2.5119e-005	-4.6	22	11.273
3.4145e-005	-4.4667	27	7.8193
4.6416e-005	-4.3333	12	5.2326
6.3096e-005	-4.2	8	3.378
8.577e-005	-4.0667	3	2.1038
0.00011659	-3.9333	0	1.264
0.00015849	-3.8	0	0.73265
0.00021544	-3.6667	0	0.40967
0.00029286	-3.5333	0	0.22099
0.00039811	-3.4	1	0.115
0.00054117	-3.2667	0	0.057736
0.00073564	-3.1333	0	0.027963
0.001	-3	0	0.013065
0.0013594	-2.8667	0	0.005889
0.0018478	-2.7333	0	0.0025608
0.0025119	-2.6	0	0.0010742
0.0034145	-2.4667	0	0.00043474
0.0046416	-2.3333	0	0.00016973
0.0063096	-2.2	0	6.3925e-005
0.008577	-2.0667	0	2.3227e-005
0.011659	-1.9333	0	8.1417e-006
0.015849	-1.8	0	2.7532e-006
0.021544	-1.6667	0	8.9815e-007
0.029286	-1.5333	0	2.8266e-007
0.039811	-1.4	0	8.5818e-008
0.054117	-1.2667	0	2.5136e-008
0.073564	-1.1333	0	7.1023e-009
0.1	-1	0	1.936e-009
0.13594	-0.86667	0	5.0911e-010
0.18478	-0.73333	0	1.2916e-010
0.25119	-0.6	0	3.161e-011
0.34145	-0.46667	0	7.4632e-012
0.46416	-0.33333	0	1.6999e-012
0.63096	-0.2	0	3.7353e-013
0.8577	-0.066667	0	7.9181e-014
1.1659	0.066667	0	1.6193e-014
1.5849	0.2	0	3.1946e-015
2.1544	0.33333	0	6.08e-016
2.9286	0.46667	0	1.1163e-016
3.9811	0.6	0	1.9774e-017
5.4117	0.73333	0	3.3789e-018
7.3564	0.86667	0	5.57e-019
10	1	0	8.8581e-020
13.594	1.1333	0	1.359e-020
18.478	1.2667	0	2.0114e-021
25.119	1.4	0	2.872e-022
34.145	1.5333	0	3.9561e-023
46.416	1.6667	0	5.257e-024
63.096	1.8	0	6.7393e-025
85.77	1.9333	0	8.3347e-026
