J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	1.4983e-005
1.5849e-008	-7.8	0	6.0128e-005
2.1544e-008	-7.6667	0	0.00022598
2.9286e-008	-7.5333	0	0.00079534
3.9811e-008	-7.4	0	0.0026215
5.4117e-008	-7.2667	1	0.0080919
7.3564e-008	-7.1333	0	0.023391
1e-007	-7	0	0.063323
1.3594e-007	-6.8667	1	0.16054
1.8478e-007	-6.7333	0	0.38115
2.5119e-007	-6.6	0	0.84746
3.4145e-007	-6.4667	0	1.7646
4.6416e-007	-6.3333	0	3.4409
6.3096e-007	-6.2	0	6.2837
8.577e-007	-6.0667	5	10.746
1.1659e-006	-5.9333	6	17.211
1.5849e-006	-5.8	6	25.814
2.1544e-006	-5.6667	4	36.258
2.9286e-006	-5.5333	71	47.694
3.9811e-006	-5.4	93	58.752
5.4117e-006	-5.2667	76	67.779
7.3564e-006	-5.1333	75	73.226
1e-005	-5	71	74.087
1.3594e-005	-4.8667	58	70.198
1.8478e-005	-4.7333	48	62.289
2.5119e-005	-4.6	55	51.761
3.4145e-005	-4.4667	25	40.28
4.6416e-005	-4.3333	10	29.356
6.3096e-005	-4.2	47	20.035
8.577e-005	-4.0667	57	12.806
0.00011659	-3.9333	8	7.6651
0.00015849	-3.8	4	4.2967
0.00021544	-3.6667	14	2.2556
0.00029286	-3.5333	27	1.1089
0.00039811	-3.4	12	0.51052
0.00054117	-3.2667	6	0.22011
0.00073564	-3.1333	14	0.088877
0.001	-3	2	0.033607
0.0013594	-2.8667	0	0.011901
0.0018478	-2.7333	0	0.0039467
0.0025119	-2.6	2	0.0012257
0.0034145	-2.4667	0	0.0003565
0.0046416	-2.3333	0	9.7101e-005
0.0063096	-2.2	0	2.4768e-005
0.008577	-2.0667	0	5.9166e-006
0.011659	-1.9333	0	1.3236e-006
0.015849	-1.8	0	2.7729e-007
0.021544	-1.6667	0	5.4403e-008
0.029286	-1.5333	0	9.9958e-009
0.039811	-1.4	0	1.72e-009
0.054117	-1.2667	0	2.7715e-010
0.073564	-1.1333	0	4.1824e-011
0.1	-1	0	5.9107e-012
0.13594	-0.86667	0	7.8227e-013
0.18478	-0.73333	0	9.6956e-014
0.25119	-0.6	0	1.1254e-014
0.34145	-0.46667	0	1.2233e-015
0.46416	-0.33333	0	1.2453e-016
0.63096	-0.2	0	1.1871e-017
0.8577	-0.066667	0	1.0599e-018
1.1659	0.066667	0	8.8613e-020
1.5849	0.2	0	6.9382e-021
2.1544	0.33333	0	5.0875e-022
2.9286	0.46667	0	3.4935e-023
3.9811	0.6	0	2.2466e-024
5.4117	0.73333	0	1.353e-025
7.3564	0.86667	0	7.6309e-027
10	1	0	4.0305e-028
13.594	1.1333	0	1.9936e-029
18.478	1.2667	0	9.2348e-031
25.119	1.4	0	4.0061e-032
34.145	1.5333	0	1.6275e-033
46.416	1.6667	0	6.1919e-035
63.096	1.8	0	2.2061e-036
85.77	1.9333	0	7.3611e-038
