J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	125	76.106
1.5849e-008	-7.8	32	75.069
2.1544e-008	-7.6667	56	73.035
2.9286e-008	-7.5333	85	70.088
3.9811e-008	-7.4	67	66.343
5.4117e-008	-7.2667	63	61.942
7.3564e-008	-7.1333	54	57.044
1e-007	-7	45	51.817
1.3594e-007	-6.8667	30	46.427
1.8478e-007	-6.7333	39	41.031
2.5119e-007	-6.6	48	35.767
3.4145e-007	-6.4667	43	30.754
4.6416e-007	-6.3333	31	26.082
6.3096e-007	-6.2	33	21.819
8.577e-007	-6.0667	23	18.004
1.1659e-006	-5.9333	9	14.653
1.5849e-006	-5.8	6	11.763
2.1544e-006	-5.6667	3	9.3146
2.9286e-006	-5.5333	3	7.2751
3.9811e-006	-5.4	1	5.6047
5.4117e-006	-5.2667	0	4.259
7.3564e-006	-5.1333	0	3.1922
1e-005	-5	2	2.36
1.3594e-005	-4.8667	0	1.721
1.8478e-005	-4.7333	0	1.2379
2.5119e-005	-4.6	0	0.87825
3.4145e-005	-4.4667	0	0.6146
4.6416e-005	-4.3333	0	0.42424
6.3096e-005	-4.2	0	0.28884
8.577e-005	-4.0667	0	0.19398
0.00011659	-3.9333	0	0.12849
0.00015849	-3.8	0	0.083953
0.00021544	-3.6667	0	0.054105
0.00029286	-3.5333	0	0.034394
0.00039811	-3.4	0	0.021565
0.00054117	-3.2667	0	0.013337
0.00073564	-3.1333	0	0.0081362
0.001	-3	0	0.0048956
0.0013594	-2.8667	0	0.0029056
0.0018478	-2.7333	0	0.001701
0.0025119	-2.6	0	0.0009822
0.0034145	-2.4667	0	0.00055942
0.0046416	-2.3333	0	0.00031428
0.0063096	-2.2	0	0.00017415
0.008577	-2.0667	0	9.5188e-005
0.011659	-1.9333	0	5.1318e-005
0.015849	-1.8	0	2.729e-005
0.021544	-1.6667	0	1.4314e-005
0.029286	-1.5333	0	7.4056e-006
0.039811	-1.4	0	3.7792e-006
0.054117	-1.2667	0	1.9023e-006
0.073564	-1.1333	0	9.4448e-007
0.1	-1	0	4.6253e-007
0.13594	-0.86667	0	2.2343e-007
0.18478	-0.73333	0	1.0645e-007
0.25119	-0.6	0	5.0029e-008
0.34145	-0.46667	0	2.3191e-008
0.46416	-0.33333	0	1.0604e-008
0.63096	-0.2	0	4.7824e-009
0.8577	-0.066667	0	2.1274e-009
1.1659	0.066667	0	9.3349e-010
1.5849	0.2	0	4.0402e-010
2.1544	0.33333	0	1.7248e-010
2.9286	0.46667	0	7.2626e-011
3.9811	0.6	0	3.0164e-011
5.4117	0.73333	0	1.2358e-011
7.3564	0.86667	0	4.9936e-012
10	1	0	1.9903e-012
13.594	1.1333	0	7.8249e-013
18.478	1.2667	0	3.0344e-013
25.119	1.4	0	1.1606e-013
34.145	1.5333	0	4.3788e-014
46.416	1.6667	0	1.6295e-014
63.096	1.8	0	5.9814e-015
85.77	1.9333	0	2.1656e-015
