Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	9.0592e-006	3.3153	3.0034e-005	2.7325e-006
-0.45	7.9417e-006	3.4388	2.731e-005	2.3094e-006
-0.4	7.3048e-006	3.6711	2.6817e-005	1.9898e-006
-0.35	6.2365e-006	3.6925	2.3029e-005	1.689e-006
-0.3	5.4263e-006	3.8492	2.0887e-005	1.4097e-006
-0.25	4.5561e-006	4.0227	1.8328e-005	1.1326e-006
-0.2	3.7264e-006	4.1973	1.5641e-005	8.8781e-007
-0.15	2.8856e-006	4.4239	1.2766e-005	6.5228e-007
-0.1	2.0053e-006	4.6742	9.3733e-006	4.2902e-007
-0.05	1.0657e-006	5.2687	5.6148e-006	2.0227e-007
0	1e-008	13.738	1.3738e-007	7.2789e-010
0.05	1.2856e-006	5.0521	6.4951e-006	2.5447e-007
0.1	2.6206e-006	4.8546	1.2722e-005	5.3982e-007
0.15	4.0327e-006	4.5587	1.8384e-005	8.8461e-007
0.2	5.4898e-006	4.3481	2.3871e-005	1.2626e-006
0.25	7.5519e-006	4.5259	3.4179e-005	1.6686e-006
0.3	9.9478e-006	4.6499	4.6256e-005	2.1394e-006
0.35	1.2848e-005	4.7283	6.0747e-005	2.7172e-006
0.4	1.5712e-005	4.5872	7.2074e-005	3.4252e-006
0.45	2.0416e-005	4.7877	9.7748e-005	4.2644e-006
0.5	2.4114e-005	4.5604	0.00010997	5.2876e-006
