voltage_21_2_6	absJ_21_2_6	J_21_2_6	current_21_2_6	time_21_2_6	
0.000000E+0	5.654354E-6	-5.654354E-6	-1.890998E-11	0.000000E+0
5.000000E-2	4.788360E-3	4.788360E-3	1.601382E-8	5.498047E-1
1.000000E-1	9.830758E-3	9.830758E-3	3.287722E-8	6.669922E-1
1.500000E-1	1.518046E-2	1.518046E-2	5.076835E-8	7.851563E-1
2.000000E-1	2.117025E-2	2.117025E-2	7.080013E-8	9.033203E-1
2.500000E-1	2.767199E-2	2.767199E-2	9.254405E-8	1.021484E+0
3.000000E-1	3.300229E-2	3.300229E-2	1.103703E-7	1.385742E+0
3.500000E-1	3.908203E-2	3.908203E-2	1.307029E-7	1.502930E+0
4.000000E-1	4.716920E-2	4.716920E-2	1.577490E-7	1.621094E+0
4.500000E-1	5.611403E-2	5.611403E-2	1.876634E-7	1.739258E+0
5.000000E-1	6.485565E-2	6.485565E-2	2.168982E-7	1.857422E+0
5.000000E-1	6.368723E-2	6.368723E-2	2.129906E-7	1.975586E+0
4.500000E-1	5.201162E-2	5.201162E-2	1.739436E-7	2.092773E+0
4.000000E-1	4.221812E-2	4.221812E-2	1.411910E-7	2.210938E+0
3.500000E-1	3.377934E-2	3.377934E-2	1.129690E-7	2.329102E+0
3.000000E-1	2.656389E-2	2.656389E-2	8.883821E-8	2.570313E+0
2.500000E-1	2.038288E-2	2.038288E-2	6.816691E-8	2.688477E+0
2.000000E-1	1.534275E-2	1.534275E-2	5.131110E-8	2.806641E+0
1.500000E-1	1.079746E-2	1.079746E-2	3.611017E-8	2.924805E+0
1.000000E-1	6.870415E-3	6.870415E-3	2.297688E-8	3.041992E+0
5.000000E-2	3.235361E-3	3.235361E-3	1.082009E-8	3.160156E+0
0.000000E+0	3.703294E-6	-3.703294E-6	-1.238501E-11	3.841797E+0
-5.000000E-2	3.098203E-3	-3.098203E-3	-1.036139E-8	4.392578E+0
-1.000000E-1	6.257549E-3	-6.257549E-3	-2.092726E-8	4.509766E+0
-1.500000E-1	9.560329E-3	-9.560329E-3	-3.197282E-8	4.627930E+0
-2.000000E-1	1.291602E-2	-1.291602E-2	-4.319533E-8	4.746094E+0
-2.500000E-1	1.647701E-2	-1.647701E-2	-5.510444E-8	4.864258E+0
-3.000000E-1	2.077300E-2	-2.077300E-2	-6.947162E-8	4.982422E+0
