voltage_1_9_11	absJ_1_9_11	J_1_9_11	current_1_9_11	time_1_9_11	
0.000000E+0	5.940100E-8	-5.940100E-8	-5.518225E-13	0.000000E+0
5.000000E-2	4.117987E-6	4.117987E-6	3.825521E-11	6.142578E-1
1.000000E-1	1.287697E-5	1.287697E-5	1.196243E-10	1.287109E+0
1.500000E-1	2.116805E-5	2.116805E-5	1.966466E-10	1.559570E+0
2.000000E-1	3.210627E-5	3.210627E-5	2.982603E-10	1.831055E+0
2.500000E-1	4.345478E-5	4.345478E-5	4.036855E-10	2.103516E+0
3.000000E-1	5.015963E-5	5.015963E-5	4.659721E-10	2.375977E+0
3.500000E-1	5.993039E-5	5.993039E-5	5.567403E-10	2.647461E+0
4.000000E-1	7.533986E-5	7.533986E-5	6.998910E-10	2.919922E+0
4.500000E-1	8.737044E-5	8.737044E-5	8.116525E-10	3.192383E+0
5.000000E-1	8.796874E-5	8.796874E-5	8.172106E-10	3.463867E+0
5.000000E-1	9.542069E-5	9.542069E-5	8.864376E-10	4.136719E+0
4.500000E-1	7.829841E-5	7.829841E-5	7.273753E-10	4.377930E+0
4.000000E-1	6.291840E-5	6.291840E-5	5.844983E-10	4.650391E+0
3.500000E-1	5.069279E-5	5.069279E-5	4.709250E-10	4.921875E+0
3.000000E-1	4.108431E-5	4.108431E-5	3.816644E-10	5.194336E+0
2.500000E-1	3.062871E-5	3.062871E-5	2.845341E-10	5.466797E+0
2.000000E-1	2.280930E-5	2.280930E-5	2.118935E-10	5.738281E+0
1.500000E-1	1.601751E-5	1.601751E-5	1.487992E-10	6.010742E+0
1.000000E-1	8.231388E-6	8.231388E-6	7.646781E-11	7.000000E+0
5.000000E-2	3.482204E-6	3.482204E-6	3.234892E-11	7.614258E+0
0.000000E+0	1.728580E-7	1.728580E-7	1.605813E-12	8.228516E+0
-5.000000E-2	3.454616E-6	-3.454616E-6	-3.209263E-11	8.842773E+0
-1.000000E-1	7.102503E-6	-7.102503E-6	-6.598072E-11	9.457031E+0
-1.500000E-1	1.262304E-5	-1.262304E-5	-1.172653E-10	1.030078E+1
-2.000000E-1	1.604454E-5	-1.604454E-5	-1.490503E-10	1.057324E+1
-2.500000E-1	1.913995E-5	-1.913995E-5	-1.778060E-10	1.084473E+1
-3.000000E-1	2.379633E-5	-2.379633E-5	-2.210628E-10	1.111719E+1
-3.500000E-1	2.808368E-5	-2.808368E-5	-2.608913E-10	1.138965E+1
-4.000000E-1	3.091334E-5	-3.091334E-5	-2.871782E-10	1.166113E+1
-4.500000E-1	3.571080E-5	-3.571080E-5	-3.317456E-10	1.193359E+1
-5.000000E-1	4.033688E-5	-4.033688E-5	-3.747209E-10	1.220605E+1
-5.000000E-1	3.889508E-5	-3.889508E-5	-3.613269E-10	1.247754E+1
-4.500000E-1	3.581547E-5	-3.581547E-5	-3.327180E-10	1.275000E+1
-4.000000E-1	3.157705E-5	-3.157705E-5	-2.933440E-10	1.302246E+1
-3.500000E-1	2.713351E-5	-2.713351E-5	-2.520644E-10	1.329492E+1
-3.000000E-1	2.280634E-5	-2.280634E-5	-2.118660E-10	1.356641E+1
-2.500000E-1	2.033411E-5	-2.033411E-5	-1.888995E-10	1.383887E+1
-2.000000E-1	1.584666E-5	-1.584666E-5	-1.472120E-10	1.411133E+1
-1.500000E-1	1.183756E-5	-1.183756E-5	-1.099684E-10	1.438281E+1
-1.000000E-1	7.495911E-6	-7.495911E-6	-6.963539E-11	1.537305E+1
-5.000000E-2	3.540675E-6	-3.540675E-6	-3.289211E-11	1.598730E+1
0.000000E+0	2.751421E-7	2.751421E-7	2.556011E-12	1.660156E+1
