voltage_5_9_20	absJ_5_9_20	J_5_9_20	current_5_9_20	time_5_9_20	
0.000000E+0	2.146951E-7	2.146951E-7	5.105846E-12	0.000000E+0
5.000000E-2	1.273887E-5	1.273887E-5	3.029538E-10	6.728516E-1
1.000000E-1	2.618601E-5	2.618601E-5	6.227517E-10	9.453125E-1
1.500000E-1	3.765126E-5	3.765126E-5	8.954166E-10	1.216797E+0
2.000000E-1	6.012868E-5	6.012868E-5	1.429971E-9	1.889648E+0
2.500000E-1	7.873186E-5	7.873186E-5	1.872389E-9	2.007813E+0
3.000000E-1	9.797427E-5	9.797427E-5	2.330009E-9	2.125000E+0
3.500000E-1	1.224586E-4	1.224586E-4	2.912292E-9	2.243164E+0
4.000000E-1	1.516036E-4	1.516036E-4	3.605413E-9	2.361328E+0
4.500000E-1	1.761445E-4	1.761445E-4	4.189042E-9	2.479492E+0
5.000000E-1	2.165796E-4	2.165796E-4	5.150663E-9	2.597656E+0
5.000000E-1	2.176822E-4	2.176822E-4	5.176884E-9	2.714844E+0
4.500000E-1	1.715170E-4	1.715170E-4	4.078992E-9	2.833008E+0
4.000000E-1	1.474752E-4	1.474752E-4	3.507233E-9	2.951172E+0
3.500000E-1	1.180506E-4	1.180506E-4	2.807460E-9	3.069336E+0
3.000000E-1	9.530232E-5	9.530232E-5	2.266465E-9	3.187500E+0
2.500000E-1	7.600495E-5	7.600495E-5	1.807538E-9	3.304688E+0
2.000000E-1	6.017329E-5	6.017329E-5	1.431032E-9	3.422852E+0
1.500000E-1	4.223040E-5	4.223040E-5	1.004317E-9	3.541016E+0
1.000000E-1	2.733389E-5	2.733389E-5	6.500503E-10	3.782227E+0
5.000000E-2	1.348863E-5	1.348863E-5	3.207846E-10	4.054688E+0
0.000000E+0	3.017560E-7	3.017560E-7	7.176315E-12	5.043945E+0
-5.000000E-2	3.966310E-6	-3.966310E-6	-9.432617E-11	5.659180E+0
-1.000000E-1	2.466188E-5	-2.466188E-5	-5.865051E-10	6.332031E+0
-1.500000E-1	3.764042E-5	-3.764042E-5	-8.951588E-10	6.604492E+0
-2.000000E-1	4.019523E-5	-4.019523E-5	-9.559167E-10	6.876953E+0
-2.500000E-1	6.458788E-5	-6.458788E-5	-1.536019E-9	7.548828E+0
-3.000000E-1	7.821924E-5	-7.821924E-5	-1.860198E-9	7.666992E+0
-3.500000E-1	9.446260E-5	-9.446260E-5	-2.246495E-9	7.785156E+0
-4.000000E-1	1.040328E-4	-1.040328E-4	-2.474091E-9	7.903320E+0
-4.500000E-1	1.185688E-4	-1.185688E-4	-2.819784E-9	8.021484E+0
-5.000000E-1	1.357371E-4	-1.357371E-4	-3.228078E-9	8.138672E+0
-5.000000E-1	1.331195E-4	-1.331195E-4	-3.165828E-9	8.256836E+0
-4.500000E-1	1.180784E-4	-1.180784E-4	-2.808123E-9	8.375000E+0
-4.000000E-1	1.043616E-4	-1.043616E-4	-2.481911E-9	8.493164E+0
-3.500000E-1	9.042162E-5	-9.042162E-5	-2.150393E-9	8.611328E+0
-3.000000E-1	7.824952E-5	-7.824952E-5	-1.860918E-9	8.728516E+0
-2.500000E-1	6.366406E-5	-6.366406E-5	-1.514049E-9	8.846680E+0
-2.000000E-1	5.036594E-5	-5.036594E-5	-1.197795E-9	8.964844E+0
-1.500000E-1	3.802222E-5	-3.802222E-5	-9.042387E-10	9.206055E+0
-1.000000E-1	2.632633E-5	-2.632633E-5	-6.260887E-10	9.478516E+0
-5.000000E-2	1.263445E-5	-1.263445E-5	-3.004705E-10	9.750977E+0
0.000000E+0	3.089179E-7	3.089179E-7	7.346637E-12	1.074023E+1
0.000000E+0	1.812971E-7	1.812971E-7	4.311579E-12	1.135547E+1
5.000000E-2	3.909818E-6	3.909818E-6	9.298269E-11	1.196875E+1
1.000000E-1	2.756088E-5	2.756088E-5	6.554487E-10	1.264160E+1
1.500000E-1	3.832369E-5	3.832369E-5	9.114081E-10	1.291406E+1
2.000000E-1	4.085517E-5	4.085517E-5	9.716113E-10	1.318652E+1
2.500000E-1	8.248451E-5	8.248451E-5	1.961634E-9	1.385840E+1
3.000000E-1	1.103158E-4	1.103158E-4	2.623513E-9	1.397656E+1
3.500000E-1	1.318920E-4	1.318920E-4	3.136636E-9	1.409473E+1
4.000000E-1	1.581328E-4	1.581328E-4	3.760690E-9	1.421289E+1
4.500000E-1	1.900876E-4	1.900876E-4	4.520634E-9	1.433008E+1
5.000000E-1	2.297616E-4	2.297616E-4	5.464154E-9	1.444824E+1
5.000000E-1	2.154062E-4	2.154062E-4	5.122758E-9	1.456641E+1
4.500000E-1	1.862825E-4	1.862825E-4	4.430142E-9	1.468457E+1
4.000000E-1	1.485240E-4	1.485240E-4	3.532176E-9	1.480273E+1
3.500000E-1	1.243414E-4	1.243414E-4	2.957069E-9	1.491992E+1
3.000000E-1	1.055432E-4	1.055432E-4	2.510011E-9	1.503809E+1
2.500000E-1	7.948331E-5	7.948331E-5	1.890260E-9	1.515625E+1
2.000000E-1	5.969726E-5	5.969726E-5	1.419711E-9	1.527441E+1
1.500000E-1	4.339537E-5	4.339537E-5	1.032022E-9	1.539258E+1
1.000000E-1	2.761498E-5	2.761498E-5	6.567353E-10	1.563379E+1
5.000000E-2	1.324593E-5	1.324593E-5	3.150126E-10	1.590625E+1
0.000000E+0	2.797540E-7	2.797540E-7	6.653067E-12	1.689551E+1
-5.000000E-2	3.963318E-6	-3.963318E-6	-9.425502E-11	1.750977E+1
-1.000000E-1	2.283784E-5	-2.283784E-5	-5.431261E-10	1.818262E+1
-1.500000E-1	3.609874E-5	-3.609874E-5	-8.584948E-10	1.845508E+1
-2.000000E-1	3.977671E-5	-3.977671E-5	-9.459635E-10	1.872754E+1
-2.500000E-1	6.149047E-5	-6.149047E-5	-1.462357E-9	1.940039E+1
-3.000000E-1	7.433931E-5	-7.433931E-5	-1.767926E-9	1.951855E+1
-3.500000E-1	8.682534E-5	-8.682534E-5	-2.064867E-9	1.963574E+1
-4.000000E-1	9.894446E-5	-9.894446E-5	-2.353082E-9	1.975391E+1
-4.500000E-1	1.141902E-4	-1.141902E-4	-2.715653E-9	1.987207E+1
-5.000000E-1	1.278115E-4	-1.278115E-4	-3.039594E-9	1.999023E+1
-5.000000E-1	1.280206E-4	-1.280206E-4	-3.044566E-9	2.010840E+1
-4.500000E-1	1.136308E-4	-1.136308E-4	-2.702351E-9	2.022559E+1
-4.000000E-1	9.968132E-5	-9.968132E-5	-2.370606E-9	2.034375E+1
-3.500000E-1	8.635865E-5	-8.635865E-5	-2.053768E-9	2.046191E+1
-3.000000E-1	7.221054E-5	-7.221054E-5	-1.717300E-9	2.058008E+1
-2.500000E-1	5.948769E-5	-5.948769E-5	-1.414727E-9	2.069824E+1
-2.000000E-1	4.727606E-5	-4.727606E-5	-1.124312E-9	2.081543E+1
-1.500000E-1	3.608212E-5	-3.608212E-5	-8.580994E-10	2.105762E+1
-1.000000E-1	2.389304E-5	-2.389304E-5	-5.682206E-10	2.132910E+1
-5.000000E-2	1.205241E-5	-1.205241E-5	-2.866285E-10	2.160156E+1
0.000000E+0	3.550693E-7	3.550693E-7	8.444204E-12	2.259082E+1
0.000000E+0	2.422986E-7	2.422986E-7	5.762307E-12	2.320605E+1
5.000000E-2	3.897691E-6	3.897691E-6	9.269429E-11	2.381934E+1
1.000000E-1	2.826386E-5	2.826386E-5	6.721667E-10	2.449219E+1
1.500000E-1	3.830617E-5	3.830617E-5	9.109914E-10	2.476465E+1
2.000000E-1	4.113341E-5	4.113341E-5	9.782285E-10	2.503613E+1
2.500000E-1	9.001177E-5	9.001177E-5	2.140646E-9	2.570898E+1
3.000000E-1	1.153269E-4	1.153269E-4	2.742686E-9	2.582715E+1
3.500000E-1	1.429524E-4	1.429524E-4	3.399671E-9	2.594434E+1
4.000000E-1	1.697212E-4	1.697212E-4	4.036284E-9	2.606250E+1
4.500000E-1	1.851704E-4	1.851704E-4	4.403693E-9	2.618066E+1
5.000000E-1	2.363552E-4	2.363552E-4	5.620962E-9	2.629883E+1
5.000000E-1	2.265552E-4	2.265552E-4	5.387900E-9	2.641699E+1
4.500000E-1	1.933945E-4	1.933945E-4	4.599279E-9	2.653418E+1
4.000000E-1	1.521598E-4	1.521598E-4	3.618640E-9	2.665234E+1
3.500000E-1	1.248982E-4	1.248982E-4	2.970309E-9	2.677051E+1
3.000000E-1	9.904424E-5	9.904424E-5	2.355455E-9	2.688867E+1
2.500000E-1	7.660339E-5	7.660339E-5	1.821770E-9	2.700684E+1
2.000000E-1	5.892654E-5	5.892654E-5	1.401382E-9	2.712402E+1
1.500000E-1	4.356293E-5	4.356293E-5	1.036007E-9	2.724219E+1
1.000000E-1	2.791523E-5	2.791523E-5	6.638758E-10	2.748340E+1
5.000000E-2	1.348320E-5	1.348320E-5	3.206553E-10	2.775586E+1
0.000000E+0	2.601918E-7	2.601918E-7	6.187842E-12	2.874609E+1
-5.000000E-2	1.177731E-5	-1.177731E-5	-2.800863E-10	2.941895E+1
-1.000000E-1	2.443955E-5	-2.443955E-5	-5.812175E-10	2.969141E+1
-1.500000E-1	3.758592E-5	-3.758592E-5	-8.938625E-10	2.996387E+1
-2.000000E-1	4.036839E-5	-4.036839E-5	-9.600349E-10	3.023633E+1
-2.500000E-1	4.261519E-5	-4.261519E-5	-1.013468E-9	3.050781E+1
-3.000000E-1	7.780141E-5	-7.780141E-5	-1.850261E-9	3.118066E+1
-3.500000E-1	9.264912E-5	-9.264912E-5	-2.203367E-9	3.129883E+1
-4.000000E-1	1.099188E-4	-1.099188E-4	-2.614072E-9	3.141699E+1
-4.500000E-1	1.258995E-4	-1.258995E-4	-2.994123E-9	3.153516E+1
-5.000000E-1	1.406549E-4	-1.406549E-4	-3.345034E-9	3.165234E+1
-5.000000E-1	1.397540E-4	-1.397540E-4	-3.323607E-9	3.177051E+1
-4.500000E-1	1.238457E-4	-1.238457E-4	-2.945279E-9	3.188867E+1
-4.000000E-1	1.155240E-4	-1.155240E-4	-2.747375E-9	3.200684E+1
-3.500000E-1	9.982711E-5	-9.982711E-5	-2.374073E-9	3.212500E+1
-3.000000E-1	8.169543E-5	-8.169543E-5	-1.942868E-9	3.224219E+1
-2.500000E-1	6.896323E-5	-6.896323E-5	-1.640073E-9	3.236035E+1
-2.000000E-1	5.551835E-5	-5.551835E-5	-1.320329E-9	3.247852E+1
-1.500000E-1	3.834790E-5	-3.834790E-5	-9.119838E-10	3.271973E+1
-1.000000E-1	2.721576E-5	-2.721576E-5	-6.472411E-10	3.299219E+1
-5.000000E-2	1.328442E-5	-1.328442E-5	-3.159281E-10	3.326465E+1
0.000000E+0	2.627355E-7	2.627355E-7	6.248335E-12	3.425391E+1
0.000000E+0	2.552375E-7	2.552375E-7	6.070019E-12	3.486914E+1
5.000000E-2	1.463903E-5	1.463903E-5	3.481431E-10	3.554102E+1
1.000000E-1	2.978675E-5	2.978675E-5	7.083839E-10	3.581348E+1
1.500000E-1	3.861466E-5	3.861466E-5	9.183279E-10	3.608594E+1
2.000000E-1	6.693808E-5	6.693808E-5	1.591911E-9	3.675879E+1
2.500000E-1	8.562355E-5	8.562355E-5	2.036286E-9	3.687598E+1
3.000000E-1	1.070409E-4	1.070409E-4	2.545629E-9	3.699414E+1
3.500000E-1	1.296716E-4	1.296716E-4	3.083830E-9	3.711230E+1
4.000000E-1	1.572798E-4	1.572798E-4	3.740404E-9	3.723047E+1
4.500000E-1	1.851931E-4	1.851931E-4	4.404234E-9	3.734863E+1
5.000000E-1	2.112022E-4	2.112022E-4	5.022779E-9	3.746582E+1
5.000000E-1	2.167228E-4	2.167228E-4	5.154069E-9	3.758398E+1
4.500000E-1	1.829869E-4	1.829869E-4	4.351765E-9	3.770215E+1
4.000000E-1	1.505323E-4	1.505323E-4	3.579937E-9	3.782031E+1
3.500000E-1	1.288236E-4	1.288236E-4	3.063664E-9	3.793848E+1
3.000000E-1	1.021627E-4	1.021627E-4	2.429617E-9	3.805566E+1
2.500000E-1	8.079793E-5	8.079793E-5	1.921524E-9	3.817383E+1
2.000000E-1	6.167347E-5	6.167347E-5	1.466709E-9	3.829199E+1
1.500000E-1	4.228780E-5	4.228780E-5	1.005682E-9	3.841016E+1
1.000000E-1	2.758381E-5	2.758381E-5	6.559939E-10	3.865137E+1
5.000000E-2	1.364902E-5	1.364902E-5	3.245990E-10	3.892383E+1
0.000000E+0	3.287928E-7	3.287928E-7	7.819301E-12	3.991309E+1
-5.000000E-2	1.186057E-5	-1.186057E-5	-2.820663E-10	4.058594E+1
-1.000000E-1	2.384081E-5	-2.384081E-5	-5.669785E-10	4.085840E+1
-1.500000E-1	3.626065E-5	-3.626065E-5	-8.623453E-10	4.113086E+1
-2.000000E-1	3.992946E-5	-3.992946E-5	-9.495962E-10	4.140332E+1
-2.500000E-1	4.168688E-5	-4.168688E-5	-9.913910E-10	4.167578E+1
