voltage_3_3	absJ_3_3	J_3_3	current_3_3	time_3_3	
0.000000E+0	2.322515E-7	2.322515E-7	2.157566E-12	0.000000E+0
5.000000E-2	5.210709E-5	5.210709E-5	4.840636E-10	8.437500E-1
1.000000E-1	8.710003E-5	8.710003E-5	8.091405E-10	1.116211E+0
1.500000E-1	9.645901E-5	9.645901E-5	8.960834E-10	1.387695E+0
2.000000E-1	2.425979E-4	2.425979E-4	2.253682E-9	2.060547E+0
2.500000E-1	3.014654E-4	3.014654E-4	2.800548E-9	2.178711E+0
3.000000E-1	3.732127E-4	3.732127E-4	3.467065E-9	2.295898E+0
3.500000E-1	4.555621E-4	4.555621E-4	4.232073E-9	2.414063E+0
4.000000E-1	5.447292E-4	5.447292E-4	5.060416E-9	2.532227E+0
4.500000E-1	6.657458E-4	6.657458E-4	6.184634E-9	2.650391E+0
5.000000E-1	8.038919E-4	8.038919E-4	7.467982E-9	2.768555E+0
5.000000E-1	7.944231E-4	7.944231E-4	7.380019E-9	2.885742E+0
4.500000E-1	6.883925E-4	6.883925E-4	6.395018E-9	3.003906E+0
4.000000E-1	5.690075E-4	5.690075E-4	5.285956E-9	3.122070E+0
3.500000E-1	4.514233E-4	4.514233E-4	4.193625E-9	3.240234E+0
3.000000E-1	3.703550E-4	3.703550E-4	3.440518E-9	3.358398E+0
2.500000E-1	2.786344E-4	2.786344E-4	2.588453E-9	3.475586E+0
2.000000E-1	2.142243E-4	2.142243E-4	1.990097E-9	3.593750E+0
1.500000E-1	1.496012E-4	1.496012E-4	1.389763E-9	3.711914E+0
1.000000E-1	8.462766E-5	8.462766E-5	7.861726E-10	3.953125E+0
5.000000E-2	4.319086E-5	4.319086E-5	4.012337E-10	4.225586E+0
0.000000E+0	1.677116E-7	1.677116E-7	1.558004E-12	5.214844E+0
-5.000000E-2	8.967484E-6	-8.967484E-6	-8.330599E-11	5.829102E+0
-1.000000E-1	9.702201E-6	-9.702201E-6	-9.013135E-11	6.444336E+0
-1.500000E-1	1.156933E-4	-1.156933E-4	-1.074766E-9	7.117188E+0
-2.000000E-1	1.603000E-4	-1.603000E-4	-1.489152E-9	7.234375E+0
-2.500000E-1	2.108342E-4	-2.108342E-4	-1.958604E-9	7.352539E+0
-3.000000E-1	2.519888E-4	-2.519888E-4	-2.340922E-9	7.470703E+0
-3.500000E-1	3.032252E-4	-3.032252E-4	-2.816897E-9	7.588867E+0
-4.000000E-1	3.395992E-4	-3.395992E-4	-3.154803E-9	7.707031E+0
-4.500000E-1	3.889345E-4	-3.889345E-4	-3.613117E-9	7.824219E+0
-5.000000E-1	4.301337E-4	-4.301337E-4	-3.995849E-9	7.942383E+0
-5.000000E-1	4.395273E-4	-4.395273E-4	-4.083114E-9	8.060547E+0
-4.500000E-1	3.851232E-4	-3.851232E-4	-3.577711E-9	8.178711E+0
-4.000000E-1	3.359328E-4	-3.359328E-4	-3.120743E-9	8.296875E+0
-3.500000E-1	2.890495E-4	-2.890495E-4	-2.685207E-9	8.414063E+0
-3.000000E-1	2.509873E-4	-2.509873E-4	-2.331618E-9	8.532227E+0
-2.500000E-1	2.097576E-4	-2.097576E-4	-1.948603E-9	8.650391E+0
-2.000000E-1	1.664287E-4	-1.664287E-4	-1.546087E-9	8.768555E+0
-1.500000E-1	1.222143E-4	-1.222143E-4	-1.135344E-9	8.886719E+0
-1.000000E-1	7.725764E-5	-7.725764E-5	-7.177067E-10	9.127930E+0
-5.000000E-2	3.905794E-5	-3.905794E-5	-3.628398E-10	9.399414E+0
0.000000E+0	2.614194E-7	2.614194E-7	2.428530E-12	1.038965E+1
