voltage_4_2_1	absJ_4_2_1	J_4_2_1	current_4_2_1	time_4_2_1	
0.000000E+0	1.138281E-6	-1.138281E-6	-1.589340E-12	0.000000E+0
5.000000E-2	2.466762E-4	2.466762E-4	3.444250E-10	1.115234E+0
1.000000E-1	4.776276E-4	4.776276E-4	6.668940E-10	1.483398E+0
1.500000E-1	6.171073E-4	6.171073E-4	8.616443E-10	1.851563E+0
2.000000E-1	6.663523E-4	6.663523E-4	9.304033E-10	2.966797E+0
2.500000E-1	8.757796E-4	8.757796E-4	1.222819E-9	3.334961E+0
3.000000E-1	1.163973E-3	1.163973E-3	1.625213E-9	3.702148E+0
3.500000E-1	1.397124E-3	1.397124E-3	1.950753E-9	4.070313E+0
4.000000E-1	1.668907E-3	1.668907E-3	2.330234E-9	4.438477E+0
4.500000E-1	2.234392E-3	2.234392E-3	3.119799E-9	4.805664E+0
5.000000E-1	2.772551E-3	2.772551E-3	3.871212E-9	5.173828E+0
5.000000E-1	2.846464E-3	2.846464E-3	3.974414E-9	5.541992E+0
4.500000E-1	2.395238E-3	2.395238E-3	3.344383E-9	5.909180E+0
4.000000E-1	1.890155E-3	1.890155E-3	2.639155E-9	6.277344E+0
3.500000E-1	1.517341E-3	1.517341E-3	2.118608E-9	6.645508E+0
3.000000E-1	1.192818E-3	1.192818E-3	1.665488E-9	7.012695E+0
2.500000E-1	8.522740E-4	8.522740E-4	1.189999E-9	7.380859E+0
2.000000E-1	6.061523E-4	6.061523E-4	8.463482E-10	8.122070E+0
1.500000E-1	4.038247E-4	4.038247E-4	5.638456E-10	8.490234E+0
1.000000E-1	2.358632E-4	2.358632E-4	3.293271E-10	8.859375E+0
5.000000E-2	1.031488E-4	1.031488E-4	1.440229E-10	9.227539E+0
0.000000E+0	1.010989E-6	-1.010989E-6	-1.411607E-12	1.040234E+1
-5.000000E-2	1.033243E-4	-1.033243E-4	-1.442680E-10	1.151758E+1
-1.000000E-1	2.253126E-4	-2.253126E-4	-3.145958E-10	1.188672E+1
-1.500000E-1	3.535167E-4	-3.535167E-4	-4.936024E-10	1.225488E+1
-2.000000E-1	5.418772E-4	-5.418772E-4	-7.566033E-10	1.262305E+1
-2.500000E-1	7.272002E-4	-7.272002E-4	-1.015363E-9	1.299121E+1
-3.000000E-1	8.505580E-4	-8.505580E-4	-1.187603E-9	1.410645E+1
-3.500000E-1	1.090398E-3	-1.090398E-3	-1.522483E-9	1.447363E+1
-4.000000E-1	1.309638E-3	-1.309638E-3	-1.828599E-9	1.484180E+1
-4.500000E-1	1.628963E-3	-1.628963E-3	-2.274462E-9	1.520996E+1
-5.000000E-1	1.942209E-3	-1.942209E-3	-2.711835E-9	1.557715E+1
-5.000000E-1	2.006742E-3	-2.006742E-3	-2.801941E-9	1.594531E+1
-4.500000E-1	1.663682E-3	-1.663682E-3	-2.322939E-9	1.631348E+1
-4.000000E-1	1.450996E-3	-1.450996E-3	-2.025973E-9	1.668066E+1
-3.500000E-1	1.208264E-3	-1.208264E-3	-1.687055E-9	1.704883E+1
-3.000000E-1	9.176155E-4	-9.176155E-4	-1.281233E-9	1.741602E+1
-2.500000E-1	7.319522E-4	-7.319522E-4	-1.021998E-9	1.815723E+1
-2.000000E-1	5.744529E-4	-5.744529E-4	-8.020876E-10	1.852539E+1
-1.500000E-1	4.042430E-4	-4.042430E-4	-5.644297E-10	1.889453E+1
-1.000000E-1	2.566297E-4	-2.566297E-4	-3.583227E-10	1.926270E+1
-5.000000E-2	1.201075E-4	-1.201075E-4	-1.677017E-10	1.963086E+1
0.000000E+0	1.057962E-6	-1.057962E-6	-1.477193E-12	2.080566E+1
