voltage_5_2_16_1	absJ_5_2_16_1	J_5_2_16_1	current_5_2_16_1	time_5_2_16_1	
0.000000E+0	1.880202E-6	-1.880202E-6	-3.573267E-12	0.000000E+0
5.000000E-2	1.302350E-4	1.302350E-4	2.475076E-10	1.115234E+0
1.000000E-1	2.885330E-4	2.885330E-4	5.483482E-10	1.484375E+0
1.500000E-1	4.643247E-4	4.643247E-4	8.824350E-10	1.852539E+0
2.000000E-1	6.871023E-4	6.871023E-4	1.305817E-9	2.967773E+0
2.500000E-1	9.271866E-4	9.271866E-4	1.762090E-9	3.334961E+0
3.000000E-1	1.173610E-3	1.173610E-3	2.230410E-9	3.703125E+0
3.500000E-1	1.446802E-3	1.446802E-3	2.749604E-9	4.071289E+0
4.000000E-1	1.739096E-3	1.739096E-3	3.305100E-9	4.438477E+0
4.500000E-1	2.093280E-3	2.093280E-3	3.978215E-9	4.806641E+0
5.000000E-1	2.197703E-3	2.197703E-3	4.176667E-9	5.174805E+0
5.000000E-1	2.148572E-3	2.148572E-3	4.083296E-9	5.541992E+0
4.500000E-1	1.623768E-3	1.623768E-3	3.085921E-9	5.910156E+0
4.000000E-1	1.342757E-3	1.342757E-3	2.551868E-9	6.278320E+0
3.500000E-1	1.158989E-3	1.158989E-3	2.202623E-9	6.645508E+0
3.000000E-1	9.409769E-4	9.409769E-4	1.788298E-9	7.013672E+0
2.500000E-1	7.835142E-4	7.835142E-4	1.489045E-9	7.381836E+0
2.000000E-1	5.795320E-4	5.795320E-4	1.101383E-9	7.749023E+0
1.500000E-1	3.850830E-4	3.850830E-4	7.318386E-10	8.490234E+0
1.000000E-1	2.462559E-4	2.462559E-4	4.680019E-10	8.859375E+0
5.000000E-2	1.173753E-4	1.173753E-4	2.230682E-10	9.227539E+0
0.000000E+0	1.790523E-6	-1.790523E-6	-3.402834E-12	1.040234E+1
-5.000000E-2	1.123672E-4	-1.123672E-4	-2.135504E-10	1.151855E+1
-1.000000E-1	2.522381E-4	-2.522381E-4	-4.793708E-10	1.188672E+1
-1.500000E-1	4.174009E-4	-4.174009E-4	-7.932578E-10	1.225586E+1
-2.000000E-1	5.649693E-4	-5.649693E-4	-1.073707E-9	1.337012E+1
-2.500000E-1	8.101997E-4	-8.101997E-4	-1.539760E-9	1.373828E+1
-3.000000E-1	7.462292E-4	-7.462292E-4	-1.418186E-9	1.410645E+1
-3.500000E-1	9.479962E-4	-9.479962E-4	-1.801638E-9	1.447461E+1
-4.000000E-1	1.146940E-3	-1.146940E-3	-2.179725E-9	1.484180E+1
-4.500000E-1	1.375481E-3	-1.375481E-3	-2.614060E-9	1.520996E+1
-5.000000E-1	1.481160E-3	-1.481160E-3	-2.814899E-9	1.557813E+1
-5.000000E-1	1.452412E-3	-1.452412E-3	-2.760265E-9	1.594531E+1
-4.500000E-1	1.255664E-3	-1.255664E-3	-2.386352E-9	1.631348E+1
-4.000000E-1	1.072354E-3	-1.072354E-3	-2.037977E-9	1.668164E+1
-3.500000E-1	9.114716E-4	-9.114716E-4	-1.732224E-9	1.704980E+1
-3.000000E-1	7.615807E-4	-7.615807E-4	-1.447361E-9	1.741699E+1
-2.500000E-1	6.245920E-4	-6.245920E-4	-1.187018E-9	1.778516E+1
-2.000000E-1	4.918728E-4	-4.918728E-4	-9.347892E-10	1.852637E+1
-1.500000E-1	3.533659E-4	-3.533659E-4	-6.715611E-10	1.889453E+1
-1.000000E-1	2.310304E-4	-2.310304E-4	-4.390662E-10	1.926367E+1
-5.000000E-2	1.098761E-4	-1.098761E-4	-2.088162E-10	1.963184E+1
0.000000E+0	1.828385E-6	-1.828385E-6	-3.474790E-12	2.080664E+1
0.000000E+0	1.849985E-6	-1.849985E-6	-3.515840E-12	2.151074E+1
5.000000E-2	1.019601E-4	1.019601E-4	1.937721E-10	2.262598E+1
1.000000E-1	2.141467E-4	2.141467E-4	4.069793E-10	2.299414E+1
1.500000E-1	3.611303E-4	3.611303E-4	6.863172E-10	2.336328E+1
2.000000E-1	5.112165E-4	5.112165E-4	9.715515E-10	2.373145E+1
2.500000E-1	6.949414E-4	6.949414E-4	1.320715E-9	2.484668E+1
3.000000E-1	9.105955E-4	9.105955E-4	1.730559E-9	2.521387E+1
3.500000E-1	1.176272E-3	1.176272E-3	2.235470E-9	2.558203E+1
4.000000E-1	1.151674E-3	1.151674E-3	2.188721E-9	2.595020E+1
4.500000E-1	1.495059E-3	1.495059E-3	2.841315E-9	2.631738E+1
5.000000E-1	1.842746E-3	1.842746E-3	3.502082E-9	2.668555E+1
5.000000E-1	1.784277E-3	1.784277E-3	3.390965E-9	2.705371E+1
4.500000E-1	1.660565E-3	1.660565E-3	3.155853E-9	2.742090E+1
4.000000E-1	1.369726E-3	1.369726E-3	2.603122E-9	2.778906E+1
3.500000E-1	1.092307E-3	1.092307E-3	2.075897E-9	2.815723E+1
3.000000E-1	9.514806E-4	9.514806E-4	1.808260E-9	2.852441E+1
2.500000E-1	7.734031E-4	7.734031E-4	1.469829E-9	2.889258E+1
2.000000E-1	5.536305E-4	5.536305E-4	1.052158E-9	2.926074E+1
1.500000E-1	4.128103E-4	4.128103E-4	7.845334E-10	3.000195E+1
1.000000E-1	2.719402E-4	2.719402E-4	5.168141E-10	3.037012E+1
5.000000E-2	1.216669E-4	1.216669E-4	2.312242E-10	3.073828E+1
0.000000E+0	2.491433E-6	-2.491433E-6	-4.734893E-12	3.191406E+1
-5.000000E-2	1.284916E-4	-1.284916E-4	-2.441944E-10	3.302930E+1
-1.000000E-1	2.405540E-4	-2.405540E-4	-4.571656E-10	3.339844E+1
-1.500000E-1	3.890372E-4	-3.890372E-4	-7.393534E-10	3.376660E+1
-2.000000E-1	5.064086E-4	-5.064086E-4	-9.624141E-10	3.524902E+1
-2.500000E-1	7.136578E-4	-7.136578E-4	-1.356285E-9	3.561719E+1
-3.000000E-1	8.209671E-4	-8.209671E-4	-1.560223E-9	3.598535E+1
-3.500000E-1	9.703754E-4	-9.703754E-4	-1.844169E-9	3.635254E+1
-4.000000E-1	1.157215E-3	-1.157215E-3	-2.199252E-9	3.672070E+1
-4.500000E-1	1.360069E-3	-1.360069E-3	-2.584770E-9	3.708887E+1
-5.000000E-1	1.528529E-3	-1.528529E-3	-2.904923E-9	3.745605E+1
-5.000000E-1	1.568351E-3	-1.568351E-3	-2.980604E-9	3.782422E+1
-4.500000E-1	1.372695E-3	-1.372695E-3	-2.608765E-9	3.819141E+1
-4.000000E-1	1.189540E-3	-1.189540E-3	-2.260684E-9	3.855957E+1
-3.500000E-1	1.030669E-3	-1.030669E-3	-1.958755E-9	3.892773E+1
-3.000000E-1	8.153516E-4	-8.153516E-4	-1.549551E-9	3.929590E+1
-2.500000E-1	6.822524E-4	-6.822524E-4	-1.296600E-9	3.966309E+1
-2.000000E-1	5.526486E-4	-5.526486E-4	-1.050292E-9	4.003125E+1
-1.500000E-1	3.929453E-4	-3.929453E-4	-7.467807E-10	4.077246E+1
-1.000000E-1	2.511339E-4	-2.511339E-4	-4.772723E-10	4.114063E+1
-5.000000E-2	1.226275E-4	-1.226275E-4	-2.330499E-10	4.150977E+1
0.000000E+0	1.681054E-6	-1.681054E-6	-3.194792E-12	4.268457E+1
0.000000E+0	1.718836E-6	-1.718836E-6	-3.266595E-12	4.338867E+1
5.000000E-2	1.173773E-4	1.173773E-4	2.230720E-10	4.450391E+1
1.000000E-1	2.362270E-4	2.362270E-4	4.489422E-10	4.487207E+1
1.500000E-1	3.864439E-4	3.864439E-4	7.344249E-10	4.524023E+1
2.000000E-1	5.383280E-4	5.383280E-4	1.023076E-9	4.635547E+1
2.500000E-1	7.287662E-4	7.287662E-4	1.384998E-9	4.672363E+1
3.000000E-1	9.555475E-4	9.555475E-4	1.815989E-9	4.709082E+1
3.500000E-1	1.334858E-3	1.334858E-3	2.536857E-9	4.745898E+1
4.000000E-1	1.699302E-3	1.699302E-3	3.229472E-9	4.782715E+1
4.500000E-1	1.831368E-3	1.831368E-3	3.480459E-9	4.819531E+1
5.000000E-1	2.201385E-3	2.201385E-3	4.183666E-9	4.856250E+1
5.000000E-1	2.110412E-3	2.110412E-3	4.010773E-9	4.893066E+1
4.500000E-1	1.769778E-3	1.769778E-3	3.363410E-9	4.929883E+1
4.000000E-1	1.519520E-3	1.519520E-3	2.887801E-9	4.966602E+1
3.500000E-1	1.243109E-3	1.243109E-3	2.362491E-9	5.003418E+1
3.000000E-1	1.086212E-3	1.086212E-3	2.064313E-9	5.040234E+1
2.500000E-1	8.280548E-4	8.280548E-4	1.573693E-9	5.076953E+1
2.000000E-1	6.060271E-4	6.060271E-4	1.151736E-9	5.113770E+1
1.500000E-1	4.311612E-4	4.311612E-4	8.194087E-10	5.187891E+1
1.000000E-1	2.477867E-4	2.477867E-4	4.709111E-10	5.224707E+1
5.000000E-2	1.187062E-4	1.187062E-4	2.255975E-10	5.261621E+1
0.000000E+0	1.552380E-6	-1.552380E-6	-2.950251E-12	5.379102E+1
-5.000000E-2	1.205227E-4	-1.205227E-4	-2.290497E-10	5.490723E+1
-1.000000E-1	2.605101E-4	-2.605101E-4	-4.950916E-10	5.527539E+1
-1.500000E-1	4.017130E-4	-4.017130E-4	-7.634434E-10	5.564355E+1
-2.000000E-1	5.389237E-4	-5.389237E-4	-1.024208E-9	5.675879E+1
-2.500000E-1	6.753852E-4	-6.753852E-4	-1.283549E-9	5.712695E+1
-3.000000E-1	8.246577E-4	-8.246577E-4	-1.567237E-9	5.749414E+1
-3.500000E-1	1.007545E-3	-1.007545E-3	-1.914808E-9	5.786230E+1
-4.000000E-1	1.171439E-3	-1.171439E-3	-2.226285E-9	5.823047E+1
-4.500000E-1	1.365827E-3	-1.365827E-3	-2.595712E-9	5.859766E+1
-5.000000E-1	1.546202E-3	-1.546202E-3	-2.938510E-9	5.896582E+1
-5.000000E-1	1.521008E-3	-1.521008E-3	-2.890630E-9	5.933398E+1
-4.500000E-1	1.315964E-3	-1.315964E-3	-2.500949E-9	5.970117E+1
-4.000000E-1	1.165136E-3	-1.165136E-3	-2.214305E-9	6.006934E+1
-3.500000E-1	1.023962E-3	-1.023962E-3	-1.946008E-9	6.043750E+1
-3.000000E-1	9.019129E-4	-9.019129E-4	-1.714058E-9	6.080469E+1
-2.500000E-1	7.093299E-4	-7.093299E-4	-1.348060E-9	6.117285E+1
-2.000000E-1	4.902735E-4	-4.902735E-4	-9.317499E-10	6.191406E+1
-1.500000E-1	3.738368E-4	-3.738368E-4	-7.104654E-10	6.228223E+1
-1.000000E-1	2.433918E-4	-2.433918E-4	-4.625588E-10	6.265137E+1
-5.000000E-2	1.243437E-4	-1.243437E-4	-2.363115E-10	6.301953E+1
0.000000E+0	1.639598E-6	-1.639598E-6	-3.116007E-12	6.419434E+1
0.000000E+0	1.663996E-6	-1.663996E-6	-3.162373E-12	6.489844E+1
5.000000E-2	1.235973E-4	1.235973E-4	2.348930E-10	6.601367E+1
1.000000E-1	2.721129E-4	2.721129E-4	5.171423E-10	6.638184E+1
1.500000E-1	4.350560E-4	4.350560E-4	8.268107E-10	6.675000E+1
2.000000E-1	5.047191E-4	5.047191E-4	9.592034E-10	6.711914E+1
2.500000E-1	7.076225E-4	7.076225E-4	1.344815E-9	6.823340E+1
3.000000E-1	8.541157E-4	8.541157E-4	1.623221E-9	6.860156E+1
3.500000E-1	9.605000E-4	9.605000E-4	1.825401E-9	6.896973E+1
4.000000E-1	1.212454E-3	1.212454E-3	2.304232E-9	6.933789E+1
