voltage_9_3	absJ_9_3	J_9_3	current_9_3	time_9_3	
0.000000E+0	1.043906E-7	-1.043906E-7	-9.697659E-13	0.000000E+0
-5.000000E-2	5.280673E-7	-5.280673E-7	-4.905631E-12	7.138672E-1
-1.000000E-1	9.763810E-7	-9.763810E-7	-9.070369E-12	1.427734E+0
-1.500000E-1	1.571265E-6	-1.571265E-6	-1.459671E-11	2.141602E+0
-2.000000E-1	2.301479E-6	-2.301479E-6	-2.138024E-11	2.855469E+0
-2.500000E-1	3.237648E-6	-3.237648E-6	-3.007705E-11	3.569336E+0
-3.000000E-1	4.526734E-6	-4.526734E-6	-4.205238E-11	4.283203E+0
-3.500000E-1	5.805522E-6	-5.805522E-6	-5.393204E-11	4.997070E+0
-4.000000E-1	6.713519E-6	-6.713519E-6	-6.236714E-11	5.710938E+0
-4.500000E-1	6.965851E-6	-6.965851E-6	-6.471125E-11	6.425781E+0
-5.000000E-1	8.518750E-6	-8.518750E-6	-7.913734E-11	7.139648E+0
-5.000000E-1	8.589705E-6	-8.589705E-6	-7.979650E-11	8.112305E+0
-4.500000E-1	7.975645E-6	-7.975645E-6	-7.409202E-11	9.301758E+0
-4.000000E-1	5.378280E-6	-5.378280E-6	-4.996306E-11	1.001562E+1
-3.500000E-1	4.122963E-6	-4.122963E-6	-3.830143E-11	1.072949E+1
-3.000000E-1	3.416284E-6	-3.416284E-6	-3.173654E-11	1.144336E+1
-2.500000E-1	2.250638E-6	-2.250638E-6	-2.090794E-11	1.215723E+1
-2.000000E-1	1.825120E-6	-1.825120E-6	-1.695497E-11	1.287109E+1
-1.500000E-1	1.301625E-6	-1.301625E-6	-1.209181E-11	1.358496E+1
-1.000000E-1	7.636785E-7	-7.636785E-7	-7.094408E-12	1.429883E+1
-5.000000E-2	3.293908E-7	-3.293908E-7	-3.059969E-12	1.501270E+1
0.000000E+0	4.269349E-8	4.269349E-8	3.966133E-13	1.572656E+1
5.000000E-2	3.925758E-7	3.925758E-7	3.646944E-12	1.644043E+1
1.000000E-1	7.174894E-7	7.174894E-7	6.665321E-12	1.715430E+1
1.500000E-1	1.104131E-6	1.104131E-6	1.025714E-11	1.786816E+1
2.000000E-1	1.368066E-6	1.368066E-6	1.270904E-11	1.858203E+1
2.500000E-1	1.957250E-6	1.957250E-6	1.818243E-11	1.929590E+1
3.000000E-1	2.529242E-6	2.529242E-6	2.349611E-11	2.000977E+1
3.500000E-1	3.110385E-6	3.110385E-6	2.889480E-11	2.072363E+1
4.000000E-1	3.926666E-6	3.926666E-6	3.647788E-11	2.143750E+1
4.500000E-1	4.400129E-6	4.400129E-6	4.087625E-11	2.215137E+1
5.000000E-1	5.234568E-6	5.234568E-6	4.862800E-11	2.286426E+1
5.000000E-1	5.525687E-6	5.525687E-6	5.133244E-11	2.357813E+1
4.500000E-1	4.915410E-6	4.915410E-6	4.566310E-11	2.429199E+1
4.000000E-1	3.961385E-6	3.961385E-6	3.680041E-11	2.500586E+1
3.500000E-1	3.211390E-6	3.211390E-6	2.983312E-11	2.571973E+1
3.000000E-1	2.390917E-6	2.390917E-6	2.221110E-11	2.643359E+1
2.500000E-1	1.903052E-6	1.903052E-6	1.767894E-11	2.714648E+1
2.000000E-1	1.650052E-6	1.650052E-6	1.532863E-11	2.786035E+1
1.500000E-1	1.176562E-6	1.176562E-6	1.093001E-11	2.857422E+1
1.000000E-1	6.948213E-7	6.948213E-7	6.454740E-12	2.928809E+1
5.000000E-2	2.802064E-7	2.802064E-7	2.603057E-12	3.000195E+1
0.000000E+0	1.242113E-7	-1.242113E-7	-1.153896E-12	3.071582E+1
