voltage_5_4	absJ_5_4	J_5_4	current_5_4	time_5_4	
0.000000E+0	1.974905E-8	1.974905E-8	1.834644E-13	0.000000E+0
5.000000E-2	6.129867E-5	6.129867E-5	5.694514E-10	1.013672E+0
1.000000E-1	8.733222E-5	8.733222E-5	8.112975E-10	1.286133E+0
1.500000E-1	9.677484E-5	9.677484E-5	8.990173E-10	1.558594E+0
2.000000E-1	2.512675E-4	2.512675E-4	2.334221E-9	2.230469E+0
2.500000E-1	3.227647E-4	3.227647E-4	2.998414E-9	2.348633E+0
3.000000E-1	3.994656E-4	3.994656E-4	3.710949E-9	2.466797E+0
3.500000E-1	4.757689E-4	4.757689E-4	4.419790E-9	2.584961E+0
4.000000E-1	5.532949E-4	5.532949E-4	5.139990E-9	2.702148E+0
4.500000E-1	6.698093E-4	6.698093E-4	6.222383E-9	2.820313E+0
5.000000E-1	8.078644E-4	8.078644E-4	7.504886E-9	2.938477E+0
5.000000E-1	8.028004E-4	8.028004E-4	7.457842E-9	3.056641E+0
4.500000E-1	6.631404E-4	6.631404E-4	6.160431E-9	3.174805E+0
4.000000E-1	5.534871E-4	5.534871E-4	5.141775E-9	3.291992E+0
3.500000E-1	4.354396E-4	4.354396E-4	4.045140E-9	3.410156E+0
3.000000E-1	3.578938E-4	3.578938E-4	3.324756E-9	3.528320E+0
2.500000E-1	2.736063E-4	2.736063E-4	2.541743E-9	3.646484E+0
2.000000E-1	2.092916E-4	2.092916E-4	1.944274E-9	3.764648E+0
1.500000E-1	1.491134E-4	1.491134E-4	1.385231E-9	3.881836E+0
1.000000E-1	8.288959E-5	8.288959E-5	7.700263E-10	4.124023E+0
5.000000E-2	4.569557E-5	4.569557E-5	4.245020E-10	4.395508E+0
0.000000E+0	9.602338E-8	9.602338E-8	8.920364E-13	5.385742E+0
-5.000000E-2	8.857364E-6	-8.857364E-6	-8.228300E-11	6.000000E+0
-1.000000E-1	9.123343E-5	-9.123343E-5	-8.475389E-10	7.073242E+0
-1.500000E-1	1.419756E-4	-1.419756E-4	-1.318923E-9	7.191406E+0
-2.000000E-1	1.993005E-4	-1.993005E-4	-1.851459E-9	7.309570E+0
-2.500000E-1	2.487638E-4	-2.487638E-4	-2.310962E-9	7.427734E+0
-3.000000E-1	3.043420E-4	-3.043420E-4	-2.827271E-9	7.544922E+0
-3.500000E-1	3.692987E-4	-3.692987E-4	-3.430705E-9	7.663086E+0
-4.000000E-1	4.371510E-4	-4.371510E-4	-4.061038E-9	7.781250E+0
-4.500000E-1	5.114046E-4	-5.114046E-4	-4.750838E-9	7.899414E+0
-5.000000E-1	5.809891E-4	-5.809891E-4	-5.397263E-9	8.017578E+0
-5.000000E-1	5.892445E-4	-5.892445E-4	-5.473954E-9	8.134766E+0
-4.500000E-1	5.167261E-4	-5.167261E-4	-4.800274E-9	8.252930E+0
-4.000000E-1	4.443646E-4	-4.443646E-4	-4.128051E-9	8.371094E+0
-3.500000E-1	3.839563E-4	-3.839563E-4	-3.566871E-9	8.489258E+0
-3.000000E-1	3.111647E-4	-3.111647E-4	-2.890653E-9	8.607422E+0
-2.500000E-1	2.455902E-4	-2.455902E-4	-2.281480E-9	8.724609E+0
-2.000000E-1	1.895217E-4	-1.895217E-4	-1.760616E-9	8.842773E+0
-1.500000E-1	1.368410E-4	-1.368410E-4	-1.271223E-9	8.960938E+0
-1.000000E-1	8.192634E-5	-8.192634E-5	-7.610780E-10	9.202148E+0
-5.000000E-2	4.408814E-5	-4.408814E-5	-4.095693E-10	9.474609E+0
0.000000E+0	3.001346E-7	3.001346E-7	2.788186E-12	1.046387E+1
