voltage_4_3_7	absJ_4_3_7	J_4_3_7	current_4_3_7	time_4_3_7	
0.000000E+0	9.376652E-7	9.376652E-7	2.229941E-11	0.000000E+0
5.000000E-2	4.017431E-6	4.017431E-6	9.554193E-11	6.142578E-1
1.000000E-1	4.083903E-5	4.083903E-5	9.712275E-10	1.687500E+0
1.500000E-1	6.478517E-5	6.478517E-5	1.540711E-9	1.805664E+0
2.000000E-1	9.094500E-5	9.094500E-5	2.162840E-9	1.922852E+0
2.500000E-1	1.245180E-4	1.245180E-4	2.961267E-9	2.041016E+0
3.000000E-1	1.529965E-4	1.529965E-4	3.638539E-9	2.159180E+0
3.500000E-1	1.863082E-4	1.863082E-4	4.430754E-9	2.277344E+0
4.000000E-1	2.200429E-4	2.200429E-4	5.233027E-9	2.395508E+0
4.500000E-1	2.726266E-4	2.726266E-4	6.483565E-9	2.512695E+0
5.000000E-1	3.340740E-4	3.340740E-4	7.944895E-9	2.630859E+0
5.000000E-1	3.445666E-4	3.445666E-4	8.194431E-9	2.749023E+0
4.500000E-1	2.873332E-4	2.873332E-4	6.833313E-9	2.867188E+0
4.000000E-1	2.314704E-4	2.314704E-4	5.504794E-9	2.985352E+0
3.500000E-1	1.916783E-4	1.916783E-4	4.558464E-9	3.102539E+0
3.000000E-1	1.538299E-4	1.538299E-4	3.658359E-9	3.220703E+0
2.500000E-1	1.297776E-4	1.297776E-4	3.086352E-9	3.338867E+0
2.000000E-1	9.482825E-5	9.482825E-5	2.255191E-9	3.457031E+0
1.500000E-1	6.540245E-5	6.540245E-5	1.555391E-9	3.575195E+0
1.000000E-1	3.796458E-5	3.796458E-5	9.028677E-10	3.816406E+0
5.000000E-2	2.042045E-5	2.042045E-5	4.856360E-10	4.087891E+0
0.000000E+0	3.899542E-7	3.899542E-7	9.273832E-12	5.078125E+0
-5.000000E-2	1.803320E-5	-1.803320E-5	-4.288628E-10	6.093750E+0
-1.000000E-1	3.822773E-5	-3.822773E-5	-9.091261E-10	6.365234E+0
-1.500000E-1	4.159835E-5	-4.159835E-5	-9.892855E-10	6.637695E+0
-2.000000E-1	8.397502E-5	-8.397502E-5	-1.997081E-9	7.310547E+0
-2.500000E-1	1.046196E-4	-1.046196E-4	-2.488048E-9	7.428711E+0
-3.000000E-1	1.288266E-4	-1.288266E-4	-3.063735E-9	7.546875E+0
-3.500000E-1	1.498561E-4	-1.498561E-4	-3.563854E-9	7.664063E+0
-4.000000E-1	1.751484E-4	-1.751484E-4	-4.165352E-9	7.782227E+0
-4.500000E-1	1.995050E-4	-1.995050E-4	-4.744598E-9	7.900391E+0
-5.000000E-1	2.233952E-4	-2.233952E-4	-5.312750E-9	8.018555E+0
-5.000000E-1	2.280074E-4	-2.280074E-4	-5.422437E-9	8.136719E+0
-4.500000E-1	1.991395E-4	-1.991395E-4	-4.735905E-9	8.254883E+0
-4.000000E-1	1.720874E-4	-1.720874E-4	-4.092557E-9	8.372070E+0
-3.500000E-1	1.489323E-4	-1.489323E-4	-3.541884E-9	8.490234E+0
-3.000000E-1	1.249482E-4	-1.249482E-4	-2.971498E-9	8.608398E+0
-2.500000E-1	1.047307E-4	-1.047307E-4	-2.490689E-9	8.726563E+0
-2.000000E-1	8.405777E-5	-8.405777E-5	-1.999049E-9	8.844727E+0
-1.500000E-1	6.200755E-5	-6.200755E-5	-1.474654E-9	8.961914E+0
-1.000000E-1	3.849819E-5	-3.849819E-5	-9.155581E-10	9.204102E+0
-5.000000E-2	2.087252E-5	-2.087252E-5	-4.963870E-10	9.475586E+0
0.000000E+0	5.590062E-7	5.590062E-7	1.329420E-11	1.046582E+1
0.000000E+0	1.517755E-7	1.517755E-7	3.609502E-12	1.108008E+1
5.000000E-2	2.156390E-5	2.156390E-5	5.128294E-10	1.175293E+1
1.000000E-1	3.868301E-5	3.868301E-5	9.199535E-10	1.202539E+1
1.500000E-1	4.241231E-5	4.241231E-5	1.008643E-9	1.229688E+1
2.000000E-1	1.104087E-4	1.104087E-4	2.625722E-9	1.296973E+1
2.500000E-1	1.411451E-4	1.411451E-4	3.356691E-9	1.308789E+1
3.000000E-1	1.789348E-4	1.789348E-4	4.255401E-9	1.320508E+1
3.500000E-1	2.408494E-4	2.408494E-4	5.727844E-9	1.332324E+1
4.000000E-1	2.883585E-4	2.883585E-4	6.857697E-9	1.344141E+1
4.500000E-1	3.373320E-4	3.373320E-4	8.022377E-9	1.355957E+1
5.000000E-1	4.039495E-4	4.039495E-4	9.606665E-9	1.367773E+1
5.000000E-1	3.973442E-4	3.973442E-4	9.449580E-9	1.379492E+1
4.500000E-1	3.294364E-4	3.294364E-4	7.834607E-9	1.391309E+1
4.000000E-1	2.701566E-4	2.701566E-4	6.424823E-9	1.403125E+1
3.500000E-1	2.210285E-4	2.210285E-4	5.256466E-9	1.414941E+1
3.000000E-1	1.728253E-4	1.728253E-4	4.110105E-9	1.426758E+1
2.500000E-1	1.364408E-4	1.364408E-4	3.244815E-9	1.438477E+1
2.000000E-1	1.045057E-4	1.045057E-4	2.485339E-9	1.450293E+1
1.500000E-1	7.545537E-5	7.545537E-5	1.794468E-9	1.462109E+1
1.000000E-1	4.766346E-5	4.766346E-5	1.133525E-9	1.473926E+1
5.000000E-2	2.220570E-5	2.220570E-5	5.280925E-10	1.498047E+1
0.000000E+0	5.398891E-7	5.398891E-7	1.283956E-11	1.596973E+1
-5.000000E-2	2.122692E-5	-2.122692E-5	-5.048153E-10	1.681445E+1
-1.000000E-1	3.925998E-5	-3.925998E-5	-9.336749E-10	1.708691E+1
-1.500000E-1	4.253955E-5	-4.253955E-5	-1.011669E-9	1.735840E+1
-2.000000E-1	9.240839E-5	-9.240839E-5	-2.197642E-9	1.803125E+1
-2.500000E-1	1.155529E-4	-1.155529E-4	-2.748062E-9	1.814941E+1
-3.000000E-1	1.425350E-4	-1.425350E-4	-3.389746E-9	1.826758E+1
-3.500000E-1	1.679103E-4	-1.679103E-4	-3.993217E-9	1.838574E+1
-4.000000E-1	1.958850E-4	-1.958850E-4	-4.658507E-9	1.850293E+1
-4.500000E-1	2.251903E-4	-2.251903E-4	-5.355441E-9	1.862109E+1
-5.000000E-1	2.531881E-4	-2.531881E-4	-6.021280E-9	1.873926E+1
-5.000000E-1	2.560590E-4	-2.560590E-4	-6.089556E-9	1.885742E+1
-4.500000E-1	2.263688E-4	-2.263688E-4	-5.383467E-9	1.897559E+1
-4.000000E-1	2.010117E-4	-2.010117E-4	-4.780429E-9	1.909375E+1
-3.500000E-1	1.802799E-4	-1.802799E-4	-4.287389E-9	1.921094E+1
-3.000000E-1	1.456131E-4	-1.456131E-4	-3.462948E-9	1.932910E+1
-2.500000E-1	1.206081E-4	-1.206081E-4	-2.868283E-9	1.944727E+1
-2.000000E-1	9.404913E-5	-9.404913E-5	-2.236662E-9	1.956543E+1
-1.500000E-1	7.143297E-5	-7.143297E-5	-1.698808E-9	1.968359E+1
-1.000000E-1	4.825416E-5	-4.825416E-5	-1.147573E-9	1.980078E+1
-5.000000E-2	2.379786E-5	-2.379786E-5	-5.659571E-10	2.004297E+1
0.000000E+0	4.478601E-7	4.478601E-7	1.065094E-11	2.103223E+1
0.000000E+0	3.839898E-7	3.839898E-7	9.131987E-12	2.164648E+1
5.000000E-2	2.618631E-5	2.618631E-5	6.227589E-10	2.249023E+1
1.000000E-1	3.993770E-5	3.993770E-5	9.497924E-10	2.276270E+1
1.500000E-1	8.726736E-5	8.726736E-5	2.075379E-9	2.343457E+1
2.000000E-1	1.207918E-4	1.207918E-4	2.872651E-9	2.355273E+1
2.500000E-1	1.607851E-4	1.607851E-4	3.823767E-9	2.367090E+1
3.000000E-1	2.075605E-4	2.075605E-4	4.936171E-9	2.378906E+1
3.500000E-1	2.521058E-4	2.521058E-4	5.995541E-9	2.390625E+1
4.000000E-1	2.962203E-4	2.962203E-4	7.044665E-9	2.402441E+1
4.500000E-1	3.527197E-4	3.527197E-4	8.388325E-9	2.414258E+1
5.000000E-1	4.910212E-4	4.910212E-4	1.167739E-8	2.450781E+1
5.000000E-1	4.725550E-4	4.725550E-4	1.123823E-8	2.462500E+1
4.500000E-1	4.012560E-4	4.012560E-4	9.542609E-9	2.486719E+1
4.000000E-1	3.418659E-4	3.418659E-4	8.130201E-9	2.498438E+1
3.500000E-1	2.772351E-4	2.772351E-4	6.593163E-9	2.510254E+1
3.000000E-1	2.219914E-4	2.219914E-4	5.279366E-9	2.522070E+1
2.500000E-1	1.748552E-4	1.748552E-4	4.158379E-9	2.533887E+1
2.000000E-1	1.308111E-4	1.308111E-4	3.110930E-9	2.545703E+1
1.500000E-1	9.332707E-5	9.332707E-5	2.219490E-9	2.557422E+1
1.000000E-1	5.688806E-5	5.688806E-5	1.352903E-9	2.569238E+1
5.000000E-2	2.755672E-5	2.755672E-5	6.553498E-10	2.593359E+1
0.000000E+0	4.804913E-7	4.804913E-7	1.142697E-11	2.692383E+1
-5.000000E-2	2.348421E-5	-2.348421E-5	-5.584979E-10	2.776758E+1
-1.000000E-1	4.010225E-5	-4.010225E-5	-9.537056E-10	2.804004E+1
-1.500000E-1	4.320030E-5	-4.320030E-5	-1.027383E-9	2.831250E+1
-2.000000E-1	9.768245E-5	-9.768245E-5	-2.323069E-9	2.898535E+1
-2.500000E-1	1.233598E-4	-1.233598E-4	-2.933723E-9	2.910254E+1
-3.000000E-1	1.468140E-4	-1.468140E-4	-3.491507E-9	2.922070E+1
-3.500000E-1	1.768816E-4	-1.768816E-4	-4.206570E-9	2.933887E+1
-4.000000E-1	2.056917E-4	-2.056917E-4	-4.891729E-9	2.945703E+1
-4.500000E-1	2.363551E-4	-2.363551E-4	-5.620961E-9	2.957520E+1
-5.000000E-1	2.679519E-4	-2.679519E-4	-6.372390E-9	2.969238E+1
-5.000000E-1	2.704084E-4	-2.704084E-4	-6.430812E-9	2.981055E+1
-4.500000E-1	2.357847E-4	-2.357847E-4	-5.607396E-9	2.992871E+1
-4.000000E-1	2.107616E-4	-2.107616E-4	-5.012301E-9	3.004688E+1
-3.500000E-1	1.839185E-4	-1.839185E-4	-4.373921E-9	3.016504E+1
-3.000000E-1	1.568514E-4	-1.568514E-4	-3.730215E-9	3.028223E+1
-2.500000E-1	1.316357E-4	-1.316357E-4	-3.130540E-9	3.040039E+1
-2.000000E-1	1.045036E-4	-1.045036E-4	-2.485289E-9	3.051855E+1
-1.500000E-1	7.782840E-5	-7.782840E-5	-1.850903E-9	3.063672E+1
-1.000000E-1	5.200765E-5	-5.200765E-5	-1.236838E-9	3.075488E+1
-5.000000E-2	2.653594E-5	-2.653594E-5	-6.310736E-10	3.099609E+1
0.000000E+0	8.053441E-6	-8.053441E-6	-1.915257E-10	3.126758E+1
0.000000E+0	2.781977E-7	2.781977E-7	6.616055E-12	3.225781E+1
5.000000E-2	2.781655E-5	2.781655E-5	6.615290E-10	3.293066E+1
1.000000E-1	4.036983E-5	4.036983E-5	9.600691E-10	3.320313E+1
1.500000E-1	9.283842E-5	9.283842E-5	2.207869E-9	3.387500E+1
2.000000E-1	1.289598E-4	1.289598E-4	3.066901E-9	3.399316E+1
2.500000E-1	1.718391E-4	1.718391E-4	4.086651E-9	3.411133E+1
3.000000E-1	2.109007E-4	2.109007E-4	5.015607E-9	3.422949E+1
3.500000E-1	2.668053E-4	2.668053E-4	6.345123E-9	3.434668E+1
4.000000E-1	3.249582E-4	3.249582E-4	7.728107E-9	3.446484E+1
4.500000E-1	3.909147E-4	3.909147E-4	9.296674E-9	3.458301E+1
5.000000E-1	5.940771E-4	5.940771E-4	1.412825E-8	3.494727E+1
5.000000E-1	5.606991E-4	5.606991E-4	1.333446E-8	3.506543E+1
